State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites 	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"6,473"	56	0.9	127	2	"1,298"	20.1	"2,505"	38.7	"2,379"	36.8	11	0.2	97	1.5	"2,266"	35	82	1.3	240	3.7	"95,635"
Alabama		1	3	6	40	0	0	0	0	DS	5	27	67.5	11	27.5	0	0	0	0	20	50	0	0	4	10	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	30	4	13.3	0	0	4	13.3	0	0	22	73.3	0	0	0	0	14	46.7	DS	6.7	0	0	"1,920"
Arkansas		5	3	7	161	0	0	DS	1.2	6	3.7	60	37.3	89	55.3	DS	1.2	DS	1.2	61	37.9	DS	1.2	DS	1.2	"1,097"
California		6	4	9	391	4	1	4	1	288	73.7	45	11.5	42	10.7	4	1	4	1	95	24.3	DS	0.5	61	15.6	"9,866"
Colorado		8	4	8	66	0	0	DS	3	28	42.4	11	16.7	25	37.9	0	0	0	0	28	42.4	0	0	0	0	"1,811"
Connecticut		9	1	1	40	0	0	0	0	4	10	7	17.5	27	67.5	0	0	DS	5	34	85	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	48	0	0	4	8.3	13	27.1	13	27.1	16	33.3	0	0	DS	4.2	36	75	0	0	0	0	"3,886"
Georgia		13	3	5	"1,182"	DS	0.2	99	8.4	257	21.7	727	61.5	68	5.8	0	0	29	2.5	162	13.7	DS	0.2	80	6.8	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
