State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"2,200"	27	1.2	87	4	466	21.2	"1,011"	46	551	25	12	0.5	46	2.1	24	1.1	97	4.4	"95,635"
Alabama		1	3	6	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	0	0	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	4	0	0	0	0	0	0	0	0	4	100	0	0	0	0	0	0	0	0	"1,920"
Arkansas		5	3	7	11	0	0	0	0	0	0	6	54.5	5	45.5	0	0	0	0	DS	18.2	0	0	"1,097"
California		6	4	9	80	0	0	DS	2.5	51	63.8	20	25	7	8.8	0	0	0	0	0	0	7	8.8	"9,866"
Colorado		8	4	8	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	"1,811"
Connecticut		9	1	1	6	0	0	0	0	DS	33.3	DS	33.3	DS	33.3	0	0	0	0	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	6	0	0	0	0	DS	33.3	DS	33.3	DS	33.3	0	0	0	0	0	0	0	0	"3,886"
Georgia		13	3	5	699	0	0	77	11	241	34.5	352	50.4	0	0	0	0	29	4.1	0	0	66	9.4	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703
Illinois		17	2	3	26	0	0	0	0	DS	7.7	12	46.2	12	46.2	0	0	0	0	DS	7.7	0	0	"4,221"
Indiana		18	2	3	31	0	0	0	0	6	19.4	4	12.9	19	61.3	0	0	DS	6.5	DS	6.5	DS	6.5	"1,875"
Iowa		19	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,458"
Kansas		20	2	4	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	0	0	"1,389"
Kentucky		21	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,417"
Louisiana		22	3	7	98	0	0	0	0	5	5.1	74	75.5	19	19.4	0	0	0	0	6	6.1	0	0	"1,394"
Maine		23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595
Maryland		24	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"
Massachusetts		25	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	141	DS	1.4	DS	1.4	10	7.1	7	5	116	82.3	0	0	4	2.8	DS	1.4	0	0	"3,626"
Minnesota		27	2	4	361	9	2.5	0	0	17	4.7	300	83.1	20	5.5	10	2.8	5	1.4	5	1.4	5	1.4	"2,077"
Mississippi		28	3	6	48	0	0	0	0	0	0	32	66.7	16	33.3	0	0	0	0	0	0	0	0	973
Missouri		29	2	4	18	0	0	0	0	0	0	8	44.4	10	55.6	0	0	0	0	DS	11.1	0	0	"2,312"
Montana		30	4	8	DS	0	0	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	781
Nebraska		31	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,073"
Nevada		32	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	DS	100	0	0	478
New Jersey		34	1	2	6	0	0	0	0	DS	33.3	4	66.7	0	0	0	0	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853
New York		36	1	2	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	"4,864"
North Carolina		37	3	5	4	0	0	0	0	0	0	4	100	0	0	0	0	0	0	0	0	0	0	"2,535"
North Dakota		38	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	468
Ohio		39	2	3	89	0	0	0	0	0	0	27	30.3	62	69.7	0	0	0	0	DS	2.2	0	0	"3,702"
Oklahoma		40	3	7	32	6	18.8	DS	6.3	DS	6.3	10	31.3	10	31.3	0	0	DS	6.3	DS	6.3	DS	6.3	"1,774"
Oregon		41	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,312"
