State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites 	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"6,407"	56	0.9	199	3.1	"1,486"	23.2	"2,713"	42.3	"1,827"	28.5	21	0.3	105	1.6	106	1.7	301	4.7	"95,635"
Alabama		1	3	6	24	0	0	0	0	0	0	20	83.3	4	16.7	0	0	0	0	0	0	DS	8.3	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	20	DS	10	0	0	DS	10	0	0	16	80	0	0	0	0	DS	10	0	0	"1,920"
Arkansas		5	3	7	111	0	0	DS	1.8	0	0	51	45.9	56	50.5	0	0	DS	1.8	4	3.6	0	0	"1,097"
California		6	4	9	376	4	1.1	4	1.1	276	73.4	53	14.1	35	9.3	DS	0.5	DS	0.5	DS	0.5	57	15.2	"9,866"
Colorado		8	4	8	42	0	0	0	0	20	47.6	5	11.9	17	40.5	0	0	0	0	0	0	0	0	"1,811"
Connecticut		9	1	1	12	0	0	0	0	4	33.3	4	33.3	4	33.3	0	0	0	0	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	18	0	0	DS	11.1	8	44.4	4	22.2	4	22.2	0	0	0	0	0	0	0	0	"3,886"
Georgia		13	3	5	"1,719"	DS	0.1	176	10.2	493	28.7	955	55.6	37	2.2	0	0	56	3.3	DS	0.1	146	8.5	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	703
Illinois		17	2	3	65	0	0	0	0	4	6.2	22	33.8	39	60	0	0	0	0	11	16.9	0	0	"4,221"
Indiana		18	2	3	102	0	0	0	0	8	7.8	22	21.6	68	66.7	0	0	4	3.9	DS	2	4	3.9	"1,875"
Iowa		19	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,458"
Kansas		20	2	4	18	0	0	0	0	DS	11.1	4	22.2	12	66.7	0	0	0	0	0	0	0	0	"1,389"
Kentucky		21	3	6	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	"1,417"
Louisiana		22	3	7	240	0	0	DS	0.8	12	5	154	64.2	70	29.2	0	0	DS	0.8	12	5	0	0	"1,394"
Maine		23	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	595
Maryland		24	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"
Massachusetts		25	1	1	6	0	0	0	0	DS	33.3	0	0	4	66.7	0	0	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	391	4	1	4	1	28	7.2	21	5.4	330	84.4	0	0	4	1	6	1.5	DS	0.5	"3,626"
Minnesota		27	2	4	722	9	1.2	0	0	23	3.2	604	83.7	61	8.4	15	2.1	10	1.4	15	2.1	10	1.4	"2,077"
Mississippi		28	3	6	146	0	0	0	0	4	2.7	94	64.4	48	32.9	0	0	0	0	0	0	0	0	973
Missouri		29	2	4	85	DS	2.4	0	0	DS	2.4	16	18.8	63	74.1	DS	2.4	0	0	4	4.7	DS	2.4	"2,312"
Montana		30	4	8	6	0	0	0	0	DS	33.3	0	0	DS	33.3	DS	33.3	0	0	0	0	0	0	781
Nebraska		31	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	"1,073"
Nevada		32	4	8	20	DS	10	0	0	6	30	5	25	5	25	0	0	DS	10	0	0	0	0	649
New Hampshire		33	1	1	13	0	0	0	0	0	0	0	0	13	100	0	0	0	0	DS	15.4	0	0	478
New Jersey		34	1	2	123	0	0	0	0	31	25.2	85	69.1	7	5.7	0	0	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	6	DS	33.3	0	0	DS	33.3	0	0	DS	33.3	0	0	0	0	0	0	0	0	853
New York		36	1	2	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	0	0	"4,864"
North Carolina		37	3	5	13	0	0	0	0	0	0	9	69.2	DS	15.4	DS	15.4	0	0	0	0	0	0	"2,535"
North Dakota		38	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	468
Ohio		39	2	3	234	0	0	0	0	DS	0.9	76	32.5	151	64.5	0	0	5	2.1	4	1.7	DS	0.9	"3,702"
Oklahoma		40	3	7	131	11	8.4	4	3.1	16	12.2	36	27.5	60	45.8	0	0	4	3.1	4	3.1	4	3.1	"1,774"
Oregon		41	9	4	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	"1,312"
Pennsylvania		42	1	2	52	0	0	0	0	0	0	28	53.8	22	42.3	0	0	DS	3.8	0	0	0	0	"3,220"
Rhode Island		44	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291
South Carolina		45	3	5	170	0	0	4	2.4	7	4.1	123	72.4	32	18.8	DS	1.2	DS	1.2	0	0	4	2.4	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	47	0	0	0	0	DS	4.3	28	59.6	15	31.9	0	0	DS	4.3	25	53.2	0	0	"1,802"
Texas		48	3	7	859	6	0.7	DS	0.2	465	54.1	258	30	118	13.7	DS	0.2	8	0.9	11	1.3	69	8	"8,472"
Utah		49	4	8	13	DS	15.4	0	0	4	30.8	0	0	7	53.8	0	0	0	0	0	0	0	0	981
Vermont		50	1	1	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	295
Virginia		51	3	5	34	DS	5.9	0	0	DS	5.9	20	58.8	8	23.5	0	0	DS	5.9	6	17.6	DS	5.9	"1,984"
Washington		53	4	9	281	7	2.5	0	0	58	20.6	4	1.4	208	74	0	0	4	1.4	4	1.4	DS	0.7	"2,256"
West Virginia		54	3	5	9	0	0	0	0	0	0	DS	22.2	7	77.8	0	0	0	0	0	0	0	0	733
Wisconsin		55	2	3	326	4	1.2	4	1.2	12	3.7	9	2.8	293	89.9	0	0	4	1.2	0	0	DS	0.6	"2,242"
Wyoming		56	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
