State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"10,666"	149	1.4	185	1.7	"1,252"	11.7	"3,463"	32.5	"5,248"	49.2	22	0.2	347	3.3	"6,755"	63.3	64	0.6	194	1.8	"95,635"
Alabama		1	3	6	216	0	0	0	0	DS	0.9	116	53.7	94	43.5	0	0	4	1.9	121	56	7	3.2	0	0	"1,432"
Alaska		2	4	9	10	4	40	0	0	0	0	0	0	6	60	0	0	0	0	6	60	0	0	0	0	493
Arizona		4	4	8	123	9	7.3	DS	1.6	28	22.8	22	17.9	56	45.5	DS	1.6	4	3.3	91	74	0	0	4	3.3	"1,920"
Arkansas		5	3	7	68	0	0	0	0	DS	2.9	31	45.6	31	45.6	0	0	4	5.9	22	32.4	DS	2.9	0	0	"1,097"
California		6	4	9	331	DS	0.6	17	5.1	126	38.1	64	19.3	108	32.6	4	1.2	10	3	226	68.3	DS	0.6	22	6.6	"9,866"
Colorado		8	4	8	60	0	0	DS	3.3	17	28.3	7	11.7	30	50	0	0	4	6.7	38	63.3	0	0	4	6.7	"1,811"
Connecticut		9	1	1	208	0	0	8	3.8	34	16.3	61	29.3	103	49.5	0	0	DS	1	158	76	DS	1	DS	1	"1,122"
Delaware		10	3	5	16	0	0	DS	12.5	DS	12.5	6	37.5	4	25	0	0	DS	12.5	14	87.5	0	0	0	0	232
District of Columbia		11	3	5	23	0	0	0	0	0	0	23	100	0	0	0	0	0	0	15	65.2	0	0	0	0	211
Florida		12	3	5	666	DS	0.3	DS	0.3	51	7.7	230	34.5	353	53	DS	0.3	26	3.9	622	93.4	0	0	DS	0.3	"3,886"
Georgia		13	3	5	"1,034"	0	0	81	7.8	255	24.7	521	50.4	133	12.9	0	0	44	4.3	244	23.6	DS	0.2	69	6.7	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	64	7	10.9	0	0	4	6.3	4	6.3	45	70.3	0	0	4	6.3	46	71.9	DS	3.1	0	0	703
Illinois		17	2	3	557	DS	0.4	8	1.4	34	6.1	223	40	260	46.7	0	0	30	5.4	464	83.3	DS	0.4	DS	0.4	"4,221"
Indiana		18	2	3	202	DS	1	DS	1	4	2	40	19.8	140	69.3	0	0	14	6.9	138	68.3	7	3.5	DS	1	"1,875"
Iowa		19	2	4	248	DS	0.8	DS	0.8	7	2.8	51	20.6	173	69.8	0	0	13	5.2	190	76.6	0	0	0	0	"1,458"
Kansas		20	2	4	73	DS	2.7	DS	2.7	4	5.5	12	16.4	45	61.6	0	0	8	11	58	79.5	0	0	DS	2.7	"1,389"
Kentucky		21	3	6	277	0	0	DS	0.7	DS	0.7	33	11.9	236	85.2	0	0	4	1.4	145	52.3	0	0	0	0	"1,417"
Louisiana		22	3	7	50	0	0	0	0	DS	4	39	78	9	18	0	0	0	0	11	22	DS	4	0	0	"1,394"
Maine		23	1	1	112	0	0	0	0	DS	1.8	4	3.6	104	92.9	0	0	DS	1.8	98	87.5	DS	1.8	0	0	595
Maryland		24	3	5	81	DS	2.5	DS	2.5	4	4.9	39	48.1	28	34.6	0	0	6	7.4	48	59.3	DS	2.5	4	4.9	"1,444"
Massachusetts		25	1	1	133	0	0	DS	1.5	37	27.8	26	19.5	64	48.1	0	0	4	3	108	81.2	DS	1.5	9	6.8	"1,834"
Michigan		26	2	3	542	4	0.7	6	1.1	24	4.4	105	19.4	394	72.7	0	0	9	1.7	325	60	4	0.7	4	0.7	"3,626"
Minnesota		27	2	4	727	21	2.9	8	1.1	28	3.9	448	61.6	196	27	10	1.4	16	2.2	332	45.7	5	0.7	8	1.1	"2,077"
Mississippi		28	3	6	42	0	0	0	0	0	0	35	83.3	7	16.7	0	0	0	0	15	35.7	0	0	0	0	973
Missouri		29	2	4	369	0	0	DS	0.5	7	1.9	75	20.3	276	74.8	DS	0.5	7	1.9	202	54.7	DS	0.5	0	0	"2,312"
