State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"42,819"	520	1.2	485	1.1	"4,694"	11	"11,150"	26	"24,517"	57.3	54	0.1	"1,399"	3.3	"33,438"	78.1	268	0.6	793	1.9	"95,635"
Alabama		1	3	6	849	0	0	DS	0.2	10	1.2	324	38.2	503	59.2	0	0	10	1.2	615	72.4	5	0.6	4	0.5	"1,432"
Alaska		2	4	9	100	40	40	0	0	DS	DS	4	4	48	48	DS	DS	4	4	77	77	0	0	4	4	493
Arizona		4	4	8	726	55	7.6	6	0.8	165	22.7	86	11.8	388	53.4	4	0.6	22	3	588	81	4	0.6	13	1.8	"1,920"
Arkansas		5	3	7	303	0	0	4	1.3	21	6.9	108	35.6	166	54.8	DS	0.7	DS	0.7	123	40.6	DS	0.7	DS	0.7	"1,097"
California		6	4	9	"1,493"	12	0.8	67	4.5	463	31	254	17	637	42.7	12	0.8	48	3.2	"1,256"	84.1	4	0.3	140	9.4	"9,866"
Colorado		8	4	8	397	4	1	DS	0.5	104	26.2	52	13.1	211	53.1	DS	0.5	22	5.5	280	70.5	0	0	18	4.5	"1,811"
Connecticut		9	1	1	"1,034"	4	0.4	8	0.8	202	19.5	248	24	543	52.5	0	0	29	2.8	882	85.3	6	0.6	10	1	"1,122"
Delaware		10	3	5	66	0	0	DS	3	7	10.6	24	36.4	31	47	0	0	DS	3	60	90.9	0	0	DS	3	232
District of Columbia		11	3	5	56	0	0	0	0	DS	3.6	54	96.4	0	0	0	0	0	0	41	73.2	0	0	0	0	211
Florida		12	3	5	"3,195"	14	0.4	20	0.6	81	2.5	"1,109"	34.7	"1,779"	55.7	DS	0.1	190	5.9	"3,090"	96.7	0	0	DS	0.1	"3,886"
Georgia		13	3	5	"2,570"	4	0.2	106	4.1	314	12.2	"1,274"	49.6	771	30	0	0	101	3.9	"1,416"	55.1	7	0.3	84	3.3	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	237	4	1.7	0	0	26	11	4	1.7	195	82.3	0	0	8	3.4	175	73.8	0	0	4	1.7	703
Illinois		17	2	3	"2,380"	4	0.2	20	0.8	164	6.9	824	34.6	"1,297"	54.5	DS	0.1	69	2.9	"2,093"	87.9	14	0.6	26	1.1	"4,221"
Indiana		18	2	3	"1,014"	DS	0.2	9	0.9	29	2.9	165	16.3	765	75.4	DS	0.2	42	4.1	841	82.9	DS	0.2	4	0.4	"1,875"
Iowa		19	2	4	"1,012"	4	0.4	7	0.7	52	5.1	215	21.2	702	69.4	DS	0.2	30	3	828	81.8	DS	0.2	9	0.9	"1,458"
Kansas		20	2	4	383	DS	0.5	4	1	22	5.7	42	11	278	72.6	DS	0.5	33	8.6	321	83.8	0	0	7	1.8	"1,389"
Kentucky		21	3	6	837	0	0	4	0.5	31	3.7	119	14.2	662	79.1	0	0	21	2.5	598	71.4	7	0.8	4	0.5	"1,417"
Louisiana		22	3	7	200	4	DS	0	0	4	DS	147	73.5	43	21.5	0	0	DS	1	79	39.5	11	5.5	0	0	"1,394"
Maine		23	1	1	438	4	0.9	DS	0.5	4	0.9	20	4.6	402	91.8	0	0	6	1.4	393	89.7	5	1.1	4	0.9	595
Maryland		24	3	5	417	0	0	11	2.6	32	7.7	134	32.1	214	51.3	0	0	26	6.2	336	80.6	7	1.7	6	1.4	"1,444"
Massachusetts		25	1	1	772	DS	0.3	10	1.3	183	23.7	125	16.2	418	54.1	0	0	34	4.4	653	84.6	10	1.3	28	3.6	"1,834"
Michigan		26	2	3	"2,027"	27	1.3	11	0.5	75	3.7	333	16.4	"1,540"	76	DS	0.1	39	1.9	"1,520"	75	8	0.4	7	0.3	"3,626"
Minnesota		27	2	4	"1,952"	53	2.7	21	1.1	88	4.5	804	41.2	934	47.8	5	0.3	47	2.4	"1,510"	77.4	10	0.5	28	1.4	"2,077"
Mississippi		28	3	6	197	0	0	DS	1	DS	1	117	59.4	74	37.6	0	0	DS	1	72	36.5	0	0	DS	1	973
Missouri		29	2	4	"1,537"	4	0.3	4	0.3	32	2.1	246	16	"1,225"	79.7	4	0.3	22	1.4	900	58.6	10	0.7	6	0.4	"2,312"
Montana		30	4	8	124	16	12.9	0	0	4	3.2	4	3.2	92	74.2	0	0	8	6.5	67	54	0	0	DS	1.6	781
Nebraska		31	2	4	267	9	3.4	DS	0.7	21	7.9	25	9.4	191	71.5	DS	0.7	17	6.4	204	76.4	DS	0.7	DS	0.7	"1,073"
Nevada		32	4	8	532	4	0.8	14	2.6	110	20.7	152	28.6	209	39.3	6	1.1	37	7	506	95.1	DS	0.4	DS	0.4	649
New Hampshire		33	1	1	419	0	0	4	1	15	3.6	12	2.9	384	91.6	0	0	4	1	355	84.7	6	1.4	4	1	478
New Jersey		34	1	2	"1,040"	DS	0.2	32	3.1	170	16.3	425	40.9	393	37.8	0	0	18	1.7	906	87.1	9	0.9	0	0	"2,538"
New Mexico		35	4	8	123	10	8.1	0	0	63	51.2	7	5.7	39	31.7	0	0	4	3.3	95	77.2	DS	1.6	14	11.4	853
New York		36	1	2	"1,805"	12	0.7	8	0.4	153	8.5	512	28.4	"1,081"	59.9	0	0	39	2.2	"1,617"	89.6	9	0.5	9	0.5	"4,864"
North Carolina		37	3	5	428	4	0.9	4	0.9	12	2.8	154	36	232	54.2	0	0	22	5.1	350	81.8	4	0.9	4	0.9	"2,535"
North Dakota		38	2	4	85	4	4.7	0	0	DS	2.4	4	4.7	75	88.2	0	0	0	0	66	77.6	DS	2.4	0	0	468
Ohio		39	2	3	"1,112"	0	0	4	0.4	26	2.3	253	22.8	739	66.5	0	0	90	8.1	901	81	7	0.6	6	0.5	"3,702"
Oklahoma		40	3	7	506	43	8.5	4	0.8	49	9.7	172	34	224	44.3	0	0	14	2.8	266	52.6	DS	0.4	20	4	"1,774"
Oregon		41	9	4	644	15	2.3	8	1.2	88	13.7	34	5.3	467	72.5	0	0	32	5	568	88.2	DS	0.3	20	3.1	"1,312"
Pennsylvania		42	1	2	"1,212"	DS	0.2	6	0.5	83	6.8	306	25.2	781	64.4	0	0	34	2.8	938	77.4	5	0.4	6	0.5	"3,220"
Rhode Island		44	1	1	368	7	1.9	4	1.1	65	17.7	71	19.3	213	57.9	4	1.1	4	1.1	298	81	DS	0.5	4	1.1	291
South Carolina		45	3	5	538	0	0	DS	0.4	12	2.2	271	50.4	238	44.2	0	0	15	2.8	362	67.3	0	0	6	1.1	"1,219"
South Dakota		46	2	4	199	43	21.6	4	2	7	3.5	15	7.5	126	63.3	0	0	4	2	124	62.3	0	0	4	2	668
Tennessee		47	3	6	801	DS	0.2	DS	0.2	9	1.1	209	26.1	571	71.3	0	0	8	1	619	77.3	26	3.2	4	0.5	"1,802"
Texas		48	3	7	"4,610"	26	0.6	34	0.7	"1,463"	31.7	"1,102"	23.9	"1,873"	40.6	4	0.1	108	2.3	"3,580"	77.7	45	1	230	5	"8,472"
Utah		49	4	8	287	7	2.4	5	1.7	28	9.8	14	4.9	229	79.8	DS	0.7	DS	0.7	255	88.9	0	0	6	2.1	981
Vermont		50	1	1	327	DS	0.6	DS	0.6	6	1.8	12	3.7	299	91.4	0	0	6	1.8	237	72.5	22	6.7	4	1.2	295
Virginia		51	3	5	579	4	0.7	DS	0.3	18	3.1	287	49.6	237	40.9	DS	0.3	29	5	474	81.9	DS	0.3	4	0.7	"1,984"
Washington		53	4	9	653	19	2.9	10	1.5	85	13	33	5.1	470	72	5	0.8	31	4.7	453	69.4	5	0.8	11	1.7	"2,256"
West Virginia		54	3	5	317	0	0	0	0	4	1.3	31	9.8	274	86.4	0	0	8	2.5	215	67.8	DS	0.6	0	0	733
