State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non_IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"13,292"	192	1.4	234	1.8	"1,949"	14.7	"4,601"	34.6	"5,867"	44.1	27	0.2	422	3.2	332	2.5	387	2.9	"95,635"
Alabama		1	3	6	329	0	0	DS	0.6	4	1.2	191	58.1	128	38.9	0	0	4	1.2	12	3.6	DS	0.6	"1,432"
Alaska		2	4	9	27	11	40.7	0	0	0	0	DS	7.4	14	51.9	0	0	0	0	0	0	DS	7.4	493
Arizona		4	4	8	170	14	8.2	DS	1.2	51	30	24	14.1	67	39.4	DS	1.2	10	5.9	4	2.4	8	4.7	"1,920"
Arkansas		5	3	7	226	0	0	DS	0.9	17	7.5	100	44.2	105	46.5	0	0	DS	0.9	4	1.8	DS	0.9	"1,097"
California		6	4	9	342	7	2	DS	0.6	181	52.9	71	20.8	73	21.3	4	1.2	4	1.2	6	1.8	46	13.5	"9,866"
Colorado		8	4	8	139	0	0	DS	1.4	52	37.4	21	15.1	60	43.2	0	0	4	2.9	0	0	4	2.9	"1,811"
Connecticut		9	1	1	202	0	0	DS	1	41	20.3	68	33.7	84	41.6	0	0	7	3.5	8	4	DS	1	"1,122"
Delaware		10	3	5	8	0	0	0	0	0	0	DS	25	6	75	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	23	0	0	0	0	0	0	23	100	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	149	0	0	0	0	68	45.6	4	2.7	70	47	0	0	7	4.7	0	0	4	2.7	"3,886"
Georgia		13	3	5	"1,944"	DS	0.1	178	9.2	506	26	"1,042"	53.6	146	7.5	0	0	70	3.6	9	0.5	149	7.7	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	80	4	5	0	0	14	17.5	4	5	54	67.5	0	0	4	5	DS	2.5	DS	2.5	703
Illinois		17	2	3	380	0	0	0	0	28	7.4	123	32.4	209	55	0	0	20	5.3	16	4.2	4	1.1	"4,221"
Indiana		18	2	3	237	0	0	DS	0.8	9	3.8	72	30.4	138	58.2	0	0	16	6.8	9	3.8	4	1.7	"1,875"
Iowa		19	2	4	242	0	0	0	0	17	7	61	25.2	151	62.4	0	0	13	5.4	DS	0.8	DS	0.8	"1,458"
Kansas		20	2	4	77	0	0	DS	2.6	4	5.2	11	14.3	41	53.2	DS	2.6	17	22.1	0	0	4	5.2	"1,389"
Kentucky		21	3	6	371	0	0	DS	0.5	12	3.2	47	12.7	303	81.7	0	0	7	1.9	7	1.9	DS	0.5	"1,417"
Louisiana		22	3	7	160	0	0	0	0	DS	1.3	132	82.5	24	15	0	0	DS	1.3	13	8.1	0	0	"1,394"
Maine		23	1	1	59	DS	3.4	0	0	DS	3.4	6	10.2	49	83.1	0	0	0	0	7	11.9	0	0	595
Maryland		24	3	5	114	0	0	DS	1.8	9	7.9	39	34.2	52	45.6	0	0	12	10.5	9	7.9	DS	1.8	"1,444"
Massachusetts		25	1	1	144	DS	1.4	DS	1.4	28	19.4	33	22.9	70	48.6	0	0	9	6.3	12	8.3	6	4.2	"1,834"
Michigan		26	2	3	724	8	1.1	4	0.6	36	5	115	15.9	549	75.8	0	0	12	1.7	12	1.7	4	0.6	"3,626"
Minnesota		27	2	4	837	15	1.8	4	0.5	29	3.5	643	76.8	117	14	15	1.8	14	1.7	15	1.8	16	1.9	"2,077"
Mississippi		28	3	6	152	0	0	DS	1.3	DS	1.3	106	69.7	42	27.6	0	0	0	0	0	0	DS	1.3	973
Missouri		29	2	4	804	DS	0.2	DS	0.2	12	1.5	182	22.6	594	73.9	DS	0.2	10	1.2	12	1.5	0	0	"2,312"
Montana		30	4	8	63	6	9.5	0	0	DS	3.2	4	6.3	45	71.4	0	0	6	9.5	0	0	DS	3.2	781
Nebraska		31	2	4	80	5	6.3	DS	2.5	8	10	6	7.5	53	66.3	DS	2.5	4	5	DS	2.5	0	0	"1,073"
Nevada		32	4	8	30	DS	6.7	0	0	10	33.3	10	33.3	8	26.7	0	0	0	0	DS	6.7	0	0	649
New Hampshire		33	1	1	81	0	0	DS	2.5	DS	2.5	4	4.9	71	87.7	0	0	DS	2.5	6	7.4	DS	2.5	478
New Jersey		34	1	2	173	0	0	4	2.3	16	9.2	97	56.1	52	30.1	0	0	4	2.3	13	7.5	0	0	"2,538"
New Mexico		35	4	8	39	DS	5.1	0	0	16	41	4	10.3	15	38.5	0	0	DS	5.1	DS	5.1	DS	5.1	853
New York		36	1	2	264	DS	0.8	DS	0.8	20	7.6	91	34.5	138	52.3	0	0	11	4.2	11	4.2	DS	0.8	"4,864"
North Carolina		37	3	5	95	DS	2.1	DS	2.1	4	4.2	42	44.2	40	42.1	0	0	5	5.3	6	6.3	DS	2.1	"2,535"
North Dakota		38	2	4	23	DS	8.7	0	0	0	0	DS	8.7	17	73.9	0	0	DS	8.7	DS	8.7	0	0	468
Ohio		39	2	3	283	0	0	DS	0.7	6	2.1	114	40.3	146	51.6	0	0	15	5.3	9	3.2	0	0	"3,702"
Oklahoma		40	3	7	324	28	8.6	4	1.2	36	11.1	135	41.7	102	31.5	DS	0.6	17	5.2	4	1.2	14	4.3	"1,774"
Oregon		41	9	4	85	0	0	0	0	14	16.5	4	4.7	60	70.6	0	0	7	8.2	DS	2.4	DS	2.4	"1,312"
Pennsylvania		42	1	2	422	0	0	DS	0.5	30	7.1	224	53.1	154	36.5	0	0	12	2.8	7	1.7	4	0.9	"3,220"
Rhode Island		44	1	1	100	DS	DS	0	0	23	23	16	16	55	55	DS	DS	DS	DS	4	4	0	0	291
South Carolina		45	3	5	277	0	0	0	0	DS	0.7	170	61.4	94	33.9	0	0	11	4	DS	0.7	DS	0.7	"1,219"
South Dakota		46	2	4	103	34	33	DS	1.9	4	3.9	8	7.8	53	51.5	0	0	DS	1.9	0	0	DS	1.9	668
Tennessee		47	3	6	227	0	0	0	0	4	1.8	99	43.6	118	52	0	0	6	2.6	28	12.3	DS	0.9	"1,802"
Texas		48	3	7	"1,334"	6	0.4	DS	0.1	523	39.2	257	19.3	510	38.2	DS	0.1	34	2.5	47	3.5	80	6	"8,472"
Utah		49	4	8	34	DS	5.9	0	0	5	14.7	DS	5.9	25	73.5	0	0	0	0	0	0	0	0	981
Vermont		50	1	1	112	DS	1.8	0	0	4	3.6	6	5.4	98	87.5	0	0	DS	1.8	27	24.1	DS	1.8	295
Virginia		51	3	5	157	4	2.5	DS	1.3	4	2.5	92	58.6	47	29.9	0	0	8	5.1	4	2.5	DS	1.3	"1,984"
Washington		53	4	9	335	12	3.6	0	0	65	19.4	4	1.2	248	74	DS	0.6	4	1.2	5	1.5	DS	0.6	"2,256"
West Virginia		54	3	5	141	0	0	0	0	DS	1.4	16	11.3	121	85.8	0	0	DS	1.4	DS	1.4	0	0	733
Wisconsin		55	2	3	614	26	4.2	4	0.7	35	5.7	77	12.5	447	72.8	0	0	25	4.1	DS	0.3	7	1.1	"2,242"
Wyoming		56	4	8	11	0	0	0	0	DS	18.2	0	0	7	63.6	0	0	DS	18.2	0	0	0	0	349
