State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"7,044"	117	1.7	128	1.8	"1,142"	16.2	"1,660"	23.6	"3,739"	53.1	22	0.3	236	3.4	"2,976"	42.2	45	0.6	220	3.1	"95,635"
Alabama		1	3	6	143	9	6.3	0	0	DS	1.4	64	44.8	64	44.8	0	0	4	2.8	65	45.5	DS	1.4	0	0	"1,432"
Alaska		2	4	9	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	4	100	0	0	DS	50	493
Arizona		4	4	8	204	27	13.2	DS	1	59	28.9	15	7.4	90	44.1	4	2	7	3.4	50	24.5	DS	1	0	0	"1,920"
Arkansas		5	3	7	32	0	0	0	0	DS	6.3	16	50	14	43.8	0	0	0	0	12	37.5	0	0	DS	6.3	"1,097"
California		6	4	9	174	4	2.3	4	2.3	76	43.7	51	29.3	28	16.1	DS	1.1	9	5.2	37	21.3	DS	1.1	31	17.8	"9,866"
Colorado		8	4	8	99	0	0	0	0	14	14.1	4	4	75	75.8	0	0	6	6.1	22	22.2	DS	2	4	4	"1,811"
Connecticut		9	1	1	119	0	0	DS	1.7	14	11.8	42	35.3	59	49.6	0	0	DS	1.7	95	79.8	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	6	0	0	0	0	0	0	6	100	0	0	0	0	0	0	DS	33.3	0	0	0	0	211
Florida		12	3	5	211	DS	0.9	DS	0.9	18	8.5	100	47.4	83	39.3	0	0	6	2.8	179	84.8	0	0	DS	0.9	"3,886"
Georgia		13	3	5	704	0	0	77	10.9	240	34.1	338	48	23	3.3	0	0	26	3.7	27	3.8	0	0	66	9.4	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	167	4	2.4	0	0	65	38.9	DS	1.2	94	56.3	0	0	DS	1.2	30	18	8	4.8	16	9.6	703
Illinois		17	2	3	397	DS	0.5	DS	0.5	18	4.5	137	34.5	216	54.4	0	0	22	5.5	263	66.2	0	0	DS	0.5	"4,221"
Indiana		18	2	3	285	0	0	6	2.1	6	2.1	58	20.4	205	71.9	DS	0.7	8	2.8	147	51.6	0	0	4	1.4	"1,875"
Iowa		19	2	4	230	4	1.7	4	1.7	14	6.1	45	19.6	153	66.5	0	0	10	4.3	169	73.5	DS	0.9	0	0	"1,458"
Kansas		20	2	4	74	DS	2.7	DS	2.7	7	9.5	4	5.4	55	74.3	0	0	4	5.4	61	82.4	0	0	0	0	"1,389"
Kentucky		21	3	6	52	0	0	0	0	DS	3.8	17	32.7	29	55.8	0	0	4	7.7	36	69.2	0	0	0	0	"1,417"
Louisiana		22	3	7	26	0	0	0	0	0	0	21	80.8	5	19.2	0	0	0	0	4	15.4	DS	7.7	0	0	"1,394"
Maine		23	1	1	49	0	0	0	0	4	8.2	DS	4.1	43	87.8	0	0	0	0	41	83.7	0	0	0	0	595
Maryland		24	3	5	36	0	0	DS	5.6	DS	5.6	20	55.6	8	22.2	0	0	4	11.1	27	75	0	0	DS	5.6	"1,444"
Massachusetts		25	1	1	13	0	0	0	0	DS	15.4	DS	15.4	9	69.2	0	0	0	0	13	100	0	0	0	0	"1,834"
Michigan		26	2	3	480	4	0.8	4	0.8	29	6	61	12.7	378	78.8	0	0	4	0.8	257	53.5	DS	0.4	DS	0.4	"3,626"
Minnesota		27	2	4	158	DS	1.3	DS	1.3	4	2.5	59	37.3	83	52.5	0	0	8	5.1	144	91.1	0	0	4	2.5	"2,077"
Mississippi		28	3	6	52	DS	3.8	0	0	0	0	16	30.8	34	65.4	0	0	0	0	9	17.3	0	0	0	0	973
Missouri		29	2	4	65	DS	3.1	0	0	DS	3.1	15	23.1	44	67.7	0	0	DS	3.1	39	60	0	0	0	0	"2,312"
Montana		30	4	8	58	4	6.9	0	0	DS	3.4	0	0	52	89.7	0	0	0	0	11	19	0	0	0	0	781
Nebraska		31	2	4	76	0	0	0	0	7	9.2	13	17.1	48	63.2	0	0	8	10.5	50	65.8	0	0	0	0	"1,073"
Nevada		32	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	37	0	0	0	0	DS	5.4	DS	5.4	33	89.2	0	0	0	0	30	81.1	0	0	0	0	478
New Jersey		34	1	2	42	0	0	0	0	6	14.3	20	47.6	16	38.1	0	0	0	0	35	83.3	0	0	0	0	"2,538"
