State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"17,409"	251	1.4	128	0.7	"1,302"	7.5	"3,907"	22.4	"11,212"	64.4	27	0.2	582	3.3	228	1.3	"95,635"
Alabama		1	3	6	391	0	0	0	0	DS	0.5	108	27.6	271	69.3	DS	0.5	8	2	0	0	"1,432"
Alaska		2	4	9	39	10	25.6	0	0	0	0	DS	5.1	21	53.8	DS	5.1	4	10.3	DS	5.1	493
Arizona		4	4	8	188	41	21.8	DS	1.1	37	19.7	17	9	85	45.2	DS	1.1	4	2.1	DS	1.1	"1,920"
Arkansas		5	3	7	58	0	0	0	0	DS	3.4	18	31	38	65.5	0	0	0	0	0	0	"1,097"
California		6	4	9	222	4	1.8	6	2.7	68	30.6	53	23.9	87	39.2	0	0	4	1.8	14	6.3	"9,866"
Colorado		8	4	8	186	DS	1.1	0	0	53	28.5	14	7.5	108	58.1	DS	1.1	7	3.8	19	10.2	"1,811"
Connecticut		9	1	1	629	DS	0.3	6	1	109	17.3	162	25.8	327	52	0	0	23	3.7	4	0.6	"1,122"
Delaware		10	3	5	25	0	0	DS	8	DS	8	10	40	11	44	0	0	0	0	0	0	232
District of Columbia		11	3	5	4	0	0	0	0	0	0	4	100	0	0	0	0	0	0	0	0	211
Florida		12	3	5	980	6	0.6	DS	0.2	26	2.7	420	42.9	475	48.5	DS	0.2	49	5	DS	0.2	"3,886"
Georgia		13	3	5	90	0	0	0	0	DS	2.2	23	25.6	63	70	0	0	DS	2.2	0	0	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	153	4	2.6	0	0	26	17	DS	1.3	115	75.2	DS	1.3	4	2.6	13	8.5	703
Illinois		17	2	3	"1,528"	0	0	13	0.9	89	5.8	481	31.5	891	58.3	DS	0.1	52	3.4	10	0.7	"4,221"
Indiana		18	2	3	"1,031"	DS	0.2	9	0.9	24	2.3	198	19.2	755	73.2	4	0.4	39	3.8	6	0.6	"1,875"
Iowa		19	2	4	779	4	0.5	6	0.8	29	3.7	114	14.6	593	76.1	DS	0.3	31	4	DS	0.3	"1,458"
Kansas		20	2	4	389	6	1.5	4	1	21	5.4	38	9.8	289	74.3	0	0	31	8	4	1	"1,389"
Kentucky		21	3	6	194	0	0	0	0	DS	1	39	20.1	145	74.7	0	0	8	4.1	DS	1	"1,417"
Louisiana		22	3	7	28	0	0	0	0	0	0	19	67.9	9	32.1	0	0	0	0	0	0	"1,394"
