State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Male Students	Number of American or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"9,748"	131	1.3	134	1.4	"1,884"	19.3	"1,960"	20.1	"5,354"	54.9	23	0.2	262	2.7	228	2.3	416	4.3	"95,635"
Alabama		1	3	6	324	17	5.2	0	0	DS	0.6	197	60.8	106	32.7	0	0	DS	0.6	0	0	0	0	"1,432"
Alaska		2	4	9	DS	DS	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	310	11	3.5	DS	0.6	102	32.9	20	6.5	167	53.9	0	0	8	2.6	6	1.9	DS	0.6	"1,920"
Arkansas		5	3	7	54	0	0	0	0	4	7.4	21	38.9	29	53.7	0	0	0	0	7	13	DS	3.7	"1,097"
California		6	4	9	399	DS	0.5	0	0	237	59.4	104	26.1	47	11.8	DS	0.5	7	1.8	DS	0.5	69	17.3	"9,866"
Colorado		8	4	8	209	0	0	0	0	54	25.8	9	4.3	144	68.9	0	0	DS	1	DS	1	13	6.2	"1,811"
Connecticut		9	1	1	57	0	0	DS	3.5	15	26.3	18	31.6	20	35.1	0	0	DS	3.5	4	7	0	0	"1,122"
Delaware		10	3	5	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	6	0	0	0	0	DS	33.3	4	66.7	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	125	0	0	0	0	50	40	16	12.8	55	44	0	0	4	3.2	0	0	DS	1.6	"3,886"
Georgia		13	3	5	698	DS	0.3	97	13.9	231	33.1	343	49.1	DS	0.3	0	0	23	3.3	DS	0.3	80	11.5	"2,422"
