State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"13,816"	193	1.4	244	1.8	"2,803"	20.3	"2,863"	20.7	"7,274"	52.6	40	0.3	399	2.9	273	2	588	4.3	"95,635"
Alabama		1	3	6	402	26	6.5	0	0	4	1	236	58.7	132	32.8	0	0	4	1	DS	0.5	0	0	"1,432"
Alaska		2	4	9	DS	DS	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	464	19	4.1	4	0.9	155	33.4	33	7.1	238	51.3	DS	0.4	13	2.8	8	1.7	DS	0.4	"1,920"
Arkansas		5	3	7	74	0	0	0	0	6	8.1	32	43.2	36	48.6	0	0	0	0	7	9.5	4	5.4	"1,097"
California		6	4	9	536	4	0.7	DS	0.4	304	56.7	149	27.8	59	11	4	0.7	14	2.6	4	0.7	98	18.3	"9,866"
Colorado		8	4	8	286	0	0	0	0	61	21.3	11	3.8	208	72.7	0	0	6	2.1	4	1.4	15	5.2	"1,811"
Connecticut		9	1	1	81	0	0	DS	2.5	17	21	31	38.3	29	35.8	0	0	DS	2.5	4	4.9	0	0	"1,122"
Delaware		10	3	5	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	10	0	0	0	0	DS	20	8	80	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	157	0	0	DS	1.3	66	42	18	11.5	65	41.4	0	0	6	3.8	0	0	DS	1.3	"3,886"
Georgia		13	3	5	"1,375"	DS	0.1	174	12.7	471	34.3	675	49.1	4	0.3	0	0	49	3.6	DS	0.1	146	10.6	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	540	7	1.3	0	0	211	39.1	8	1.5	312	57.8	DS	0.4	0	0	22	4.1	48	8.9	703
Illinois		17	2	3	438	DS	0.5	0	0	32	7.3	78	17.8	305	69.6	0	0	21	4.8	4	0.9	0	0	"4,221"
Indiana		18	2	3	618	0	0	4	0.6	26	4.2	134	21.7	446	72.2	0	0	8	1.3	DS	0.3	15	2.4	"1,875"
Iowa		19	2	4	249	DS	0.8	4	1.6	7	2.8	33	13.3	195	78.3	0	0	8	3.2	7	2.8	DS	0.8	"1,458"
Kansas		20	2	4	64	DS	3.1	DS	3.1	8	12.5	6	9.4	38	59.4	DS	3.1	6	9.4	DS	3.1	0	0	"1,389"
Kentucky		21	3	6	62	0	0	DS	3.2	4	6.5	18	29	34	54.8	0	0	4	6.5	0	0	DS	3.2	"1,417"
Louisiana		22	3	7	84	0	0	0	0	0	0	59	70.2	25	29.8	0	0	0	0	6	7.1	0	0	"1,394"
Maine		23	1	1	29	0	0	0	0	DS	6.9	DS	6.9	25	86.2	0	0	0	0	DS	6.9	0	0	595
Maryland		24	3	5	23	0	0	0	0	0	0	13	56.5	4	17.4	0	0	6	26.1	DS	8.7	0	0	"1,444"
Massachusetts		25	1	1	11	0	0	0	0	DS	18.2	DS	18.2	7	63.6	0	0	0	0	DS	18.2	0	0	"1,834"
Michigan		26	2	3	737	7	0.9	4	0.5	47	6.4	53	7.2	618	83.9	DS	0.3	6	0.8	10	1.4	0	0	"3,626"
Minnesota		27	2	4	65	4	6.2	0	0	4	6.2	9	13.8	46	70.8	0	0	DS	3.1	DS	3.1	7	10.8	"2,077"
Mississippi		28	3	6	111	4	3.6	0	0	DS	1.8	37	33.3	68	61.3	0	0	0	0	0	0	DS	1.8	973
Missouri		29	2	4	167	0	0	0	0	4	2.4	11	6.6	150	89.8	0	0	DS	1.2	DS	1.2	DS	1.2	"2,312"
Montana		30	4	8	134	9	6.7	0	0	DS	1.5	0	0	123	91.8	0	0	0	0	0	0	0	0	781
Nebraska		31	2	4	187	DS	1.1	DS	1.1	33	17.6	7	3.7	139	74.3	0	0	4	2.1	0	0	5	2.7	"1,073"
Nevada		32	4	8	27	0	0	0	0	11	40.7	11	40.7	5	18.5	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	29	0	0	0	0	0	0	DS	6.9	27	93.1	0	0	0	0	DS	6.9	0	0	478
New Jersey		34	1	2	133	0	0	0	0	30	22.6	88	66.2	13	9.8	0	0	DS	1.5	0	0	0	0	"2,538"
New Mexico		35	4	8	34	0	0	0	0	24	70.6	DS	5.9	8	23.5	0	0	0	0	0	0	0	0	853
