Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	420	72.5	DS	0.3	418	72.2	0	0	4	0.7	22	3.8	102	17.7	286	49.7	0	0	4	0.7	DS	0.3	"3,702"	39	2	3
Corporal punishment on females	159	27.5	DS	0.3	157	27.1	0	0	DS	0.3	0	0	50	8.7	98	17	0	0	7	1.2	DS	0.3	"3,702"	39	2	3
Corporal punishment total	579	100	4	0.7	575	99.3	0	0	6	1	22	3.8	152	26.4	384	66.8	0	0	11	1.9	4	0.7	"3,702"	39	2	3
One or more in-school suspensions on males	"57,619"	66.8	846	1	"56,773"	65.8	70	0.1	279	0.3	"1,793"	2.1	"16,423"	19.3	"35,371"	41.5	19	0	"2,818"	3.3	838	1	"3,702"	39	2	3
One or more in-school suspensions on females	"28,607"	33.2	228	0.3	"28,379"	32.9	27	0	99	0.1	971	1.1	"10,446"	12.3	"15,306"	18	12	0	"1,518"	1.8	321	0.4	"3,702"	39	2	3
One or more in-school suspensions total	"86,226"	100	"1,074"	1.2	"85,152"	98.8	97	0.1	378	0.4	"2,764"	3.2	"26,869"	31.6	"50,677"	59.5	31	0	"4,336"	5.1	"1,159"	1.3	"3,702"	39	2	3
Only one out-of-school suspension on males	"48,233"	67.9	624	0.9	"47,609"	67	65	0.1	263	0.4	"1,846"	2.6	"15,972"	22.7	"26,954"	38.4	18	0	"2,491"	3.5	862	1.2	"3,702"	39	2	3
Only one out-of-school suspension on females	"22,805"	32.1	148	0.2	"22,657"	31.9	38	0.1	86	0.1	921	1.3	"9,943"	14.2	"10,367"	14.8	15	0	"1,287"	1.8	365	0.5	"3,702"	39	2	3
Only one out-of-school suspension total	"71,038"	100	772	1.1	"70,266"	98.9	103	0.1	349	0.5	"2,767"	3.9	"25,915"	36.9	"37,321"	53.1	33	0	"3,778"	5.4	"1,227"	1.7	"3,702"	39	2	3
More than one out-of-school suspension on males	"36,614"	72.3	451	0.9	"36,163"	71.4	44	0.1	104	0.2	"1,280"	2.6	"17,076"	34.1	"15,538"	31	9	0	"2,112"	4.2	634	1.3	"3,702"	39	2	3
More than one out-of-school suspension on females	"14,030"	27.7	100	0.2	"13,930"	27.5	9	0	28	0.1	444	0.9	"8,273"	16.5	"4,405"	8.8	5	0	766	1.5	163	0.3	"3,702"	39	2	3
More than one out-of-school suspension total	"50,644"	100	551	1.1	"50,093"	98.9	53	0.1	132	0.3	"1,724"	3.4	"25,349"	50.6	"19,943"	39.8	14	0	"2,878"	5.7	797	1.6	"3,702"	39	2	3
One or more out-of-school suspensions on males	"84,844"	69.7	"1,071"	0.9	"83,773"	68.9	107	0.1	365	0.3	"3,115"	2.6	"33,048"	27.5	"42,507"	35.3	27	0	"4,604"	3.8	"1,492"	1.2	"3,702"	39	2	3
One or more out-of-school suspensions on females	"36,814"	30.3	248	0.2	"36,566"	30.1	46	0	114	0.1	"1,359"	1.1	"18,213"	15.1	"14,768"	12.3	20	0	"2,046"	1.7	533	0.4	"3,702"	39	2	3
One or more out-of-school suspensions total	"121,658"	100	"1,319"	1.1	"120,339"	98.9	153	0.1	479	0.4	"4,474"	3.7	"51,261"	42.6	"57,275"	47.6	47	0	"6,650"	5.5	"2,025"	1.7	"3,702"	39	2	3
Expulsions with educational services on males	"1,193"	73.6	13	0.8	"1,180"	72.8	0	0	DS	0.1	17	1.1	686	42.8	431	26.9	0	0	44	2.7	7	0.4	"3,702"	39	2	3
Expulsions with educational services on females	428	26.4	4	0.2	424	26.2	0	0	DS	0.1	7	0.4	312	19.5	94	5.9	0	0	9	0.6	4	0.2	"3,702"	39	2	3
Expulsions with educational services total	"1,621"	100	17	1	"1,604"	99	0	0	4	0.2	24	1.5	998	62.2	525	32.7	0	0	53	3.3	11	0.7	"3,702"	39	2	3
Expulsions without educational services on males	"2,978"	72.9	26	0.6	"2,952"	72.3	DS	0	10	0.2	149	3.7	"1,221"	30.1	"1,431"	35.3	4	0.1	135	3.3	57	1.4	"3,702"	39	2	3
Expulsions without educational services on females	"1,105"	27.1	5	0.1	"1,100"	26.9	DS	0	0	0	46	1.1	535	13.2	467	11.5	DS	0	48	1.2	6	0.1	"3,702"	39	2	3
Expulsions without educational services total	"4,083"	100	31	0.8	"4,052"	99.2	4	0.1	10	0.2	195	4.8	"1,756"	43.3	"1,898"	46.8	6	0.1	183	4.5	63	1.5	"3,702"	39	2	3
Expulsions with or without educational services on males	"4,176"	73.2	40	0.7	"4,136"	72.5	DS	0	12	0.2	168	3	"1,907"	33.7	"1,865"	33	4	0.1	178	3.1	66	1.2	"3,702"	39	2	3
Expulsions with or without educational services on females	"1,530"	26.8	9	0.2	"1,521"	26.7	DS	0	DS	0	52	0.9	847	15	558	9.9	DS	0	58	1	9	0.2	"3,702"	39	2	3
Expulsions with or without educational services total	"5,706"	100	49	0.9	"5,657"	99.1	4	0.1	14	0.2	220	3.9	"2,754"	48.7	"2,423"	42.8	6	0.1	236	4.2	75	1.3	"3,702"	39	2	3
Expulsions under zero-tolerance policies on males	490	78.4	DS	0.3	488	78.1	0	0	4	0.6	11	1.8	133	21.3	316	50.7	0	0	24	3.9	DS	0.3	"3,702"	39	2	3
Expulsions under zero-tolerance policies on females	135	21.6	0	0	135	21.6	0	0	0	0	4	0.6	36	5.8	89	14.3	0	0	6	1	0	0	"3,702"	39	2	3
Expulsions under zero-tolerance policies total	625	100	DS	0.3	623	99.7	0	0	4	0.6	15	2.4	169	27.1	405	65	0	0	30	4.8	DS	0.3	"3,702"	39	2	3
Referral to law enforcement on males	"2,063"	72.9	11	0.4	"2,052"	72.5	0	0	11	0.4	69	2.4	409	14.5	"1,444"	51.2	DS	0.1	117	4.2	21	0.7	"3,702"	39	2	3
Referral to law enforcement on females	768	27.1	DS	0.1	766	27.1	DS	0.1	8	0.3	19	0.7	173	6.1	506	18	0	0	58	2.1	5	0.2	"3,702"	39	2	3
Referral to law enforcement total	"2,831"	100	13	0.5	"2,818"	99.5	DS	0.1	19	0.7	88	3.1	582	20.7	"1,950"	69.2	DS	0.1	175	6.2	26	0.9	"3,702"	39	2	3
School-related arrests on males	853	71.8	6	0.5	847	71.3	0	0	DS	0.2	47	4	250	21.2	494	41.9	0	0	54	4.6	24	2	"3,702"	39	2	3
School-related arrests on females	335	28.2	DS	0.2	333	28	0	0	DS	0.2	10	0.8	129	10.9	171	14.5	0	0	21	1.8	DS	0.2	"3,702"	39	2	3
School-related arrests total	"1,188"	100	8	0.7	"1,180"	99.3	0	0	4	0.3	57	4.8	379	32.1	665	56.4	0	0	75	6.4	26	2.2	"3,702"	39	2	3
