Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	297	75.8	0	0	DS	0.5	20	5.1	31	7.9	242	61.7	0	0	DS	0.5	0	0	"3,702"	39	2	3
Corporal punishment on females	95	24.2	0	0	DS	0.5	0	0	DS	0.5	89	22.7	0	0	DS	0.5	0	0	"3,702"	39	2	3
Corporal punishment total	392	100	0	0	4	1	20	5.1	33	8.4	331	84.4	0	0	4	1	0	0	"3,702"	39	2	3
One or more in-school suspensions on males	"42,292"	64.2	47	0.1	258	0.4	"1,381"	2.1	"12,329"	18.7	"26,137"	39.7	17	0	"2,123"	3.2	654	1	"3,702"	39	2	3
One or more in-school suspensions on females	"23,573"	35.8	22	0	88	0.1	821	1.2	"8,734"	13.3	"12,604"	19.1	10	0	"1,294"	2	267	0.4	"3,702"	39	2	3
One or more in-school suspensions total	"65,865"	100	69	0.1	346	0.5	"2,202"	3.3	"21,063"	32	"38,741"	58.8	27	0	"3,417"	5.2	921	1.4	"3,702"	39	2	3
Only one out-of-school suspension on males	"34,677"	65	49	0.1	234	0.4	"1,399"	2.6	"11,724"	22	"19,437"	36.4	12	0	"1,822"	3.4	700	1.3	"3,702"	39	2	3
Only one out-of-school suspension on females	"18,687"	35	25	0	72	0.1	757	1.4	"8,325"	15.6	"8,421"	15.8	13	0	"1,074"	2	310	0.6	"3,702"	39	2	3
Only one out-of-school suspension total	"53,364"	100	74	0.1	306	0.6	"2,156"	4	"20,049"	37.6	"27,858"	52.2	25	0	"2,896"	5.4	"1,010"	1.9	"3,702"	39	2	3
More than one out-of-school suspension on males	"24,559"	69	31	0.1	89	0.2	901	2.5	"11,985"	33.7	"10,109"	28.4	7	0	"1,437"	4	477	1.3	"3,702"	39	2	3
More than one out-of-school suspension on females	"11,044"	31	7	0	24	0.1	361	1	"6,666"	18.7	"3,395"	9.5	5	0	586	1.6	134	0.4	"3,702"	39	2	3
More than one out-of-school suspension total	"35,603"	100	38	0.1	113	0.3	"1,262"	3.5	"18,651"	52.4	"13,504"	37.9	12	0	"2,023"	5.7	611	1.7	"3,702"	39	2	3
