Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native ,Percent of American Indian or Alaska Native ,Number of Asians ,Percent of Asians ,Number of Hispanic or Latino of any race ,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races ,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"2,725",58.9,DS,0,41,0.9,217,4.7,709,15.3,"1,598",34.6,DS,0,156,3.4,359,7.8,9,0.2,273,5.9,"1,772",39,2,3
Kindergarten females,"1,898",41.1,DS,0,44,1,126,2.7,528,11.4,"1,100",23.8,DS,0,96,2.1,175,3.8,DS,0,233,5,"1,772",39,2,3
Kindergarten total,"4,623",100,4,0.1,85,1.8,343,7.4,"1,237",26.8,"2,698",58.4,4,0.1,252,5.5,534,11.6,11,0.2,506,10.9,"1,772",39,2,3
1st grade males,"1,382",56.7,DS,0.1,11,0.5,99,4.1,389,16,797,32.7,0,0,84,3.4,211,8.7,4,0.2,73,3,"1,807",39,2,3
1st grade females,"1,055",43.3,0,0,5,0.2,77,3.2,277,11.4,625,25.6,0,0,71,2.9,123,5,DS,0.1,48,2,"1,807",39,2,3
1st grade total,"2,437",100,DS,0.1,16,0.7,176,7.2,666,27.3,"1,422",58.4,0,0,155,6.4,334,13.7,6,0.2,121,5,"1,807",39,2,3
2nd grade males,696,55.3,DS,0.2,7,0.6,52,4.1,267,21.2,322,25.6,0,0,46,3.7,104,8.3,0,0,42,3.3,"1,822",39,2,3
2nd grade females,563,44.7,DS,0.2,DS,0.2,44,3.5,206,16.4,279,22.2,0,0,30,2.4,42,3.3,DS,0.2,33,2.6,"1,822",39,2,3
2nd grade total,"1,259",100,4,0.3,9,0.7,96,7.6,473,37.6,601,47.7,0,0,76,6,146,11.6,DS,0.2,75,6,"1,822",39,2,3
3rd grade males,342,55.4,0,0,DS,0.3,23,3.7,165,26.7,125,20.3,0,0,27,4.4,44,7.1,DS,0.3,15,2.4,"1,823",39,2,3
3rd grade females,275,44.6,DS,0.3,4,0.6,13,2.1,116,18.8,114,18.5,DS,0.3,24,3.9,25,4.1,DS,0.3,14,2.3,"1,823",39,2,3
3rd grade total,617,100,DS,0.3,6,1,36,5.8,281,45.5,239,38.7,DS,0.3,51,8.3,69,11.2,4,0.6,29,4.7,"1,823",39,2,3
4th grade males,225,58,0,0,DS,0.5,16,4.1,111,28.6,86,22.2,0,0,10,2.6,39,10.1,DS,0.5,8,2.1,"1,808",39,2,3
4th grade females,163,42,DS,0.5,DS,0.5,8,2.1,77,19.8,61,15.7,0,0,13,3.4,16,4.1,DS,0.5,8,2.1,"1,808",39,2,3
4th grade total,388,100,DS,0.5,4,1,24,6.2,188,48.5,147,37.9,0,0,23,5.9,55,14.2,4,1,16,4.1,"1,808",39,2,3
5th grade males,246,57.3,0,0,DS,0.5,14,3.3,114,26.6,99,23.1,0,0,17,4,49,11.4,DS,0.5,5,1.2,"1,685",39,2,3
5th grade females,183,42.7,DS,0.5,DS,0.5,15,3.5,104,24.2,55,12.8,0,0,5,1.2,21,4.9,DS,0.5,11,2.6,"1,685",39,2,3
