Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"7,738"	79.2	5	0.1	"7,733"	79.1	"2,122"	21.7	13	0.1	350	3.6	436	4.5	"4,577"	46.9	13	0.1	222	2.3	89	0.9	"1,774"	40	3	7
Corporal punishment on females	"2,034"	20.8	DS	0	"2,032"	20.8	569	5.8	4	0	59	0.6	163	1.7	"1,192"	12.2	DS	0	43	0.4	11	0.1	"1,774"	40	3	7
Corporal punishment total	"9,772"	100	7	0.1	"9,765"	99.9	"2,691"	27.6	17	0.2	409	4.2	599	6.1	"5,769"	59.1	15	0.2	265	2.7	100	1	"1,774"	40	3	7
One or more in-school suspensions on males	"30,312"	67.7	99	0.2	"30,213"	67.5	"5,055"	11.3	180	0.4	"3,518"	7.9	"4,772"	10.7	"15,814"	35.4	60	0.1	814	1.8	999	2.2	"1,774"	40	3	7
One or more in-school suspensions on females	"14,456"	32.3	27	0.1	"14,429"	32.2	"2,604"	5.8	80	0.2	"1,704"	3.8	"2,712"	6.1	"6,873"	15.4	15	0	441	1	460	1	"1,774"	40	3	7
One or more in-school suspensions total	"44,768"	100	126	0.3	"44,642"	99.7	"7,659"	17.2	260	0.6	"5,222"	11.7	"7,484"	16.8	"22,687"	50.8	75	0.2	"1,255"	2.8	"1,459"	3.3	"1,774"	40	3	7
Only one out-of-school suspension on males	"18,282"	68.1	50	0.2	"18,232"	67.9	"2,462"	9.2	131	0.5	"3,073"	11.5	"4,045"	15.1	"8,017"	29.9	37	0.1	467	1.7	"1,365"	5.1	"1,774"	40	3	7
Only one out-of-school suspension on females	"8,555"	31.9	12	0	"8,543"	31.8	"1,083"	4	49	0.2	"1,562"	5.8	"2,409"	9	"3,219"	12	17	0.1	204	0.8	541	2	"1,774"	40	3	7
Only one out-of-school suspension total	"26,837"	100	62	0.2	"26,775"	99.8	"3,545"	13.2	180	0.7	"4,635"	17.3	"6,454"	24.1	"11,236"	42	54	0.2	671	2.5	"1,906"	7.1	"1,774"	40	3	7
More than one out-of-school suspension on males	"9,015"	74.2	26	0.2	"8,989"	74	"1,177"	9.7	46	0.4	"1,245"	10.3	"2,216"	18.3	"4,045"	33.4	27	0.2	233	1.9	527	4.3	"1,774"	40	3	7
More than one out-of-school suspension on females	"3,138"	25.8	4	0	"3,134"	25.8	406	3.3	17	0.1	456	3.8	"1,003"	8.3	"1,164"	9.6	9	0.1	79	0.7	151	1.2	"1,774"	40	3	7
More than one out-of-school suspension total	"12,153"	100	30	0.2	"12,123"	99.8	"1,583"	13.1	63	0.5	"1,701"	14	"3,219"	26.6	"5,209"	43	36	0.3	312	2.6	678	5.6	"1,774"	40	3	7
One or more out-of-school suspensions on males	"27,309"	70	74	0.2	"27,235"	69.8	"3,649"	9.4	176	0.5	"4,311"	11.1	"6,264"	16.1	"12,071"	31	64	0.2	700	1.8	"1,894"	4.9	"1,774"	40	3	7
One or more out-of-school suspensions on females	"11,704"	30	18	0	"11,686"	30	"1,495"	3.8	67	0.2	"2,018"	5.2	"3,415"	8.8	"4,381"	11.3	26	0.1	284	0.7	693	1.8	"1,774"	40	3	7
One or more out-of-school suspensions total	"39,013"	100	92	0.2	"38,921"	99.8	"5,144"	13.2	243	0.6	"6,329"	16.3	"9,679"	24.9	"16,452"	42.3	90	0.2	984	2.5	"2,587"	6.6	"1,774"	40	3	7
Expulsions with educational services on males	"1,998"	72.9	8	0.3	"1,990"	72.7	329	12.1	9	0.3	192	7	483	17.7	888	32.5	4	0.1	85	3.1	47	1.7	"1,774"	40	3	7
Expulsions with educational services on females	741	27.1	DS	0.1	739	27	114	4.2	DS	0.1	64	2.3	254	9.3	275	10.1	DS	0.1	28	1	10	0.4	"1,774"	40	3	7
Expulsions with educational services total	"2,739"	100	10	0.4	"2,729"	99.6	443	16.2	11	0.4	256	9.4	737	27	"1,163"	42.6	6	0.2	113	4.1	57	2.1	"1,774"	40	3	7
Expulsions without educational services on males	"2,683"	65.3	0	0	"2,683"	65.3	300	7.3	18	0.4	460	11.2	"1,096"	26.7	637	15.5	4	0.1	168	4.1	DS	0	"1,774"	40	3	7
Expulsions without educational services on females	"1,426"	34.7	0	0	"1,426"	34.7	149	3.6	0	0	152	3.7	732	17.8	277	6.7	7	0.2	109	2.7	DS	0	"1,774"	40	3	7
Expulsions without educational services total	"4,109"	100	0	0	"4,109"	100	449	10.9	18	0.4	612	14.9	"1,828"	44.5	914	22.2	11	0.3	277	6.7	4	0.1	"1,774"	40	3	7
