Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native ,Percent of American Indian or Alaska Native ,Number of Asians ,Percent of Asians ,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,876",64,331,11.3,22,0.8,297,10.1,183,6.2,965,32.9,8,0.3,70,2.4,251,8.6,5,0.2,211,7.2,857,40,3,7
Kindergarten females,"1,056",36,173,5.9,6,0.2,188,6.4,108,3.7,535,18.2,DS,0.1,44,1.5,105,3.6,DS,0.1,133,4.5,857,40,3,7
Kindergarten total,"2,932",100,504,17.2,28,1,485,16.5,291,9.9,"1,500",51.2,10,0.3,114,3.9,356,12.1,7,0.2,344,11.7,857,40,3,7
1st grade males,"1,517",57.3,254,9.6,12,0.5,274,10.3,140,5.3,762,28.8,8,0.3,67,2.5,205,7.7,DS,0.1,191,7.2,861,40,3,7
1st grade females,"1,131",42.7,226,8.5,5,0.2,198,7.5,104,3.9,545,20.6,DS,0.1,51,1.9,107,4,DS,0.1,139,5.2,861,40,3,7
1st grade total,"2,648",100,480,18.1,17,0.6,472,17.8,244,9.2,"1,307",49.4,10,0.4,118,4.5,312,11.8,4,0.2,330,12.5,861,40,3,7
2nd grade males,632,55.6,110,9.7,6,0.5,130,11.4,93,8.2,264,23.2,DS,0.2,27,2.4,87,7.7,DS,0.2,102,9,863,40,3,7
2nd grade females,505,44.4,100,8.8,6,0.5,87,7.7,59,5.2,229,20.1,DS,0.2,22,1.9,55,4.8,DS,0.2,69,6.1,863,40,3,7
2nd grade total,"1,137",100,210,18.5,12,1.1,217,19.1,152,13.4,493,43.4,4,0.4,49,4.3,142,12.5,4,0.4,171,15,863,40,3,7
3rd grade males,387,53.5,61,8.4,6,0.8,64,8.9,52,7.2,182,25.2,DS,0.3,20,2.8,41,5.7,4,0.6,55,7.6,862,40,3,7
3rd grade females,336,46.5,68,9.4,5,0.7,74,10.2,41,5.7,138,19.1,0,0,10,1.4,30,4.1,DS,0.3,62,8.6,862,40,3,7
3rd grade total,723,100,129,17.8,11,1.5,138,19.1,93,12.9,320,44.3,DS,0.3,30,4.1,71,9.8,6,0.8,117,16.2,862,40,3,7
4th grade males,238,58.2,50,12.2,0,0,48,11.7,33,8.1,103,25.2,DS,0.5,DS,0.5,39,9.5,DS,0.5,43,10.5,856,40,3,7
4th grade females,171,41.8,26,6.4,0,0,30,7.3,24,5.9,82,20,0,0,9,2.2,19,4.6,DS,0.5,27,6.6,856,40,3,7
