Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native ,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race ,Percent of Hispanic or Latino of any race ,Number of Black or African American,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,379,67.8,21,3.8,7,1.3,76,13.6,8,1.4,245,43.8,DS,0.4,20,3.6,102,18.2,0,0,41,7.3,746,41,4,9
Kindergarten females,180,32.2,7,1.3,4,0.7,33,5.9,5,0.9,117,20.9,DS,0.4,12,2.1,28,5,DS,0.4,24,4.3,746,41,4,9
Kindergarten total,559,100,28,5,11,2,109,19.5,13,2.3,362,64.8,4,0.7,32,5.7,130,23.3,DS,0.4,65,11.6,746,41,4,9
1st grade males,257,61,DS,0.5,6,1.4,67,15.9,7,1.7,163,38.7,DS,0.5,10,2.4,67,15.9,DS,0.5,47,11.2,764,41,4,9
1st grade females,164,39,DS,0.5,DS,0.5,38,9,DS,0.5,113,26.8,0,0,7,1.7,28,6.7,DS,0.5,19,4.5,764,41,4,9
1st grade total,421,100,4,1,8,1.9,105,24.9,9,2.1,276,65.6,DS,0.5,17,4,95,22.6,4,1,66,15.7,764,41,4,9
2nd grade males,121,54.8,DS,0.9,DS,0.9,27,12.2,DS,0.9,77,34.8,DS,0.9,9,4.1,35,15.8,DS,0.9,17,7.7,764,41,4,9
2nd grade females,100,45.2,4,1.8,DS,0.9,20,9,DS,0.9,59,26.7,DS,0.9,11,5,18,8.1,0,0,12,5.4,764,41,4,9
2nd grade total,221,100,6,2.7,4,1.8,47,21.3,4,1.8,136,61.5,4,1.8,20,9,53,24,DS,0.9,29,13.1,764,41,4,9
3rd grade males,66,48.5,4,2.9,DS,1.5,11,8.1,0,0,47,34.6,0,0,DS,1.5,22,16.2,0,0,8,5.9,765,41,4,9
3rd grade females,70,51.5,4,2.9,DS,1.5,8,5.9,DS,1.5,45,33.1,0,0,9,6.6,15,11,DS,1.5,6,4.4,765,41,4,9
3rd grade total,136,100,8,5.9,4,2.9,19,14,DS,1.5,92,67.6,0,0,11,8.1,37,27.2,DS,1.5,14,10.3,765,41,4,9
4th grade males,74,51,DS,1.4,0,0,17,11.7,DS,1.4,48,33.1,0,0,5,3.4,21,14.5,DS,1.4,5,3.4,766,41,4,9
4th grade females,71,49,5,3.4,DS,1.4,19,13.1,DS,1.4,36,24.8,DS,1.4,5,3.4,11,7.6,0,0,9,6.2,766,41,4,9
4th grade total,145,100,7,4.8,DS,1.4,36,24.8,4,2.8,84,57.9,DS,1.4,10,6.9,32,22.1,DS,1.4,14,9.7,766,41,4,9
