Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"1,370"	70.8	0	0	"1,370"	70.8	0	0	52	2.7	18	0.9	365	18.9	877	45.3	DS	0.1	56	2.9	DS	0.1	"3,220"	42	1	2
Corporal punishment on females	564	29.2	0	0	564	29.2	0	0	9	0.5	4	0.2	164	8.5	361	18.7	0	0	26	1.3	DS	0.1	"3,220"	42	1	2
Corporal punishment total	"1,934"	100	0	0	"1,934"	100	0	0	61	3.2	22	1.1	529	27.4	"1,238"	64	DS	0.1	82	4.2	4	0.2	"3,220"	42	1	2
One or more in-school suspensions on males	"57,421"	67.5	545	0.6	"56,876"	66.9	84	0.1	526	0.6	"6,093"	7.2	"14,259"	16.9	"34,845"	41.3	30	0	"1,039"	1.2	"1,169"	1.4	"3,220"	42	1	2
One or more in-school suspensions on females	"27,614"	32.5	140	0.2	"27,474"	32.3	50	0.1	193	0.2	"3,428"	4.1	"8,608"	10.2	"14,618"	17.3	7	0	570	0.7	496	0.6	"3,220"	42	1	2
One or more in-school suspensions total	"85,035"	100	685	0.8	"84,350"	99.2	134	0.2	719	0.9	"9,521"	11.3	"22,867"	27.1	"49,463"	58.6	37	0	"1,609"	1.9	"1,665"	2	"3,220"	42	1	2
Only one out-of-school suspension on males	"41,242"	68.2	299	0.5	"40,943"	67.7	42	0.1	425	0.7	"5,468"	9.1	"14,833"	24.7	"19,234"	32	15	0	926	1.5	743	1.2	"3,220"	42	1	2
Only one out-of-school suspension on females	"19,206"	31.8	83	0.1	"19,123"	31.6	29	0	136	0.2	"2,815"	4.7	"8,595"	14.3	"7,176"	11.9	11	0	361	0.6	446	0.7	"3,220"	42	1	2
Only one out-of-school suspension total	"60,448"	100	382	0.6	"60,066"	99.4	71	0.1	561	0.9	"8,283"	13.8	"23,428"	39	"26,410"	44	26	0	"1,287"	2.1	"1,189"	2	"3,220"	42	1	2
More than one out-of-school suspension on males	"31,956"	68.9	167	0.4	"31,789"	68.5	34	0.1	207	0.4	"4,193"	9.1	"14,012"	30.3	"12,513"	27.1	10	0	820	1.8	913	2	"3,220"	42	1	2
