Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	345	73.2	0	0	345	73.2	0	0	4	0.8	DS	0.4	92	19.5	234	49.7	0	0	13	2.8	0	0	"3,220"	42	1	2
Corporal punishment on females	126	26.8	0	0	126	26.8	0	0	DS	0.4	DS	0.4	39	8.3	81	17.2	0	0	DS	0.4	0	0	"3,220"	42	1	2
Corporal punishment total	471	100	0	0	471	100	0	0	6	1.3	4	0.8	131	27.8	315	66.9	0	0	15	3.2	0	0	"3,220"	42	1	2
One or more in-school suspensions on males	"15,874"	74.7	545	2.6	"15,329"	72.1	28	0.1	57	0.3	"1,520"	7.4	"3,574"	17.4	"9,897"	48.1	6	0	247	1.2	303	1.4	"3,220"	42	1	2
One or more in-school suspensions on females	"5,376"	25.3	140	0.7	"5,236"	24.6	9	0	13	0.1	634	3.1	"1,552"	7.5	"2,920"	14.2	DS	0	106	0.5	113	0.5	"3,220"	42	1	2
One or more in-school suspensions total	"21,250"	100	685	3.2	"20,565"	96.8	37	0.2	70	0.3	"2,154"	10.5	"5,126"	24.9	"12,817"	62.3	8	0	353	1.7	416	2	"3,220"	42	1	2
Only one out-of-school suspension on males	"11,472"	76.7	299	2	"11,173"	74.7	10	0.1	61	0.4	"1,518"	10.4	"3,550"	24.4	"5,773"	39.6	4	0	257	1.8	229	1.5	"3,220"	42	1	2
Only one out-of-school suspension on females	"3,488"	23.3	83	0.6	"3,405"	22.8	7	0	8	0.1	512	3.5	"1,206"	8.3	"1,601"	11	DS	0	69	0.5	75	0.5	"3,220"	42	1	2
Only one out-of-school suspension total	"14,960"	100	382	2.6	"14,578"	97.4	17	0.1	69	0.5	"2,030"	13.9	"4,756"	32.6	"7,374"	50.6	6	0	326	2.2	304	2	"3,220"	42	1	2
More than one out-of-school suspension on males	"9,461"	77	167	1.4	"9,294"	75.7	11	0.1	28	0.2	"1,068"	8.8	"3,394"	28.1	"4,543"	37.6	DS	0	248	2.1	206	1.7	"3,220"	42	1	2
More than one out-of-school suspension on females	"2,820"	23	36	0.3	"2,784"	22.7	7	0.1	6	0	299	2.5	"1,341"	11.1	"1,050"	8.7	0	0	81	0.7	58	0.5	"3,220"	42	1	2
More than one out-of-school suspension total	"12,281"	100	203	1.7	"12,078"	98.3	18	0.1	34	0.3	"1,367"	11.3	"4,735"	39.2	"5,593"	46.3	DS	0	329	2.7	264	2.1	"3,220"	42	1	2
One or more out-of-school suspensions on males	"20,948"	76.9	462	1.7	"20,486"	75.2	21	0.1	87	0.3	"2,588"	9.7	"6,946"	26	"10,336"	38.7	6	0	502	1.9	442	1.6	"3,220"	42	1	2
One or more out-of-school suspensions on females	"6,310"	23.1	120	0.4	"6,190"	22.7	14	0.1	14	0.1	812	3	"2,545"	9.5	"2,655"	10	DS	0	148	0.6	131	0.5	"3,220"	42	1	2
One or more out-of-school suspensions total	"27,258"	100	582	2.1	"26,676"	97.9	35	0.1	101	0.4	"3,400"	12.7	"9,491"	35.6	"12,991"	48.7	8	0	650	2.4	573	2.1	"3,220"	42	1	2
Expulsions with educational services on males	344	81.7	32	7.6	312	74.1	0	0	0	0	25	6.5	60	15.5	219	56.6	0	0	8	2.1	5	1.2	"3,220"	42	1	2
Expulsions with educational services on females	77	18.3	DS	0.5	75	17.8	0	0	0	0	6	1.6	16	4.1	51	13.2	0	0	DS	0.5	DS	0.5	"3,220"	42	1	2
Expulsions with educational services total	421	100	34	8.1	387	91.9	0	0	0	0	31	8	76	19.6	270	69.8	0	0	10	2.6	7	1.7	"3,220"	42	1	2
Expulsions without educational services on males	80	83.3	21	21.9	59	61.5	0	0	0	0	DS	2.7	27	37	30	41.1	0	0	0	0	DS	2.1	"3,220"	42	1	2
Expulsions without educational services on females	16	16.7	DS	2.1	14	14.6	0	0	0	0	0	0	10	13.7	4	5.5	0	0	0	0	0	0	"3,220"	42	1	2
Expulsions without educational services total	96	100	23	24	73	76	0	0	0	0	DS	2.7	37	50.7	34	46.6	0	0	0	0	DS	2.1	"3,220"	42	1	2
Expulsions with or without educational services on males	426	81.6	53	10.2	373	71.5	0	0	0	0	27	5.8	88	19	250	54	0	0	8	1.7	5	1	"3,220"	42	1	2
Expulsions with or without educational services on females	96	18.4	6	1.1	90	17.2	0	0	0	0	6	1.3	26	5.6	56	12.1	0	0	DS	0.4	DS	0.4	"3,220"	42	1	2
Expulsions with or without educational services total	522	100	59	11.3	463	88.7	0	0	0	0	33	7.1	114	24.6	306	66.1	0	0	10	2.2	7	1.3	"3,220"	42	1	2
Expulsions under zero-tolerance policies on males	167	83.1	24	11.9	143	71.1	0	0	0	0	11	6.3	12	6.9	115	65.7	0	0	5	2.9	DS	1	"3,220"	42	1	2
Expulsions under zero-tolerance policies on females	34	16.9	DS	1	32	15.9	0	0	0	0	5	2.9	DS	1.1	25	14.3	0	0	0	0	DS	1	"3,220"	42	1	2
Expulsions under zero-tolerance policies total	201	100	26	12.9	175	87.1	0	0	0	0	16	9.1	14	8	140	80	0	0	5	2.9	4	2	"3,220"	42	1	2
Referral to law enforcement on males	"2,888"	76.8	80	2.1	"2,808"	74.7	8	0.2	7	0.2	344	9.4	611	16.7	"1,791"	48.9	0	0	47	1.3	68	1.8	"3,220"	42	1	2
Referral to law enforcement on females	872	23.2	15	0.4	857	22.8	DS	0.1	0	0	126	3.4	275	7.5	437	11.9	0	0	17	0.5	31	0.8	"3,220"	42	1	2
Referral to law enforcement total	"3,760"	100	95	2.5	"3,665"	97.5	10	0.3	7	0.2	470	12.8	886	24.2	"2,228"	60.8	0	0	64	1.7	99	2.6	"3,220"	42	1	2
School-related arrests on males	"1,112"	77.5	32	2.2	"1,080"	75.3	DS	0.1	0	0	171	12.2	242	17.3	653	46.7	0	0	12	0.9	23	1.6	"3,220"	42	1	2
School-related arrests on females	323	22.5	4	0.3	319	22.2	0	0	DS	0.1	45	3.2	110	7.9	153	10.9	0	0	9	0.6	9	0.6	"3,220"	42	1	2
School-related arrests total	"1,435"	100	36	2.5	"1,399"	97.5	DS	0.1	DS	0.1	216	15.4	352	25.2	806	57.6	0	0	21	1.5	32	2.2	"3,220"	42	1	2
