Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"1,025"	70.1	0	0	48	3.3	16	1.1	273	18.7	643	44	DS	0.1	43	2.9	DS	0.1	"3,220"	42	1	2
Corporal punishment on females	438	29.9	0	0	7	0.5	DS	0.1	125	8.5	280	19.1	0	0	24	1.6	DS	0.1	"3,220"	42	1	2
Corporal punishment total	"1,463"	100	0	0	55	3.8	18	1.2	398	27.2	923	63.1	DS	0.1	67	4.6	4	0.3	"3,220"	42	1	2
One or more in-school suspensions on males	"41,547"	65.1	56	0.1	469	0.7	"4,573"	7.2	"10,685"	16.8	"24,948"	39.1	24	0	792	1.2	866	1.4	"3,220"	42	1	2
One or more in-school suspensions on females	"22,238"	34.9	41	0.1	180	0.3	"2,794"	4.4	"7,056"	11.1	"11,698"	18.3	5	0	464	0.7	383	0.6	"3,220"	42	1	2
One or more in-school suspensions total	"63,785"	100	97	0.2	649	1	"7,367"	11.5	"17,741"	27.8	"36,646"	57.5	29	0	"1,256"	2	"1,249"	2	"3,220"	42	1	2
Only one out-of-school suspension on males	"29,770"	65.4	32	0.1	364	0.8	"3,950"	8.7	"11,283"	24.8	"13,461"	29.6	11	0	669	1.5	514	1.1	"3,220"	42	1	2
Only one out-of-school suspension on females	"15,718"	34.6	22	0	128	0.3	"2,303"	5.1	"7,389"	16.2	"5,575"	12.3	9	0	292	0.6	371	0.8	"3,220"	42	1	2
Only one out-of-school suspension total	"45,488"	100	54	0.1	492	1.1	"6,253"	13.7	"18,672"	41	"19,036"	41.8	20	0	961	2.1	885	1.9	"3,220"	42	1	2
More than one out-of-school suspension on males	"22,495"	65.9	23	0.1	179	0.5	"3,125"	9.2	"10,618"	31.1	"7,970"	23.4	8	0	572	1.7	707	2.1	"3,220"	42	1	2
More than one out-of-school suspension on females	"11,636"	34.1	17	0	54	0.2	"1,405"	4.1	"6,735"	19.7	"3,093"	9.1	DS	0	330	1	212	0.6	"3,220"	42	1	2
More than one out-of-school suspension total	"34,131"	100	40	0.1	233	0.7	"4,530"	13.3	"17,353"	50.8	"11,063"	32.4	10	0	902	2.6	919	2.7	"3,220"	42	1	2
One or more out-of-school suspensions on males	"52,272"	65.7	55	0.1	539	0.7	"7,066"	8.9	"21,904"	27.5	"21,447"	26.9	19	0	"1,242"	1.6	"1,212"	1.5	"3,220"	42	1	2
One or more out-of-school suspensions on females	"27,329"	34.3	39	0	182	0.2	"3,700"	4.6	"14,125"	17.7	"8,654"	10.9	12	0	617	0.8	582	0.7	"3,220"	42	1	2
One or more out-of-school suspensions total	"79,601"	100	94	0.1	721	0.9	"10,766"	13.5	"36,029"	45.3	"30,101"	37.8	31	0	"1,859"	2.3	"1,794"	2.3	"3,220"	42	1	2
Expulsions with educational services on males	"1,639"	74.4	DS	0.1	7	0.3	296	13.4	455	20.6	860	39	DS	0.1	17	0.8	39	1.8	"3,220"	42	1	2
Expulsions with educational services on females	565	25.6	DS	0.1	DS	0.1	122	5.5	186	8.4	240	10.9	DS	0.1	11	0.5	11	0.5	"3,220"	42	1	2
Expulsions with educational services total	"2,204"	100	4	0.2	9	0.4	418	19	641	29.1	"1,100"	49.9	4	0.2	28	1.3	50	2.3	"3,220"	42	1	2
Expulsions without educational services on males	"1,007"	65.7	0	0	7	0.5	160	10.4	486	31.7	345	22.5	DS	0.1	7	0.5	20	1.3	"3,220"	42	1	2
Expulsions without educational services on females	526	34.3	DS	0.1	DS	0.1	88	5.7	321	20.9	107	7	DS	0.1	4	0.3	7	0.5	"3,220"	42	1	2
Expulsions without educational services total	"1,533"	100	DS	0.1	9	0.6	248	16.2	807	52.6	452	29.5	4	0.3	11	0.7	27	1.8	"3,220"	42	1	2
Expulsions with or without educational services on males	"2,644"	70.9	DS	0.1	14	0.4	458	12.3	937	25.1	"1,207"	32.4	DS	0.1	24	0.6	60	1.6	"3,220"	42	1	2
Expulsions with or without educational services on females	"1,087"	29.1	DS	0.1	5	0.1	210	5.6	506	13.6	347	9.3	DS	0.1	15	0.4	18	0.5	"3,220"	42	1	2
Expulsions with or without educational services total	"3,731"	100	4	0.1	19	0.5	668	17.9	"1,443"	38.7	"1,554"	41.7	4	0.1	39	1	78	2.1	"3,220"	42	1	2
Expulsions under zero-tolerance policies on males	970	73.2	DS	0.2	6	0.5	190	14.3	293	22.1	473	35.7	DS	0.2	4	0.3	18	1.4	"3,220"	42	1	2
Expulsions under zero-tolerance policies on females	355	26.8	DS	0.2	DS	0.2	84	6.3	121	9.1	140	10.6	DS	0.2	4	0.3	7	0.5	"3,220"	42	1	2
Expulsions under zero-tolerance policies total	"1,325"	100	4	0.3	8	0.6	274	20.7	414	31.2	613	46.3	4	0.3	8	0.6	25	1.9	"3,220"	42	1	2
Referral to law enforcement on males	"6,418"	65.1	8	0.1	68	0.7	754	7.7	"1,707"	17.3	"3,773"	38.3	DS	0	106	1.1	149	1.5	"3,220"	42	1	2
Referral to law enforcement on females	"3,436"	34.9	7	0.1	18	0.2	472	4.8	"1,243"	12.6	"1,620"	16.4	DS	0	74	0.8	74	0.8	"3,220"	42	1	2
Referral to law enforcement total	"9,854"	100	15	0.2	86	0.9	"1,226"	12.4	"2,950"	29.9	"5,393"	54.7	4	0	180	1.8	223	2.3	"3,220"	42	1	2
School-related arrests on males	"2,768"	64.4	6	0.1	23	0.5	383	8.9	949	22.1	"1,369"	31.9	DS	0	36	0.8	87	2	"3,220"	42	1	2
School-related arrests on females	"1,530"	35.6	DS	0	7	0.2	189	4.4	686	16	610	14.2	0	0	36	0.8	29	0.7	"3,220"	42	1	2
School-related arrests total	"4,298"	100	8	0.2	30	0.7	572	13.3	"1,635"	38	"1,979"	46	DS	0	72	1.7	116	2.7	"3,220"	42	1	2
