Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Natives	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander 	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course on males	"33,305"	45.2	35	0	"2,331"	3.2	963	1.3	"1,994"	2.7	"27,677"	37.5	26	0	279	0.4	880	1.2	162	0.2	556	42	1	2
At least one AP course on females	"40,418"	54.8	37	0.1	"2,728"	3.7	"1,314"	1.8	"3,121"	4.2	"32,824"	44.5	34	0	360	0.5	642	0.9	207	0.3	556	42	1	2
At least one AP course total	"73,723"	100	72	0.1	"5,059"	6.9	"2,277"	3.1	"5,115"	6.9	"60,501"	82.1	60	0.1	639	0.9	"1,522"	2.1	369	0.5	556	42	1	2
AP mathematics on males	"11,145"	52.9	15	0.1	"1,050"	5	203	1	392	1.9	"9,407"	44.6	10	0	68	0.3	212	1	44	0.2	556	42	1	2
AP mathematics on females	"9,929"	47.1	5	0	978	4.6	203	1	507	2.4	"8,151"	38.7	8	0	77	0.4	110	0.5	45	0.2	556	42	1	2
AP mathematics total	"21,074"	100	20	0.1	"2,028"	9.6	406	1.9	899	4.3	"17,558"	83.3	18	0.1	145	0.7	322	1.5	89	0.4	556	42	1	2
AP science on males	"10,584"	49.5	12	0.1	"1,160"	5.4	237	1.1	393	1.8	"8,699"	40.7	9	0	74	0.3	223	1	50	0.2	556	42	1	2
AP science on females	"10,783"	50.5	8	0	"1,175"	5.5	259	1.2	623	2.9	"8,636"	40.4	10	0	72	0.3	122	0.6	55	0.3	556	42	1	2
AP science total	"21,367"	100	20	0.1	"2,335"	10.9	496	2.3	"1,016"	4.8	"17,335"	81.1	19	0.1	146	0.7	345	1.6	105	0.5	556	42	1	2
AP foreign language on males	"1,989"	37.7	DS	0	153	2.9	143	2.7	56	1.1	"1,618"	30.6	4	0.1	13	0.2	41	0.8	12	0.2	556	42	1	2
AP foreign language on females	"3,292"	62.3	DS	0	263	5	238	4.5	110	2.1	"2,656"	50.3	DS	0	21	0.4	49	0.9	22	0.4	556	42	1	2
AP foreign language total	"5,281"	100	4	0.1	416	7.9	381	7.2	166	3.1	"4,274"	80.9	6	0.1	34	0.6	90	1.7	34	0.6	556	42	1	2
Other AP subjects on males	"22,473"	43.1	22	0	"1,618"	3.1	635	1.2	"1,545"	3	"18,432"	35.4	16	0	205	0.4	572	1.1	80	0.2	556	42	1	2
Other AP subjects on females	"29,655"	56.9	24	0	"2,015"	3.9	902	1.7	"2,522"	4.8	"23,902"	45.9	23	0	267	0.5	458	0.9	108	0.2	556	42	1	2
Other AP subjects total	"52,128"	100	46	0.1	"3,633"	7	"1,537"	2.9	"4,067"	7.8	"42,334"	81.2	39	0.1	472	0.9	"1,030"	2	188	0.4	556	42	1	2
