Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians ,Percent of Asians,Number of Hispanic or Latino of any race ,Percent of Hispanic or Latino of any race ,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,259",63.1,0,0,12,0.6,99,5,202,10.1,907,45.4,0,0,39,2,341,17.1,11,0.6,26,1.3,"1,721",42,1,2
Kindergarten females,737,36.9,0,0,10,0.5,46,2.3,139,7,517,25.9,0,0,25,1.3,159,8,6,0.3,16,0.8,"1,721",42,1,2
Kindergarten toal,"1,996",100,0,0,22,1.1,145,7.3,341,17.1,"1,424",71.3,0,0,64,3.2,500,25.1,17,0.9,42,2.1,"1,721",42,1,2
1st grade males,"1,099",58.5,DS,0.1,17,0.9,147,7.8,358,19.1,524,27.9,DS,0.1,49,2.6,227,12.1,12,0.6,57,3,"1,762",42,1,2
1st grade females,780,41.5,DS,0.1,8,0.4,104,5.5,232,12.3,392,20.9,DS,0.1,40,2.1,111,5.9,DS,0.1,24,1.3,"1,762",42,1,2
1st grade total,"1,879",100,4,0.2,25,1.3,251,13.4,590,31.4,916,48.7,4,0.2,89,4.7,338,18,14,0.7,81,4.3,"1,762",42,1,2
2nd grade males,514,61.1,0,0,12,1.4,76,9,208,24.7,201,23.9,DS,0.2,15,1.8,97,11.5,7,0.8,41,4.9,"1,765",42,1,2
2nd grade females,327,38.9,0,0,5,0.6,54,6.4,123,14.6,128,15.2,0,0,17,2,45,5.4,DS,0.2,27,3.2,"1,765",42,1,2
2nd grade total,841,100,0,0,17,2,130,15.5,331,39.4,329,39.1,DS,0.2,32,3.8,142,16.9,9,1.1,68,8.1,"1,765",42,1,2
3rd grade males,284,58.2,0,0,0,0,45,9.2,127,26,103,21.1,0,0,9,1.8,60,12.3,5,1,22,4.5,"1,757",42,1,2
