Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"2,353"	42.9	9	0.2	111	2	417	7.6	122	2.2	"1,558"	28.4	DS	0	134	2.4	93	1.7	26	0.5	42	44	1	1
At least one AP course females	"3,138"	57.1	8	0.1	170	3.1	544	9.9	193	3.5	"2,069"	37.7	DS	0	152	2.8	49	0.9	28	0.5	42	44	1	1
At least one AP course total	"5,491"	100	17	0.3	281	5.1	961	17.5	315	5.7	"3,627"	66.1	4	0.1	286	5.2	142	2.6	54	1	42	44	1	1
AP mathematics males	499	49.9	DS	0.2	34	3.4	39	3.9	18	1.8	395	39.5	DS	0.2	9	0.9	4	0.4	DS	0.2	42	44	1	1
AP mathematics females	500	50.1	DS	0.2	33	3.3	41	4.1	23	2.3	395	39.5	0	0	6	0.6	DS	0.2	DS	0.2	42	44	1	1
AP mathematics total	999	100	4	0.4	67	6.7	80	8	41	4.1	790	79.1	DS	0.2	15	1.5	6	0.6	4	0.4	42	44	1	1
AP science males	651	45.3	DS	0.1	41	2.9	131	9.1	43	3	424	29.5	DS	0.1	8	0.6	6	0.4	DS	0.1	42	44	1	1
AP science females	787	54.7	DS	0.1	64	4.5	132	9.2	63	4.4	514	35.7	DS	0.1	10	0.7	DS	0.1	DS	0.1	42	44	1	1
AP science total	"1,438"	100	4	0.3	105	7.3	263	18.3	106	7.4	938	65.2	4	0.3	18	1.3	8	0.6	4	0.3	42	44	1	1
AP foreign language males	232	36.4	DS	0.3	9	1.4	96	15	8	1.3	117	18.3	0	0	0	0	0	0	8	1.3	42	44	1	1
AP foreign language females	406	63.6	DS	0.3	13	2	150	23.5	27	4.2	209	32.8	0	0	5	0.8	5	0.8	14	2.2	42	44	1	1
AP foreign language total	638	100	4	0.6	22	3.4	246	38.6	35	5.5	326	51.1	0	0	5	0.8	5	0.8	22	3.4	42	44	1	1
Other AP subjects males	"1,696"	42.1	7	0.2	71	1.8	252	6.3	77	1.9	"1,158"	28.7	DS	0	129	3.2	87	2.2	15	0.4	42	44	1	1
Other AP subjects females	"2,336"	57.9	DS	0	117	2.9	334	8.3	103	2.6	"1,639"	40.6	DS	0	139	3.4	43	1.1	9	0.2	42	44	1	1
Other AP subjects total	"4,032"	100	9	0.2	188	4.7	586	14.5	180	4.5	"2,797"	69.4	4	0.1	268	6.6	130	3.2	24	0.6	42	44	1	1
