Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,86,63.7,DS,1.5,DS,1.5,23,17,12,8.9,39,28.9,0,0,8,5.9,22,16.3,DS,1.5,11,8.1,164,44,1,1
Kindergarten females,49,36.3,DS,1.5,DS,1.5,17,12.6,7,5.2,19,14.1,0,0,DS,1.5,10,7.4,0,0,7,5.2,164,44,1,1
Kindergarten total,135,100,4,3,4,3,40,29.6,19,14.1,58,43,0,0,10,7.4,32,23.7,DS,1.5,18,13.3,164,44,1,1
1st grade males,108,62.4,DS,1.2,DS,1.2,36,20.8,13,7.5,53,30.6,0,0,DS,1.2,22,12.7,DS,1.2,15,8.7,169,44,1,1
1st grade females,65,37.6,0,0,DS,1.2,30,17.3,4,2.3,27,15.6,0,0,DS,1.2,9,5.2,0,0,8,4.6,169,44,1,1
1st grade total,173,100,DS,1.2,4,2.3,66,38.2,17,9.8,80,46.2,0,0,4,2.3,31,17.9,DS,1.2,23,13.3,169,44,1,1
2nd grade males,51,63.8,DS,2.5,DS,2.5,16,20,9,11.3,22,27.5,0,0,0,0,10,12.5,DS,2.5,5,6.3,169,44,1,1
2nd grade females,29,36.3,0,0,DS,2.5,11,13.8,0,0,14,17.5,0,0,DS,2.5,7,8.8,0,0,DS,2.5,169,44,1,1
2nd grade total,80,100,DS,2.5,4,5,27,33.8,9,11.3,36,45,0,0,DS,2.5,17,21.3,DS,2.5,7,8.8,169,44,1,1
3rd grade males,25,58.1,0,0,0,0,13,30.2,4,9.3,6,14,0,0,DS,4.7,9,20.9,0,0,6,14,168,44,1,1
3rd grade females,18,41.9,DS,4.7,DS,4.7,9,20.9,0,0,5,11.6,0,0,0,0,DS,4.7,0,0,5,11.6,168,44,1,1
3rd grade total,43,100,DS,4.7,DS,4.7,22,51.2,4,9.3,11,25.6,0,0,DS,4.7,11,25.6,0,0,11,25.6,168,44,1,1
4th grade males,33,73.3,0,0,DS,4.4,20,44.4,5,11.1,6,13.3,0,0,0,0,7,15.6,0,0,8,17.8,164,44,1,1
