Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	131	87.3	DS	1.3	129	86	DS	1.4	0	0	DS	1.4	45	30.4	76	51.4	0	0	4	2.7	DS	1.3	"1,219"	45	3	5
Corporal punishment on females	19	12.7	0	0	19	12.7	0	0	0	0	0	0	13	8.8	6	4.1	0	0	0	0	0	0	"1,219"	45	3	5
Corporal punishment total	150	100	DS	1.3	148	98.7	DS	1.4	0	0	DS	1.4	58	39.2	82	55.4	0	0	4	2.7	DS	1.3	"1,219"	45	3	5
One or more in-school suspensions on males	"58,706"	65.5	716	0.8	"57,990"	64.7	200	0.2	248	0.3	"2,769"	3.1	"29,380"	33.1	"24,112"	27.2	54	0.1	"1,227"	1.4	"1,844"	2.1	"1,219"	45	3	5
One or more in-school suspensions on females	"30,915"	34.5	211	0.2	"30,704"	34.3	100	0.1	121	0.1	"1,371"	1.5	"17,755"	20	"10,591"	11.9	31	0	735	0.8	785	0.9	"1,219"	45	3	5
One or more in-school suspensions total	"89,621"	100	927	1	"88,694"	99	300	0.3	369	0.4	"4,140"	4.7	"47,135"	53.1	"34,703"	39.1	85	0.1	"1,962"	2.2	"2,629"	2.9	"1,219"	45	3	5
Only one out-of-school suspension on males	"25,397"	65.9	268	0.7	"25,129"	65.2	64	0.2	112	0.3	"1,247"	3.3	"13,422"	35.1	"9,691"	25.4	28	0.1	565	1.5	778	2	"1,219"	45	3	5
Only one out-of-school suspension on females	"13,160"	34.1	81	0.2	"13,079"	33.9	47	0.1	31	0.1	488	1.3	"8,078"	21.1	"4,112"	10.8	14	0	309	0.8	280	0.7	"1,219"	45	3	5
Only one out-of-school suspension total	"38,557"	100	349	0.9	"38,208"	99.1	111	0.3	143	0.4	"1,735"	4.5	"21,500"	56.3	"13,803"	36.1	42	0.1	874	2.3	"1,058"	2.7	"1,219"	45	3	5
More than one out-of-school suspension on males	"27,053"	71.2	375	1	"26,678"	70.2	90	0.2	70	0.2	942	2.5	"16,402"	43.7	"8,654"	23	20	0.1	500	1.3	561	1.5	"1,219"	45	3	5
More than one out-of-school suspension on females	"10,964"	28.8	92	0.2	"10,872"	28.6	45	0.1	14	0	313	0.8	"7,599"	20.2	"2,667"	7.1	6	0	228	0.6	139	0.4	"1,219"	45	3	5
More than one out-of-school suspension total	"38,017"	100	467	1.2	"37,550"	98.8	135	0.4	84	0.2	"1,255"	3.3	"24,001"	63.9	"11,321"	30.1	26	0.1	728	1.9	700	1.8	"1,219"	45	3	5
One or more out-of-school suspensions on males	"52,456"	68.5	650	0.8	"51,806"	67.7	155	0.2	181	0.2	"2,188"	2.9	"29,813"	39.4	"18,357"	24.2	46	0.1	"1,066"	1.4	"1,344"	1.8	"1,219"	45	3	5
One or more out-of-school suspensions on females	"24,104"	31.5	173	0.2	"23,931"	31.3	90	0.1	45	0.1	804	1.1	"15,681"	20.7	"6,759"	8.9	20	0	532	0.7	416	0.5	"1,219"	45	3	5
One or more out-of-school suspensions total	"76,560"	100	823	1.1	"75,737"	98.9	245	0.3	226	0.3	"2,992"	4	"45,494"	60.1	"25,116"	33.2	66	0.1	"1,598"	2.1	"1,760"	2.3	"1,219"	45	3	5
Expulsions with educational services on males	"1,039"	80	13	1	"1,026"	79	4	0.3	DS	0.2	28	2.2	633	49.3	331	25.8	0	0	28	2.2	12	0.9	"1,219"	45	3	5
Expulsions with educational services on females	260	20	DS	0.2	258	19.9	4	0.3	0	0	6	0.5	175	13.6	69	5.4	0	0	4	0.3	DS	0.2	"1,219"	45	3	5
Expulsions with educational services total	"1,299"	100	15	1.2	"1,284"	98.8	8	0.6	DS	0.2	34	2.6	808	62.9	400	31.2	0	0	32	2.5	14	1.1	"1,219"	45	3	5
Expulsions without educational services on males	"1,326"	78	12	0.7	"1,314"	77.2	4	0.2	DS	0.1	43	2.5	793	47	453	26.8	DS	0.1	17	1	18	1.1	"1,219"	45	3	5
Expulsions without educational services on females	375	22	0	0	375	22	DS	0.1	0	0	6	0.4	242	14.3	114	6.7	0	0	11	0.7	DS	0.1	"1,219"	45	3	5
Expulsions without educational services total	"1,701"	100	12	0.7	"1,689"	99.3	6	0.4	DS	0.1	49	2.9	"1,035"	61.3	567	33.6	DS	0.1	28	1.7	20	1.2	"1,219"	45	3	5
Expulsions with or without educational services on males	"2,359"	78.8	25	0.8	"2,334"	77.9	7	0.2	DS	0.1	70	2.4	"1,425"	48	784	26.4	DS	0.1	44	1.5	29	1	"1,219"	45	3	5
Expulsions with or without educational services on females	636	21.2	DS	0.1	634	21.2	7	0.2	0	0	12	0.4	417	14	184	6.2	0	0	14	0.5	DS	0.1	"1,219"	45	3	5
Expulsions with or without educational services total	"2,995"	100	27	0.9	"2,968"	99.1	14	0.5	DS	0.1	82	2.8	"1,842"	62.1	968	32.6	DS	0.1	58	2	31	1	"1,219"	45	3	5
Expulsions under zero-tolerance policies on males	431	81.2	4	0.8	427	80.4	0	0	DS	0.4	15	2.9	225	42.9	179	34.1	0	0	6	1.1	DS	0.4	"1,219"	45	3	5
Expulsions under zero-tolerance policies on females	100	18.8	DS	0.4	98	18.5	0	0	0	0	DS	0.4	51	9.7	43	8.2	0	0	DS	0.4	0	0	"1,219"	45	3	5
Expulsions under zero-tolerance policies total	531	100	6	1.1	525	98.9	0	0	DS	0.4	17	3.2	276	52.6	222	42.3	0	0	8	1.5	DS	0.4	"1,219"	45	3	5
Referral to law enforcement on males	"2,247"	70.2	27	0.8	"2,220"	69.3	7	0.2	DS	0.1	97	3.1	"1,106"	35	960	30.4	0	0	48	1.5	42	1.3	"1,219"	45	3	5
Referral to law enforcement on females	956	29.8	13	0.4	943	29.4	5	0.2	DS	0.1	29	0.9	529	16.7	362	11.4	0	0	16	0.5	10	0.3	"1,219"	45	3	5
Referral to law enforcement total	"3,203"	100	40	1.2	"3,163"	98.8	12	0.4	4	0.1	126	4	"1,635"	51.7	"1,322"	41.8	0	0	64	2	52	1.6	"1,219"	45	3	5
School-related arrests on males	"1,528"	70	22	1	"1,506"	69	6	0.3	6	0.3	64	3	777	36.1	626	29.1	0	0	27	1.3	27	1.2	"1,219"	45	3	5
School-related arrests on females	654	30	7	0.3	647	29.7	DS	0.1	0	0	23	1.1	360	16.7	250	11.6	0	0	12	0.6	13	0.6	"1,219"	45	3	5
School-related arrests total	"2,182"	100	29	1.3	"2,153"	98.7	8	0.4	6	0.3	87	4	"1,137"	52.8	876	40.7	0	0	39	1.8	40	1.8	"1,219"	45	3	5
