Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	98	86.7	DS	1.8	0	0	DS	1.8	30	26.5	62	54.9	0	0	DS	1.8	DS	1.8	"1,219"	45	3	5
Corporal punishment on females	15	13.3	0	0	0	0	0	0	11	9.7	4	3.5	0	0	0	0	0	0	"1,219"	45	3	5
Corporal punishment total	113	100	DS	1.8	0	0	DS	1.8	41	36.3	66	58.4	0	0	DS	1.8	DS	1.8	"1,219"	45	3	5
One or more in-school suspensions on males	"46,381"	63	164	0.2	226	0.3	"2,400"	3.3	"23,175"	31.5	"19,393"	26.3	43	0.1	980	1.3	"1,612"	2.2	"1,219"	45	3	5
One or more in-school suspensions on females	"27,243"	37	84	0.1	115	0.2	"1,269"	1.7	"15,719"	21.4	"9,375"	12.7	29	0	652	0.9	718	1	"1,219"	45	3	5
One or more in-school suspensions total	"73,624"	100	248	0.3	341	0.5	"3,669"	5	"38,894"	52.8	"28,768"	39.1	72	0.1	"1,632"	2.2	"2,330"	3.2	"1,219"	45	3	5
Only one out-of-school suspension on males	"19,920"	63.5	54	0.2	93	0.3	"1,048"	3.3	"10,607"	33.8	"7,647"	24.4	20	0.1	451	1.4	643	2	"1,219"	45	3	5
Only one out-of-school suspension on females	"11,473"	36.5	40	0.1	29	0.1	448	1.4	"7,107"	22.6	"3,558"	11.3	10	0	281	0.9	254	0.8	"1,219"	45	3	5
Only one out-of-school suspension total	"31,393"	100	94	0.3	122	0.4	"1,496"	4.8	"17,714"	56.4	"11,205"	35.7	30	0.1	732	2.3	897	2.9	"1,219"	45	3	5
More than one out-of-school suspension on males	"19,924"	68.1	75	0.3	63	0.2	778	2.7	"12,169"	41.6	"6,434"	22	13	0	392	1.3	447	1.5	"1,219"	45	3	5
