Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	95	68.8	DS	1.4	93	67.4	4	2.9	0	0	4	2.9	DS	1.5	83	61	0	0	0	0	0	0	668	46	2	4
Corporal punishment on females	43	31.2	0	0	43	31.2	0	0	0	0	0	0	DS	1.5	41	30.1	0	0	0	0	0	0	668	46	2	4
Corporal punishment total	138	100	DS	1.4	136	98.6	4	2.9	0	0	4	2.9	4	2.9	124	91.2	0	0	0	0	0	0	668	46	2	4
One or more in-school suspensions on males	"5,672"	71.1	13	0.2	"5,659"	71	"1,529"	19.2	46	0.6	268	3.4	237	3	"3,454"	43.5	DS	0	123	1.5	275	3.4	668	46	2	4
One or more in-school suspensions on females	"2,300"	28.9	13	0.2	"2,287"	28.7	878	11	13	0.2	108	1.4	98	1.2	"1,144"	14.4	0	0	46	0.6	107	1.3	668	46	2	4
One or more in-school suspensions total	"7,972"	100	26	0.3	"7,946"	99.7	"2,407"	30.3	59	0.7	376	4.7	335	4.2	"4,598"	57.9	DS	0	169	2.1	382	4.8	668	46	2	4
Only one out-of-school suspension on males	"1,747"	69.9	4	0.2	"1,743"	69.8	454	18.2	19	0.8	84	3.4	90	3.6	"1,053"	42.3	DS	0.1	41	1.6	76	3	668	46	2	4
Only one out-of-school suspension on females	751	30.1	DS	0.1	749	30	276	11.1	8	0.3	38	1.5	48	1.9	364	14.6	DS	0.1	13	0.5	37	1.5	668	46	2	4
Only one out-of-school suspension total	"2,498"	100	6	0.2	"2,492"	99.8	730	29.3	27	1.1	122	4.9	138	5.5	"1,417"	56.9	4	0.2	54	2.2	113	4.5	668	46	2	4
More than one out-of-school suspension on males	"1,329"	72	DS	0.1	"1,327"	71.9	464	25.2	15	0.8	79	4.3	100	5.4	644	35	0	0	25	1.4	71	3.8	668	46	2	4
