Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	30	73.2	DS	4.9	28	68.3	DS	5.1	0	0	DS	5.1	0	0	24	61.5	0	0	0	0	0	0	668	46	2	4
Corporal punishment on females	11	26.8	0	0	11	26.8	0	0	0	0	0	0	0	0	11	28.2	0	0	0	0	0	0	668	46	2	4
Corporal punishment total	41	100	DS	4.9	39	95.1	DS	5.1	0	0	DS	5.1	0	0	35	89.7	0	0	0	0	0	0	668	46	2	4
One or more in-school suspensions on males	"1,489"	79	13	0.7	"1,476"	78.3	408	21.9	8	0.4	77	4.1	76	4.1	876	47.1	0	0	31	1.7	69	3.7	668	46	2	4
One or more in-school suspensions on females	396	21	13	0.7	383	20.3	109	5.9	DS	0.1	17	0.9	27	1.5	218	11.7	0	0	10	0.5	19	1	668	46	2	4
One or more in-school suspensions total	"1,885"	100	26	1.4	"1,859"	98.6	517	27.8	10	0.5	94	5.1	103	5.5	"1,094"	58.8	0	0	41	2.2	88	4.7	668	46	2	4
Only one out-of-school suspension on males	395	77.9	4	0.8	391	77.1	108	21.6	DS	0.4	20	4	19	3.8	233	46.5	0	0	9	1.8	26	5.1	668	46	2	4
Only one out-of-school suspension on females	112	22.1	DS	0.4	110	21.7	35	7	DS	0.4	4	0.8	8	1.6	59	11.8	0	0	DS	0.4	5	1	668	46	2	4
Only one out-of-school suspension total	507	100	6	1.2	501	98.8	143	28.5	4	0.8	24	4.8	27	5.4	292	58.3	0	0	11	2.2	31	6.1	668	46	2	4
More than one out-of-school suspension on males	466	82.5	DS	0.4	464	82.1	133	23.7	4	0.7	29	5.2	36	6.4	252	44.9	0	0	10	1.8	17	3	668	46	2	4
