Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	65	67	DS	2.1	0	0	DS	2.1	DS	2.1	59	60.8	0	0	0	0	0	0	668	46	2	4
Corporal punishment on females	32	33	0	0	0	0	0	0	DS	2.1	30	30.9	0	0	0	0	0	0	668	46	2	4
Corporal punishment total	97	100	DS	2.1	0	0	DS	2.1	4	4.1	89	91.8	0	0	0	0	0	0	668	46	2	4
One or more in-school suspensions on males	"4,183"	68.7	"1,121"	18.4	38	0.6	191	3.1	161	2.6	"2,578"	42.4	DS	0	92	1.5	206	3.4	668	46	2	4
One or more in-school suspensions on females	"1,904"	31.3	769	12.6	11	0.2	91	1.5	71	1.2	926	15.2	0	0	36	0.6	88	1.4	668	46	2	4
One or more in-school suspensions total	"6,087"	100	"1,890"	31	49	0.8	282	4.6	232	3.8	"3,504"	57.6	DS	0	128	2.1	294	4.8	668	46	2	4
Only one out-of-school suspension on males	"1,352"	67.9	346	17.4	17	0.9	64	3.2	71	3.6	820	41.2	DS	0.1	32	1.6	50	2.5	668	46	2	4
Only one out-of-school suspension on females	639	32.1	241	12.1	6	0.3	34	1.7	40	2	305	15.3	DS	0.1	11	0.6	32	1.6	668	46	2	4
Only one out-of-school suspension total	"1,991"	100	587	29.5	23	1.2	98	4.9	111	5.6	"1,125"	56.5	4	0.2	43	2.2	82	4.1	668	46	2	4
More than one out-of-school suspension on males	863	67.4	331	25.9	11	0.9	50	3.9	64	5	392	30.6	0	0	15	1.2	54	4.2	668	46	2	4
More than one out-of-school suspension on females	417	32.6	234	18.3	DS	0.2	17	1.3	29	2.3	129	10.1	0	0	6	0.5	42	3.3	668	46	2	4
More than one out-of-school suspension total	"1,280"	100	565	44.1	13	1	67	5.2	93	7.3	521	40.7	0	0	21	1.6	96	7.5	668	46	2	4
One or more out-of-school suspensions on males	"2,210"	67.6	674	20.6	28	0.9	116	3.5	132	4	"1,212"	37.1	DS	0.1	46	1.4	105	3.2	668	46	2	4
One or more out-of-school suspensions on females	"1,060"	32.4	476	14.6	8	0.2	54	1.7	69	2.1	434	13.3	DS	0.1	17	0.5	76	2.3	668	46	2	4
One or more out-of-school suspensions total	"3,270"	100	"1,150"	35.2	36	1.1	170	5.2	201	6.1	"1,646"	50.3	4	0.1	63	1.9	181	5.5	668	46	2	4
Expulsions with educational services on males	19	90.5	4	19	0	0	DS	9.5	DS	9.5	11	52.4	0	0	0	0	DS	9.5	668	46	2	4
Expulsions with educational services on females	DS	9.5	DS	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions with educational services total	21	100	6	28.6	0	0	DS	9.5	DS	9.5	11	52.4	0	0	0	0	DS	9.5	668	46	2	4
Expulsions without educational services on males	20	83.3	7	29.2	0	0	0	0	DS	8.3	9	37.5	0	0	DS	8.3	0	0	668	46	2	4
Expulsions without educational services on females	4	16.7	DS	8.3	0	0	0	0	0	0	DS	8.3	0	0	0	0	0	0	668	46	2	4
Expulsions without educational services total	24	100	9	37.5	0	0	0	0	DS	8.3	11	45.8	0	0	DS	8.3	0	0	668	46	2	4
Expulsions with or without educational services on males	37	90.2	11	26.8	0	0	DS	4.9	DS	4.9	20	48.8	0	0	DS	4.9	DS	4.9	668	46	2	4
Expulsions with or without educational services on females	4	9.8	DS	4.9	0	0	0	0	0	0	DS	4.9	0	0	0	0	0	0	668	46	2	4
Expulsions with or without educational services total	41	100	13	31.7	0	0	DS	4.9	DS	4.9	22	53.7	0	0	DS	4.9	DS	4.9	668	46	2	4
Expulsions under zero-tolerance policies on males	13	68.4	5	26.3	0	0	0	0	0	0	8	42.1	0	0	0	0	0	0	668	46	2	4
Expulsions under zero-tolerance policies on females	6	31.6	6	31.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions under zero-tolerance policies total	19	100	11	57.9	0	0	0	0	0	0	8	42.1	0	0	0	0	0	0	668	46	2	4
Referral to law enforcement on males	553	66.5	144	17.3	8	1	25	3	31	3.7	337	40.6	0	0	8	1	15	1.8	668	46	2	4
Referral to law enforcement on females	278	33.5	90	10.8	4	0.5	11	1.3	18	2.2	143	17.2	0	0	12	1.4	11	1.3	668	46	2	4
Referral to law enforcement total	831	100	234	28.2	12	1.4	36	4.3	49	5.9	480	57.8	0	0	20	2.4	26	3.1	668	46	2	4
School-related arrests on males	206	62.4	65	19.7	DS	0.6	9	2.7	5	1.5	121	36.7	0	0	4	1.2	0	0	668	46	2	4
School-related arrests on females	124	37.6	47	14.2	DS	0.6	4	1.2	DS	0.6	64	19.4	0	0	5	1.5	0	0	668	46	2	4
School-related arrests total	330	100	112	33.9	4	1.2	13	3.9	7	2.1	185	56.1	0	0	9	2.7	0	0	668	46	2	4
