Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,182,55.3,53,16.1,DS,0.6,11,3.3,9,2.7,99,30.1,0,0,8,2.4,41,12.5,0,0,12,3.6,306,46,2,4
Kindergarten females,147,44.7,52,15.8,DS,0.6,12,3.6,DS,0.6,77,23.4,0,0,DS,0.6,18,5.5,0,0,12,3.6,306,46,2,4
Kindergarten total,329,100,105,31.9,4,1.2,23,7,11,3.3,176,53.5,0,0,10,3,59,17.9,0,0,24,7.3,306,46,2,4
1st grade males,74,58.3,14,11,DS,1.6,8,6.3,10,7.9,35,27.6,0,0,5,3.9,18,14.2,0,0,11,8.7,308,46,2,4
1st grade females,53,41.7,22,17.3,DS,1.6,5,3.9,DS,1.6,20,15.7,0,0,DS,1.6,11,8.7,0,0,9,7.1,308,46,2,4
1st grade total,127,100,36,28.3,4,3.1,13,10.2,12,9.4,55,43.3,0,0,7,5.5,29,22.8,0,0,20,15.7,308,46,2,4
2nd grade males,30,68.2,7,15.9,0,0,DS,4.5,0,0,19,43.2,0,0,DS,4.5,4,9.1,0,0,5,11.4,308,46,2,4
2nd grade females,14,31.8,4,9.1,0,0,DS,4.5,DS,4.5,6,13.6,0,0,0,0,DS,4.5,0,0,DS,4.5,308,46,2,4
2nd grade total,44,100,11,25,0,0,4,9.1,DS,4.5,25,56.8,0,0,DS,4.5,6,13.6,0,0,7,15.9,308,46,2,4
3rd grade males,14,63.6,8,36.4,DS,9.1,0,0,DS,9.1,DS,9.1,0,0,0,0,DS,9.1,0,0,DS,9.1,307,46,2,4
3rd grade females,8,36.4,DS,9.1,0,0,0,0,DS,9.1,4,18.2,0,0,0,0,0,0,DS,9.1,DS,9.1,307,46,2,4
3rd grade total,22,100,10,45.5,DS,9.1,0,0,4,18.2,6,27.3,0,0,0,0,DS,9.1,DS,9.1,4,18.2,307,46,2,4
4th grade males,9,52.9,DS,11.8,DS,11.8,0,0,0,0,5,29.4,0,0,0,0,DS,11.8,0,0,DS,11.8,310,46,2,4
4th grade females,8,47.1,DS,11.8,0,0,0,0,0,0,6,35.3,0,0,0,0,DS,11.8,0,0,0,0,310,46,2,4
4th grade total,17,100,4,23.5,DS,11.8,0,0,0,0,11,64.7,0,0,0,0,4,23.5,0,0,DS,11.8,310,46,2,4
5th grade males,11,64.7,9,52.9,0,0,0,0,0,0,DS,11.8,0,0,0,0,DS,11.8,0,0,0,0,313,46,2,4
5th grade females,6,35.3,DS,11.8,0,0,DS,11.8,0,0,DS,11.8,0,0,0,0,0,0,0,0,0,0,313,46,2,4
5th grade total,17,100,11,64.7,0,0,DS,11.8,0,0,4,23.5,0,0,0,0,DS,11.8,0,0,0,0,313,46,2,4
6th grade males,12,63.2,7,36.8,0,0,0,0,0,0,5,26.3,0,0,0,0,DS,10.5,0,0,DS,10.5,265,46,2,4
6th grade females,7,36.8,DS,10.5,0,0,0,0,0,0,5,26.3,0,0,0,0,0,0,0,0,0,0,265,46,2,4
6th grade total,19,100,9,47.4,0,0,0,0,0,0,10,52.6,0,0,0,0,DS,10.5,0,0,DS,10.5,265,46,2,4
7th grade males,22,84.6,16,61.5,0,0,0,0,0,0,6,23.1,0,0,0,0,DS,7.7,DS,7.7,DS,7.7,262,46,2,4
7th grade females,4,15.4,0,0,0,0,DS,7.7,0,0,DS,7.7,0,0,0,0,DS,7.7,0,0,0,0,262,46,2,4
7th grade total,26,100,16,61.5,0,0,DS,7.7,0,0,8,30.8,0,0,0,0,4,15.4,DS,7.7,DS,7.7,262,46,2,4
8th grade males,22,62.9,11,31.4,0,0,DS,5.7,0,0,9,25.7,0,0,0,0,4,11.4,0,0,4,11.4,262,46,2,4
8th grade females,13,37.1,9,25.7,0,0,DS,5.7,0,0,DS,5.7,0,0,0,0,DS,5.7,0,0,DS,5.7,262,46,2,4
8th grade total,35,100,20,57.1,0,0,4,11.4,0,0,11,31.4,0,0,0,0,6,17.1,0,0,6,17.1,262,46,2,4
9th grade males,439,55.4,141,17.8,9,1.1,32,4,18,2.3,229,28.9,0,0,10,1.3,85,10.7,5,0.6,30,3.8,186,46,2,4
9th grade females,353,44.6,139,17.6,7,0.9,27,3.4,17,2.1,154,19.4,0,0,9,1.1,51,6.4,DS,0.3,22,2.8,186,46,2,4
9th grade total,792,100,280,35.4,16,2,59,7.4,35,4.4,383,48.4,0,0,19,2.4,136,17.2,7,0.9,52,6.6,186,46,2,4
10th grade males,403,60,97,14.4,5,0.7,19,2.8,19,2.8,255,37.9,DS,0.3,6,0.9,61,9.1,DS,0.3,12,1.8,187,46,2,4
10th grade females,269,40,87,12.9,5,0.7,19,2.8,15,2.2,141,21,0,0,DS,0.3,31,4.6,0,0,14,2.1,187,46,2,4
10th grade total,672,100,184,27.4,10,1.5,38,5.7,34,5.1,396,58.9,DS,0.3,8,1.2,92,13.7,DS,0.3,26,3.9,187,46,2,4
11th grade males,206,58.7,39,11.1,DS,0.6,16,4.6,12,3.4,137,39,0,0,0,0,33,9.4,0,0,4,1.1,185,46,2,4
11th grade females,145,41.3,26,7.4,DS,0.6,9,2.6,6,1.7,98,27.9,DS,0.6,DS,0.6,13,3.7,0,0,0,0,185,46,2,4
11th grade total,351,100,65,18.5,4,1.1,25,7.1,18,5.1,235,67,DS,0.6,DS,0.6,46,13.1,0,0,4,1.1,185,46,2,4
12th grade males,204,57.6,18,5.1,5,1.4,12,3.4,27,7.6,140,39.5,0,0,DS,0.6,32,9,0,0,14,4,187,46,2,4
12th garde females,150,42.4,21,5.9,DS,0.6,21,5.9,11,3.1,93,26.3,0,0,DS,0.6,15,4.2,DS,0.6,13,3.7,187,46,2,4
12th grade total,354,100,39,11,7,2,33,9.3,38,10.7,233,65.8,0,0,4,1.1,47,13.3,DS,0.6,27,7.6,187,46,2,4
