Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race 	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"12,477"	44.7	25	0.1	705	2.5	447	1.6	"1,498"	5.4	"9,701"	34.7	42	0.2	59	0.2	374	1.3	127	0.5	214	47	3	6
At least one AP course females	"15,457"	55.3	21	0.1	795	2.8	480	1.7	"2,352"	8.4	"11,695"	41.9	18	0.1	96	0.3	264	0.9	112	0.4	214	47	3	6
At least one AP course total	"27,934"	100	46	0.2	"1,500"	5.4	927	3.3	"3,850"	13.8	"21,396"	76.6	60	0.2	155	0.6	638	2.3	239	0.9	214	47	3	6
AP mathematics males	"3,344"	51.9	5	0.1	283	4.4	142	2.2	353	5.5	"2,539"	39.4	11	0.2	11	0.2	130	2	30	0.5	214	47	3	6
AP mathematics females	"3,100"	48.1	DS	0	239	3.7	106	1.6	500	7.8	"2,236"	34.7	4	0.1	13	0.2	78	1.2	20	0.3	214	47	3	6
AP mathematics total	"6,444"	100	7	0.1	522	8.1	248	3.8	853	13.2	"4,775"	74.1	15	0.2	24	0.4	208	3.2	50	0.8	214	47	3	6
AP science males	"2,978"	48.5	DS	0	241	3.9	97	1.6	354	5.8	"2,259"	36.8	13	0.2	12	0.2	120	2	27	0.4	214	47	3	6
AP science females	"3,163"	51.5	10	0.2	267	4.3	124	2	509	8.3	"2,231"	36.3	4	0.1	18	0.3	102	1.7	30	0.5	214	47	3	6
AP science total	"6,141"	100	12	0.2	508	8.3	221	3.6	863	14.1	"4,490"	73.1	17	0.3	30	0.5	222	3.6	57	0.9	214	47	3	6
AP foreign language males	892	41.6	DS	0.1	65	3	85	4	215	10	517	24.1	DS	0.1	6	0.3	26	1.2	13	0.6	214	47	3	6
AP foreign language females	"1,250"	58.4	DS	0.1	69	3.2	89	4.2	330	15.4	749	35	0	0	11	0.5	21	1	12	0.6	214	47	3	6
AP foreign language total	"2,142"	100	4	0.2	134	6.3	174	8.1	545	25.4	"1,266"	59.1	DS	0.1	17	0.8	47	2.2	25	1.2	214	47	3	6
Other AP subjects males	"8,808"	42.5	14	0.1	452	2.2	255	1.2	998	4.8	"7,030"	33.9	24	0.1	35	0.2	246	1.2	86	0.4	214	47	3	6
Other AP subjects females	"11,911"	57.5	10	0	561	2.7	348	1.7	"1,824"	8.8	"9,104"	43.9	14	0.1	50	0.2	207	1	82	0.4	214	47	3	6
Other AP subjects total	"20,719"	100	24	0.1	"1,013"	4.9	603	2.9	"2,822"	13.6	"16,134"	77.9	38	0.2	85	0.4	453	2.2	168	0.8	214	47	3	6
