Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race ,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,965",64.7,DS,0.1,12,0.4,130,4.3,331,10.9,"1,444",47.5,5,0.2,41,1.4,325,10.7,6,0.2,100,3.3,"1,008",47,3,6
Kindergarten females,"1,072",35.3,0,0,6,0.2,91,3,176,5.8,774,25.5,DS,0.1,23,0.8,127,4.2,DS,0.1,66,2.2,"1,008",47,3,6
Kindergarten total,"3,037",100,DS,0.1,18,0.6,221,7.3,507,16.7,"2,218",73,7,0.2,64,2.1,452,14.9,8,0.3,166,5.5,"1,008",47,3,6
1st grade males,"1,312",58.6,4,0.2,15,0.7,77,3.4,255,11.4,943,42.2,DS,0.1,16,0.7,192,8.6,8,0.4,64,2.9,"1,011",47,3,6
1st grade females,925,41.4,DS,0.1,8,0.4,60,2.7,174,7.8,663,29.6,0,0,18,0.8,92,4.1,DS,0.1,45,2,"1,011",47,3,6
1st grade total,"2,237",100,6,0.3,23,1,137,6.1,429,19.2,"1,606",71.8,DS,0.1,34,1.5,284,12.7,10,0.4,109,4.9,"1,011",47,3,6
2nd grade males,466,57,0,0,8,1,24,2.9,118,14.4,305,37.3,DS,0.2,9,1.1,76,9.3,4,0.5,27,3.3,"1,011",47,3,6
2nd grade females,352,43,0,0,DS,0.2,29,3.5,88,10.8,229,28,DS,0.2,DS,0.2,34,4.2,DS,0.2,19,2.3,"1,011",47,3,6
2nd grade total,818,100,0,0,10,1.2,53,6.5,206,25.2,534,65.3,4,0.5,11,1.3,110,13.4,6,0.7,46,5.6,"1,011",47,3,6
3rd grade males,340,54.9,0,0,DS,0.3,13,2.1,91,14.7,232,37.5,0,0,DS,0.3,32,5.2,DS,0.3,6,1,"1,011",47,3,6
3rd grade females,279,45.1,0,0,DS,0.3,13,2.1,72,11.6,187,30.2,0,0,5,0.8,35,5.7,4,0.6,9,1.5,"1,011",47,3,6
3rd grade total,619,100,0,0,4,0.6,26,4.2,163,26.3,419,67.7,0,0,7,1.1,67,10.8,6,1,15,2.4,"1,011",47,3,6
4th grade males,311,59.8,0,0,0,0,8,1.5,176,33.8,123,23.7,0,0,4,0.8,30,5.8,DS,0.4,4,0.8,"1,006",47,3,6
4th grade females,209,40.2,0,0,0,0,10,1.9,103,19.8,94,18.1,0,0,DS,0.4,17,3.3,DS,0.4,9,1.7,"1,006",47,3,6
4th grade total,520,100,0,0,0,0,18,3.5,279,53.7,217,41.7,0,0,6,1.2,47,9,4,0.8,13,2.5,"1,006",47,3,6
5th grade males,318,62.5,DS,0.4,6,1.2,17,3.3,171,33.6,120,23.6,0,0,DS,0.4,39,7.7,DS,0.4,17,3.3,956,47,3,6
5th grade females,191,37.5,0,0,0,0,11,2.2,94,18.5,84,16.5,0,0,DS,0.4,20,3.9,DS,0.4,12,2.4,956,47,3,6
5th grade total,509,100,DS,0.4,6,1.2,28,5.5,265,52.1,204,40.1,0,0,4,0.8,59,11.6,4,0.8,29,5.7,956,47,3,6
6th grade males,581,69.9,0,0,DS,0.2,35,4.2,324,39,215,25.9,0,0,5,0.6,79,9.5,5,0.6,18,2.2,645,47,3,6
6th grade females,250,30.1,0,0,0,0,12,1.4,151,18.2,83,10,DS,0.2,DS,0.2,26,3.1,DS,0.2,9,1.1,645,47,3,6
6th grade total,831,100,0,0,DS,0.2,47,5.7,475,57.2,298,35.9,DS,0.2,7,0.8,105,12.6,7,0.8,27,3.2,645,47,3,6
7th grade males,752,67.3,DS,0.2,6,0.5,33,3,445,39.8,258,23.1,DS,0.2,6,0.5,100,8.9,13,1.2,26,2.3,605,47,3,6
7th grade females,366,32.7,0,0,0,0,18,1.6,218,19.5,122,10.9,0,0,8,0.7,40,3.6,5,0.4,5,0.4,605,47,3,6
7th grade total,"1,118",100,DS,0.2,6,0.5,51,4.6,663,59.3,380,34,DS,0.2,14,1.3,140,12.5,18,1.6,31,2.8,605,47,3,6
8th grade males,655,67.8,0,0,DS,0.2,34,3.5,366,37.9,251,26,0,0,DS,0.2,97,10,6,0.6,19,2,603,47,3,6
8th grade females,311,32.2,0,0,DS,0.2,12,1.2,192,19.9,101,10.5,0,0,4,0.4,53,5.5,0,0,6,0.6,603,47,3,6
8th grade total,966,100,0,0,4,0.4,46,4.8,558,57.8,352,36.4,0,0,6,0.6,150,15.5,6,0.6,25,2.6,603,47,3,6
9th grade males,"3,017",63.2,9,0.2,37,0.8,83,1.7,"1,501",31.5,"1,373",28.8,DS,0,12,0.3,588,12.3,35,0.7,200,4.2,402,47,3,6
9th grade females,"1,754",36.8,DS,0,25,0.5,61,1.3,872,18.3,781,16.4,DS,0,11,0.2,223,4.7,16,0.3,121,2.5,402,47,3,6
9th grade total,"4,771",100,11,0.2,62,1.3,144,3,"2,373",49.7,"2,154",45.1,4,0.1,23,0.5,811,17,51,1.1,321,6.7,402,47,3,6
10th grade males,"2,292",64.4,4,0.1,24,0.7,73,2,"1,081",30.4,"1,102",30.9,0,0,8,0.2,416,11.7,26,0.7,93,2.6,403,47,3,6
10th grade females,"1,269",35.6,DS,0.1,12,0.3,39,1.1,624,17.5,584,16.4,DS,0.1,6,0.2,123,3.5,10,0.3,40,1.1,403,47,3,6
10th grade total,"3,561",100,6,0.2,36,1,112,3.1,"1,705",47.9,"1,686",47.3,DS,0.1,14,0.4,539,15.1,36,1,133,3.7,403,47,3,6
11th grade males,"1,399",65,DS,0.1,12,0.6,54,2.5,658,30.6,655,30.5,0,0,18,0.8,263,12.2,7,0.3,36,1.7,406,47,3,6
11th grade females,752,35,0,0,8,0.4,34,1.6,358,16.6,343,15.9,0,0,9,0.4,114,5.3,4,0.2,22,1,406,47,3,6
11th grade total,"2,151",100,DS,0.1,20,0.9,88,4.1,"1,016",47.2,998,46.4,0,0,27,1.3,377,17.5,11,0.5,58,2.7,406,47,3,6
12th grade males,"1,041",61.1,DS,0.1,12,0.7,46,2.7,594,34.9,383,22.5,DS,0.1,DS,0.1,214,12.6,5,0.3,36,2.1,406,47,3,6
12th grade females,662,38.9,DS,0.1,12,0.7,20,1.2,373,21.9,251,14.7,DS,0.1,DS,0.1,104,6.1,4,0.2,30,1.8,406,47,3,6
12th grade total,"1,703",100,4,0.2,24,1.4,66,3.9,967,56.8,634,37.2,4,0.2,4,0.2,318,18.7,9,0.5,66,3.9,406,47,3,6
