Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"22,969"	80.4	591	2.1	"22,378"	78.3	101	0.4	98	0.4	"6,839"	24.6	"4,136"	14.9	"10,726"	38.6	6	0	472	1.7	"1,148"	4	"8,472"	47	3	6
Corporal punishment on females	"5,600"	19.6	181	0.6	"5,419"	19	23	0.1	14	0.1	"1,991"	7.2	"1,151"	4.1	"2,108"	7.6	5	0	127	0.5	199	0.7	"8,472"	47	3	6
Corporal punishment total	"28,569"	100	772	2.7	"27,797"	97.3	124	0.4	112	0.4	"8,830"	31.8	"5,287"	19	"12,834"	46.2	11	0	599	2.2	"1,347"	4.7	"8,472"	47	3	6
One or more in-school suspensions on males	"378,963"	66.8	"11,544"	2	"367,419"	64.8	"1,524"	0.3	"4,354"	0.8	"179,181"	32.5	"79,848"	14.5	"95,728"	17.4	476	0.1	"6,308"	1.1	"39,044"	6.9	"8,472"	47	3	6
One or more in-school suspensions on females	"188,203"	33.2	"4,431"	0.8	"183,772"	32.4	654	0.1	"1,576"	0.3	"94,884"	17.2	"45,670"	8.3	"37,573"	6.8	213	0	"3,202"	0.6	"16,002"	2.8	"8,472"	47	3	6
One or more in-school suspensions total	"567,166"	100	"15,975"	2.8	"551,191"	97.2	"2,178"	0.4	"5,930"	1.1	"274,065"	49.7	"125,518"	22.8	"133,301"	24.2	689	0.1	"9,510"	1.7	"55,046"	9.7	"8,472"	47	3	6
Only one out-of-school suspension on males	"109,992"	67.7	"2,992"	1.8	"107,000"	65.9	425	0.3	"1,156"	0.7	"54,807"	34.6	"28,540"	18	"20,339"	12.8	114	0.1	"1,619"	1	"14,059"	8.7	"8,472"	47	3	6
Only one out-of-school suspension on females	"52,486"	32.3	"1,106"	0.7	"51,380"	31.6	189	0.1	361	0.2	"26,174"	16.5	"16,525"	10.4	"7,302"	4.6	50	0	779	0.5	"5,192"	3.2	"8,472"	47	3	6
Only one out-of-school suspension total	"162,478"	100	"4,098"	2.5	"158,380"	97.5	614	0.4	"1,517"	1	"80,981"	51.1	"45,065"	28.5	"27,641"	17.5	164	0.1	"2,398"	1.5	"19,251"	11.8	"8,472"	47	3	6
More than one out-of-school suspension on males	"78,898"	73.5	"2,332"	2.2	"76,566"	71.3	234	0.2	446	0.4	"38,044"	36.4	"25,739"	24.7	"10,929"	10.5	69	0.1	"1,105"	1.1	"10,078"	9.4	"8,472"	47	3	6
More than one out-of-school suspension on females	"28,451"	26.5	642	0.6	"27,809"	25.9	79	0.1	90	0.1	"13,051"	12.5	"11,436"	11	"2,777"	2.7	21	0	355	0.3	"2,795"	2.6	"8,472"	47	3	6
More than one out-of-school suspension total	"107,349"	100	"2,974"	2.8	"104,375"	97.2	313	0.3	536	0.5	"51,095"	49	"37,175"	35.6	"13,706"	13.1	90	0.1	"1,460"	1.4	"12,873"	12	"8,472"	47	3	6
One or more out-of-school suspensions on males	"188,832"	70	"5,307"	2	"183,525"	68	656	0.2	"1,606"	0.6	"92,810"	35.3	"54,280"	20.7	"31,269"	11.9	182	0.1	"2,722"	1	"24,129"	8.9	"8,472"	47	3	6
One or more out-of-school suspensions on females	"80,928"	30	"1,745"	0.6	"79,183"	29.4	270	0.1	448	0.2	"39,230"	14.9	"27,951"	10.6	"10,067"	3.8	71	0	"1,146"	0.4	"7,988"	3	"8,472"	47	3	6
One or more out-of-school suspensions total	"269,760"	100	"7,052"	2.6	"262,708"	97.4	926	0.4	"2,054"	0.8	"132,040"	50.3	"82,231"	31.3	"41,336"	15.7	253	0.1	"3,868"	1.5	"32,117"	11.9	"8,472"	47	3	6
Expulsions with educational services on males	"9,425"	76.1	295	2.4	"9,130"	73.8	35	0.3	56	0.5	"4,696"	39.1	"2,078"	17.3	"2,069"	17.2	11	0.1	185	1.5	866	7	"8,472"	47	3	6
Expulsions with educational services on females	"2,953"	23.9	77	0.6	"2,876"	23.2	10	0.1	20	0.2	"1,487"	12.4	636	5.3	668	5.6	DS	0	53	0.4	196	1.6	"8,472"	47	3	6
Expulsions with educational services total	"12,378"	100	372	3	"12,006"	97	45	0.4	76	0.6	"6,183"	51.5	"2,714"	22.6	"2,737"	22.8	13	0.1	238	2	"1,062"	8.6	"8,472"	47	3	6
Expulsions without educational services on males	"1,106"	80.7	32	2.3	"1,074"	78.4	9	0.7	5	0.4	506	37.9	223	16.7	308	23.1	0	0	23	1.7	57	4.2	"8,472"	47	3	6
Expulsions without educational services on females	264	19.3	4	0.3	260	19	0	0	DS	0.1	121	9.1	61	4.6	65	4.9	0	0	11	0.8	11	0.8	"8,472"	47	3	6
Expulsions without educational services total	"1,370"	100	36	2.6	"1,334"	97.4	9	0.7	7	0.5	627	47	284	21.3	373	28	0	0	34	2.5	68	5	"8,472"	47	3	6
Expulsions with or without educational services on males	"10,559"	76.6	332	2.4	"10,227"	74.2	45	0.3	61	0.5	"5,213"	39	"2,307"	17.3	"2,383"	17.8	11	0.1	207	1.5	916	6.6	"8,472"	47	3	6
