Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander Total Students	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"119,132"	45.2	519	0.2	"10,578"	4	"49,063"	18.6	"10,729"	4.1	"45,690"	17.3	175	0.1	"2,378"	0.9	"1,581"	0.6	"2,114"	0.8	"1,112"	48	3	7
At least one AP course females	"144,709"	54.8	607	0.2	"10,938"	4.1	"61,259"	23.2	"15,843"	6	"52,863"	20	165	0.1	"3,034"	1.1	931	0.4	"2,407"	0.9	"1,112"	48	3	7
At least one AP course total	"263,841"	100	"1,126"	0.4	"21,516"	8.2	"110,322"	41.8	"26,572"	10.1	"98,553"	37.4	340	0.1	"5,412"	2.1	"2,512"	1	"4,521"	1.7	"1,112"	48	3	7
AP mathematics males	"27,299"	50.2	106	0.2	"3,164"	5.8	"9,810"	18	"1,871"	3.4	"11,756"	21.6	43	0.1	549	1	245	0.5	214	0.4	"1,112"	48	3	7
AP mathematics females	"27,069"	49.8	101	0.2	"2,894"	5.3	"9,973"	18.3	"2,353"	4.3	"11,143"	20.5	24	0	581	1.1	94	0.2	171	0.3	"1,112"	48	3	7
AP mathematics total	"54,368"	100	207	0.4	"6,058"	11.1	"19,783"	36.4	"4,224"	7.8	"22,899"	42.1	67	0.1	"1,130"	2.1	339	0.6	385	0.7	"1,112"	48	3	7
AP science males	"29,054"	49.1	107	0.2	"3,602"	6.1	"10,670"	18	"2,113"	3.6	"11,896"	20.1	42	0.1	624	1.1	236	0.4	252	0.4	"1,112"	48	3	7
AP science females	"30,073"	50.9	106	0.2	"3,397"	5.7	"11,452"	19.4	"2,740"	4.6	"11,728"	19.8	27	0	623	1.1	105	0.2	256	0.4	"1,112"	48	3	7
AP science total	"59,127"	100	213	0.4	"6,999"	11.8	"22,122"	37.4	"4,853"	8.2	"23,624"	40	69	0.1	"1,247"	2.1	341	0.6	508	0.9	"1,112"	48	3	7
AP foreign language males	"12,225"	42.4	35	0.1	643	2.2	"8,762"	30.4	375	1.3	"2,286"	7.9	15	0.1	109	0.4	184	0.6	"1,041"	3.6	"1,112"	48	3	7
AP foreign language females	"16,634"	57.6	41	0.1	823	2.9	"11,929"	41.3	538	1.9	"3,083"	10.7	13	0	207	0.7	130	0.5	"1,167"	4	"1,112"	48	3	7
AP foreign language total	"28,859"	100	76	0.3	"1,466"	5.1	"20,691"	71.7	913	3.2	"5,369"	18.6	28	0.1	316	1.1	314	1.1	"2,208"	7.7	"1,112"	48	3	7
Other AP subjects males	"95,644"	44.4	403	0.2	"9,236"	4.3	"37,100"	17.2	"9,030"	4.2	"37,719"	17.5	148	0.1	"2,008"	0.9	"1,100"	0.5	755	0.4	"1,112"	48	3	7
Other AP subjects females	"119,597"	55.6	510	0.2	"9,675"	4.5	"47,207"	21.9	"13,886"	6.5	"45,508"	21.1	148	0.1	"2,663"	1.2	622	0.3	963	0.4	"1,112"	48	3	7
Other AP subjects total	"215,241"	100	913	0.4	"18,911"	8.8	"84,307"	39.2	"22,916"	10.6	"83,227"	38.7	296	0.1	"4,671"	2.2	"1,722"	0.8	"1,718"	0.8	"1,112"	48	3	7
