Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race ,Number of Black or African American,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"7,584",59.9,29,0.2,170,1.3,"3,927",31,666,5.3,"2,564",20.2,13,0.1,215,1.7,"1,545",12.2,142,1.1,"1,517",12,"4,355",48,3,7
Kindergarten females,"5,079",40.1,32,0.3,104,0.8,"2,776",21.9,420,3.3,"1,594",12.6,10,0.1,143,1.1,635,5,51,0.4,"1,007",8,"4,355",48,3,7
Kindergarten total,"12,663",100,61,0.5,274,2.2,"6,703",52.9,"1,086",8.6,"4,158",32.8,23,0.2,358,2.8,"2,180",17.2,193,1.5,"2,524",19.9,"4,355",48,3,7
1st grade males,"12,503",59,54,0.3,202,1,"7,845",37,"1,561",7.4,"2,650",12.5,13,0.1,178,0.8,"1,773",8.4,504,2.4,"3,604",17,"4,428",48,3,7
1st grade females,"8,680",41,40,0.2,134,0.6,"5,446",25.7,979,4.6,"1,888",8.9,24,0.1,169,0.8,762,3.6,244,1.2,"2,352",11.1,"4,428",48,3,7
1st grade total,"21,183",100,94,0.4,336,1.6,"13,291",62.7,"2,540",12,"4,538",21.4,37,0.2,347,1.6,"2,535",12,748,3.5,"5,956",28.1,"4,428",48,3,7
2nd grade males,"8,778",55.2,21,0.1,151,0.9,"5,626",35.4,"1,203",7.6,"1,623",10.2,7,0,147,0.9,"1,175",7.4,399,2.5,"2,686",16.9,"4,427",48,3,7
2nd grade females,"7,126",44.8,24,0.2,131,0.8,"4,517",28.4,860,5.4,"1,448",9.1,8,0.1,138,0.9,559,3.5,275,1.7,"1,990",12.5,"4,427",48,3,7
2nd grade total,"15,904",100,45,0.3,282,1.8,"10,143",63.8,"2,063",13,"3,071",19.3,15,0.1,285,1.8,"1,734",10.9,674,4.2,"4,676",29.4,"4,427",48,3,7
3rd grade males,"6,869",55.1,13,0.1,130,1,"4,193",33.6,997,8,"1,387",11.1,8,0.1,141,1.1,881,7.1,365,2.9,"1,970",15.8,"4,439",48,3,7
3rd grade females,"5,606",44.9,15,0.1,108,0.9,"3,475",27.9,715,5.7,"1,159",9.3,11,0.1,123,1,438,3.5,246,2,"1,513",12.1,"4,439",48,3,7
3rd grade total,"12,475",100,28,0.2,238,1.9,"7,668",61.5,"1,712",13.7,"2,546",20.4,19,0.2,264,2.1,"1,319",10.6,611,4.9,"3,483",27.9,"4,439",48,3,7
4th grade males,"5,101",55.1,8,0.1,125,1.4,"3,075",33.2,642,6.9,"1,154",12.5,4,0,93,1,740,8,253,2.7,"1,189",12.8,"4,435",48,3,7
4th grade females,"4,152",44.9,17,0.2,114,1.2,"2,498",27,489,5.3,946,10.2,8,0.1,80,0.9,376,4.1,168,1.8,851,9.2,"4,435",48,3,7
4th grade total,"9,253",100,25,0.3,239,2.6,"5,573",60.2,"1,131",12.2,"2,100",22.7,12,0.1,173,1.9,"1,116",12.1,421,4.5,"2,040",22,"4,435",48,3,7
5th grade males,"4,556",56.3,13,0.2,112,1.4,"2,689",33.2,499,6.2,"1,147",14.2,7,0.1,89,1.1,771,9.5,248,3.1,793,9.8,"4,206",48,3,7
5th grade females,"3,540",43.7,7,0.1,93,1.1,"2,067",25.5,366,4.5,929,11.5,6,0.1,72,0.9,361,4.5,145,1.8,523,6.5,"4,206",48,3,7
5th grade total,"8,096",100,20,0.2,205,2.5,"4,756",58.7,865,10.7,"2,076",25.6,13,0.2,161,2,"1,132",14,393,4.9,"1,316",16.3,"4,206",48,3,7
6th grade males,"4,820",57.3,19,0.2,108,1.3,"2,776",33,604,7.2,"1,215",14.4,DS,0,96,1.1,826,9.8,239,2.8,756,9,"2,739",48,3,7
6th grade females,"3,590",42.7,11,0.1,109,1.3,"2,061",24.5,351,4.2,972,11.6,9,0.1,77,0.9,370,4.4,115,1.4,411,4.9,"2,739",48,3,7
6th grade total,"8,410",100,30,0.4,217,2.6,"4,837",57.5,955,11.4,"2,187",26,11,0.1,173,2.1,"1,196",14.2,354,4.2,"1,167",13.9,"2,739",48,3,7
7th grade males,"5,178",58.6,15,0.2,85,1,"3,019",34.2,639,7.2,"1,329",15,8,0.1,83,0.9,917,10.4,220,2.5,670,7.6,"2,414",48,3,7
7th grade females,"3,658",41.4,12,0.1,93,1.1,"2,119",24,394,4.5,968,11,7,0.1,65,0.7,398,4.5,113,1.3,359,4.1,"2,414",48,3,7
7th grade total,"8,836",100,27,0.3,178,2,"5,138",58.1,"1,033",11.7,"2,297",26,15,0.2,148,1.7,"1,315",14.9,333,3.8,"1,029",11.6,"2,414",48,3,7
8th grade males,"4,733",57,12,0.1,103,1.2,"2,728",32.8,506,6.1,"1,300",15.7,8,0.1,76,0.9,956,11.5,159,1.9,602,7.2,"2,421",48,3,7
8th grade females,"3,572",43,10,0.1,95,1.1,"2,050",24.7,368,4.4,961,11.6,9,0.1,79,1,466,5.6,105,1.3,234,2.8,"2,421",48,3,7
8th grade total,"8,305",100,22,0.3,198,2.4,"4,778",57.5,874,10.5,"2,261",27.2,17,0.2,155,1.9,"1,422",17.1,264,3.2,836,10.1,"2,421",48,3,7
9th grade males,"22,637",62.5,93,0.3,305,0.8,"13,971",38.5,"3,643",10.1,"4,329",11.9,17,0,279,0.8,"3,899",10.8,"1,009",2.8,"3,185",8.8,"2,226",48,3,7
9th grade females,"13,608",37.5,77,0.2,244,0.7,"8,540",23.6,"2,037",5.6,"2,501",6.9,24,0.1,185,0.5,"1,524",4.2,494,1.4,"1,805",5,"2,226",48,3,7
9th grade total,"36,245",100,170,0.5,549,1.5,"22,511",62.1,"5,680",15.7,"6,830",18.8,41,0.1,464,1.3,"5,423",15,"1,503",4.1,"4,990",13.8,"2,226",48,3,7
10th grade males,"14,315",61,66,0.3,245,1,"8,129",34.7,"2,430",10.4,"3,216",13.7,18,0.1,211,0.9,"2,414",10.3,519,2.2,"1,285",5.5,"2,179",48,3,7
10th grade females,"9,138",39,37,0.2,173,0.7,"5,265",22.4,"1,400",6,"2,079",8.9,15,0.1,169,0.7,"1,018",4.3,256,1.1,726,3.1,"2,179",48,3,7
10th grade total,"23,453",100,103,0.4,418,1.8,"13,394",57.1,"3,830",16.3,"5,295",22.6,33,0.1,380,1.6,"3,432",14.6,775,3.3,"2,011",8.6,"2,179",48,3,7
11th grade males,"11,913",59.3,63,0.3,239,1.2,"6,656",33.1,"1,979",9.9,"2,779",13.8,22,0.1,175,0.9,"2,058",10.2,354,1.8,"1,023",5.1,"2,163",48,3,7
11th grade females,"8,172",40.7,25,0.1,193,1,"4,590",22.9,"1,247",6.2,"1,965",9.8,13,0.1,139,0.7,"1,011",5,205,1,667,3.3,"2,163",48,3,7
11th grade total,"20,085",100,88,0.4,432,2.2,"11,246",56,"3,226",16.1,"4,744",23.6,35,0.2,314,1.6,"3,069",15.3,559,2.8,"1,690",8.4,"2,163",48,3,7
12th grade males,"11,344",56.2,48,0.2,300,1.5,"6,093",30.2,"1,841",9.1,"2,884",14.3,16,0.1,162,0.8,"3,559",17.6,316,1.6,"1,256",6.2,"2,144",48,3,7
12th grade females,"8,844",43.8,42,0.2,216,1.1,"5,047",25,"1,296",6.4,"2,082",10.3,18,0.1,143,0.7,"2,047",10.1,205,1,988,4.9,"2,144",48,3,7
12th grade total,"20,188",100,90,0.4,516,2.6,"11,140",55.2,"3,137",15.5,"4,966",24.6,34,0.2,305,1.5,"5,606",27.8,521,2.6,"2,244",11.1,"2,144",48,3,7
