Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	DS	100	0	0	DS	100	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	981	49	4	8
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	49	4	8
Corporal punishment total	DS	100	0	0	DS	100	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	981	49	4	8
One or more in-school suspensions on males	"1,284"	81.7	26	1.7	"1,258"	80	39	2.5	9	0.6	269	17.4	55	3.6	846	54.9	18	1.2	22	1.4	125	8	981	49	4	8
One or more in-school suspensions on females	288	18.3	4	0.3	284	18.1	9	0.6	0	0	65	4.2	12	0.8	194	12.6	DS	0.1	DS	0.1	30	1.9	981	49	4	8
One or more in-school suspensions total	"1,572"	100	30	1.9	"1,542"	98.1	48	3.1	9	0.6	334	21.7	67	4.3	"1,040"	67.4	20	1.3	24	1.6	155	9.9	981	49	4	8
Only one out-of-school suspension on males	"1,412"	82.7	33	1.9	"1,379"	80.8	38	2.3	13	0.8	296	17.7	53	3.2	937	56	19	1.1	23	1.4	109	6.4	981	49	4	8
Only one out-of-school suspension on females	295	17.3	DS	0.1	293	17.2	9	0.5	DS	0.1	73	4.4	9	0.5	187	11.2	7	0.4	6	0.4	29	1.7	981	49	4	8
Only one out-of-school suspension total	"1,707"	100	35	2.1	"1,672"	97.9	47	2.8	15	0.9	369	22.1	62	3.7	"1,124"	67.2	26	1.6	29	1.7	138	8.1	981	49	4	8
More than one out-of-school suspension on males	"1,216"	82.7	20	1.4	"1,196"	81.4	40	2.8	13	0.9	273	18.9	56	3.9	783	54.2	8	0.6	23	1.6	135	9.2	981	49	4	8
More than one out-of-school suspension on females	254	17.3	6	0.4	248	16.9	7	0.5	0	0	66	4.6	22	1.5	144	10	4	0.3	5	0.3	40	2.7	981	49	4	8
More than one out-of-school suspension total	"1,470"	100	26	1.8	"1,444"	98.2	47	3.3	13	0.9	339	23.5	78	5.4	927	64.2	12	0.8	28	1.9	175	11.9	981	49	4	8
One or more out-of-school suspensions on males	"2,634"	82.7	52	1.6	"2,582"	81.1	78	2.5	27	0.9	577	18.5	108	3.5	"1,719"	55	27	0.9	46	1.5	243	7.6	981	49	4	8
One or more out-of-school suspensions on females	551	17.3	8	0.3	543	17	16	0.5	DS	0.1	139	4.4	31	1	333	10.7	11	0.4	11	0.4	68	2.1	981	49	4	8
One or more out-of-school suspensions total	"3,185"	100	60	1.9	"3,125"	98.1	94	3	29	0.9	716	22.9	139	4.4	"2,052"	65.7	38	1.2	57	1.8	311	9.8	981	49	4	8
Expulsions with educational services on males	30	78.9	DS	5.3	28	73.7	DS	5.9	0	0	5	14.7	DS	5.9	17	50	0	0	DS	5.9	0	0	981	49	4	8
Expulsions with educational services on females	8	21.1	DS	5.3	6	15.8	DS	5.9	0	0	0	0	0	0	4	11.8	0	0	0	0	0	0	981	49	4	8
Expulsions with educational services total	38	100	4	10.5	34	89.5	4	11.8	0	0	5	14.7	DS	5.9	21	61.8	0	0	DS	5.9	0	0	981	49	4	8
Expulsions without educational services on males	4	100	0	0	4	100	0	0	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	981	49	4	8
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	49	4	8
Expulsions without educational services total	4	100	0	0	4	100	0	0	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	981	49	4	8
Expulsions with or without educational services on males	33	80.5	DS	4.9	31	75.6	DS	5.4	0	0	5	13.5	DS	5.4	18	48.6	DS	5.4	DS	5.4	0	0	981	49	4	8
Expulsions with or without educational services on females	8	19.5	DS	4.9	6	14.6	DS	5.4	0	0	0	0	0	0	4	10.8	0	0	0	0	0	0	981	49	4	8
Expulsions with or without educational services total	41	100	4	9.8	37	90.2	4	10.8	0	0	5	13.5	DS	5.4	22	59.5	DS	5.4	DS	5.4	0	0	981	49	4	8
Expulsions under zero-tolerance policies on males	18	81.8	0	0	18	81.8	DS	9.1	0	0	DS	9.1	0	0	10	45.5	DS	9.1	DS	9.1	0	0	981	49	4	8
Expulsions under zero-tolerance policies on females	4	18.2	0	0	4	18.2	DS	9.1	0	0	0	0	0	0	DS	9.1	0	0	0	0	0	0	981	49	4	8
Expulsions under zero-tolerance policies total	22	100	0	0	22	100	4	18.2	0	0	DS	9.1	0	0	12	54.5	DS	9.1	DS	9.1	0	0	981	49	4	8
Referral to law enforcement on males	504	82	6	1	498	81	19	3.1	6	1	132	21.7	22	3.6	308	50.6	DS	0.3	9	1.5	43	7	981	49	4	8
Referral to law enforcement on females	111	18	0	0	111	18	6	1	0	0	37	6.1	5	0.8	61	10	0	0	DS	0.3	16	2.6	981	49	4	8
Referral to law enforcement total	615	100	6	1	609	99	25	4.1	6	1	169	27.8	27	4.4	369	60.6	DS	0.3	11	1.8	59	9.6	981	49	4	8
School-related arrests on males	69	84.1	DS	2.4	67	81.7	6	7.5	0	0	16	20	DS	2.5	39	48.8	DS	2.5	DS	2.5	DS	2.4	981	49	4	8
