Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"14,025"	47.3	59	0.2	524	1.8	"1,481"	5	128	0.4	"11,516"	38.8	151	0.5	166	0.6	374	1.3	671	2.3	114	49	4	8
At least one AP course females	"15,653"	52.7	92	0.3	524	1.8	"1,579"	5.3	123	0.4	"12,967"	43.7	187	0.6	181	0.6	249	0.8	675	2.3	114	49	4	8
At least one AP course total	"29,678"	100	151	0.5	"1,048"	3.5	"3,060"	10.3	251	0.8	"24,483"	82.5	338	1.1	347	1.2	623	2.1	"1,346"	4.5	114	49	4	8
AP mathematics males	"3,670"	55	15	0.2	183	2.7	188	2.8	17	0.3	"3,220"	48.3	18	0.3	29	0.4	15	0.2	121	1.8	114	49	4	8
AP mathematics females	"2,999"	45	13	0.2	153	2.3	166	2.5	8	0.1	"2,592"	38.9	36	0.5	31	0.5	4	0.1	78	1.2	114	49	4	8
AP mathematics total	"6,669"	100	28	0.4	336	5	354	5.3	25	0.4	"5,812"	87.1	54	0.8	60	0.9	19	0.3	199	3	114	49	4	8
AP science males	"2,109"	56.2	10	0.3	106	2.8	154	4.1	14	0.4	"1,795"	47.9	11	0.3	19	0.5	20	0.5	79	2.1	114	49	4	8
AP science females	"1,641"	43.8	9	0.2	94	2.5	115	3.1	13	0.3	"1,384"	36.9	12	0.3	14	0.4	5	0.1	64	1.7	114	49	4	8
AP science total	"3,750"	100	19	0.5	200	5.3	269	7.2	27	0.7	"3,179"	84.8	23	0.6	33	0.9	25	0.7	143	3.8	114	49	4	8
AP foreign language males	487	43.9	0	0	5	0.5	146	13.2	0	0	334	30.1	0	0	DS	0.2	8	0.7	45	4.1	114	49	4	8
AP foreign language females	622	56.1	DS	0.2	13	1.2	190	17.1	DS	0.2	411	37.1	0	0	4	0.4	4	0.4	56	5	114	49	4	8
AP foreign language total	"1,109"	100	DS	0.2	18	1.6	336	30.3	DS	0.2	745	67.2	0	0	6	0.5	12	1.1	101	9.1	114	49	4	8
Other AP subjects males	"8,956"	44.2	47	0.2	355	1.8	705	3.5	84	0.4	"7,546"	37.2	103	0.5	116	0.6	101	0.5	321	1.6	114	49	4	8
Other AP subjects females	"11,322"	55.8	70	0.3	383	1.9	926	4.6	87	0.4	"9,585"	47.3	133	0.7	138	0.7	87	0.4	384	1.9	114	49	4	8
Other AP subjects total	"20,278"	100	117	0.6	738	3.6	"1,631"	8	171	0.8	"17,131"	84.5	236	1.2	254	1.3	188	0.9	705	3.5	114	49	4	8
