Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native ,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,189,68,DS,0.7,0,0,29,10.4,DS,0.7,152,54.7,DS,0.7,DS,0.7,65,23.4,0,0,8,2.9,609,49,4,8
Kindergarten females,89,32,0,0,0,0,19,6.8,0,0,66,23.7,DS,0.7,DS,0.7,26,9.4,DS,0.7,6,2.2,609,49,4,8
Kindergarten total,278,100,DS,0.7,0,0,48,17.3,DS,0.7,218,78.4,4,1.4,4,1.4,91,32.7,DS,0.7,14,5,609,49,4,8
1st grade males,126,75.4,DS,1.2,DS,1.2,22,13.2,6,3.6,86,51.5,6,3.6,DS,1.2,45,26.9,0,0,5,3,611,49,4,8
1st grade females,41,24.6,0,0,0,0,8,4.8,DS,1.2,31,18.6,0,0,0,0,5,3,0,0,DS,1.2,611,49,4,8
1st grade total,167,100,DS,1.2,DS,1.2,30,18,8,4.8,117,70.1,6,3.6,DS,1.2,50,29.9,0,0,7,4.2,611,49,4,8
2nd grade males,39,60.9,DS,3.1,0,0,8,12.5,0,0,27,42.2,DS,3.1,0,0,25,39.1,0,0,6,9.4,610,49,4,8
2nd grade females,25,39.1,DS,3.1,0,0,DS,3.1,0,0,19,29.7,0,0,DS,3.1,10,15.6,0,0,0,0,610,49,4,8
2nd grade total,64,100,4,6.3,0,0,10,15.6,0,0,46,71.9,DS,3.1,DS,3.1,35,54.7,0,0,6,9.4,610,49,4,8
3rd grade males,44,67.7,0,0,0,0,5,7.7,DS,3.1,33,50.8,DS,3.1,DS,3.1,16,24.6,0,0,DS,3.1,609,49,4,8
3rd grade females,21,32.3,0,0,0,0,DS,3.1,DS,3.1,17,26.2,0,0,0,0,11,16.9,0,0,0,0,609,49,4,8
3rd grade total,65,100,0,0,0,0,7,10.8,4,6.2,50,76.9,DS,3.1,DS,3.1,27,41.5,0,0,DS,3.1,609,49,4,8
4th grade males,45,69.2,DS,3.1,0,0,4,6.2,DS,3.1,33,50.8,DS,3.1,DS,3.1,21,32.3,DS,3.1,DS,3.1,611,49,4,8
4th grade females,20,30.8,0,0,0,0,DS,3.1,0,0,18,27.7,0,0,0,0,6,9.2,0,0,DS,3.1,611,49,4,8
4th grade total,65,100,DS,3.1,0,0,6,9.2,DS,3.1,51,78.5,DS,3.1,DS,3.1,27,41.5,DS,3.1,4,6.2,611,49,4,8
5th grade males,39,75,0,0,0,0,DS,3.8,0,0,35,67.3,DS,3.8,0,0,27,51.9,DS,3.8,DS,3.8,608,49,4,8
5th grade females,13,25,0,0,0,0,0,0,DS,3.8,11,21.2,0,0,0,0,5,9.6,0,0,0,0,608,49,4,8
5th grade total,52,100,0,0,0,0,DS,3.8,DS,3.8,46,88.5,DS,3.8,0,0,32,61.5,DS,3.8,DS,3.8,608,49,4,8
6th grade males,42,73.7,0,0,0,0,DS,3.5,0,0,38,66.7,DS,3.5,0,0,28,49.1,0,0,0,0,548,49,4,8
6th grade females,15,26.3,0,0,0,0,DS,3.5,0,0,11,19.3,DS,3.5,0,0,7,12.3,0,0,0,0,548,49,4,8
6th grade total,57,100,0,0,0,0,4,7,0,0,49,86,4,7,0,0,35,61.4,0,0,0,0,548,49,4,8
7th grade males,189,60.4,6,1.9,DS,0.6,26,8.3,6,1.9,145,46.3,DS,0.6,DS,0.6,55,17.6,DS,0.6,7,2.2,260,49,4,8
7th grade females,124,39.6,4,1.3,4,1.3,18,5.8,DS,0.6,94,30,DS,0.6,0,0,31,9.9,0,0,DS,0.6,260,49,4,8
7th grade total,313,100,10,3.2,6,1.9,44,14.1,8,2.6,239,76.4,4,1.3,DS,0.6,86,27.5,DS,0.6,9,2.9,260,49,4,8
8th grade males,235,66.4,7,2,DS,0.6,30,8.5,DS,0.6,190,53.7,DS,0.6,DS,0.6,41,11.6,DS,0.6,8,2.3,261,49,4,8
8th grade females,119,33.6,5,1.4,DS,0.6,17,4.8,DS,0.6,91,25.7,DS,0.6,0,0,31,8.8,0,0,5,1.4,261,49,4,8
8th grade total,354,100,12,3.4,4,1.1,47,13.3,4,1.1,281,79.4,4,1.1,DS,0.6,72,20.3,DS,0.6,13,3.7,261,49,4,8
9th grade males,185,54.4,6,1.8,0,0,28,8.2,4,1.2,145,42.6,0,0,DS,0.6,57,16.8,0,0,10,2.9,250,49,4,8
9th grade females,155,45.6,DS,0.6,DS,0.6,20,5.9,DS,0.6,125,36.8,DS,0.6,DS,0.6,23,6.8,DS,0.6,7,2.1,250,49,4,8
9th grade total,340,100,8,2.4,DS,0.6,48,14.1,6,1.8,270,79.4,DS,0.6,4,1.2,80,23.5,DS,0.6,17,5,250,49,4,8
10th grade males,261,56.3,9,1.9,DS,0.4,46,9.9,5,1.1,197,42.5,DS,0.4,0,0,75,16.2,6,1.3,22,4.7,205,49,4,8
