Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"37,382"	44.6	107	0.1	"4,498"	5.4	"2,791"	3.3	"4,004"	4.8	"24,461"	29.2	45	0.1	"1,476"	1.8	924	1.1	479	0.6	295	51	3	5
At least one AP course females	"46,418"	55.4	153	0.2	"4,792"	5.7	"3,587"	4.3	"6,460"	7.7	"29,446"	35.1	68	0.1	"1,912"	2.3	512	0.6	541	0.6	295	51	3	5
At least one AP course total	"83,800"	100	260	0.3	"9,290"	11.1	"6,378"	7.6	"10,464"	12.5	"53,907"	64.3	113	0.1	"3,388"	4	"1,436"	1.7	"1,020"	1.2	295	51	3	5
AP mathematics males	"9,092"	49.9	17	0.1	"1,516"	8.3	510	2.8	663	3.6	"6,033"	33.1	12	0.1	341	1.9	121	0.7	75	0.4	295	51	3	5
AP mathematics females	"9,132"	50.1	25	0.1	"1,396"	7.7	485	2.7	861	4.7	"5,990"	32.9	15	0.1	360	2	39	0.2	60	0.3	295	51	3	5
AP mathematics total	"18,224"	100	42	0.2	"2,912"	16	995	5.5	"1,524"	8.4	"12,023"	66	27	0.1	701	3.8	160	0.9	135	0.7	295	51	3	5
AP science males	"9,192"	46.4	23	0.1	"1,624"	8.2	538	2.7	830	4.2	"5,838"	29.5	7	0	332	1.7	173	0.9	84	0.4	295	51	3	5
AP science females	"10,605"	53.6	32	0.2	"1,644"	8.3	615	3.1	"1,376"	7	"6,533"	33	13	0.1	392	2	73	0.4	83	0.4	295	51	3	5
AP science total	"19,797"	100	55	0.3	"3,268"	16.5	"1,153"	5.8	"2,206"	11.1	"12,371"	62.5	20	0.1	724	3.7	246	1.2	167	0.8	295	51	3	5
AP foreign language males	"1,845"	38.6	DS	0	233	4.9	465	9.7	69	1.4	989	20.7	DS	0	85	1.8	39	0.8	88	1.8	295	51	3	5
AP foreign language females	"2,937"	61.4	6	0.1	405	8.5	651	13.6	178	3.7	"1,579"	33	DS	0	116	2.4	17	0.4	140	2.9	295	51	3	5
AP foreign language total	"4,782"	100	8	0.2	638	13.3	"1,116"	23.3	247	5.2	"2,568"	53.7	4	0.1	201	4.2	56	1.2	228	4.8	295	51	3	5
Other AP subjects males	"29,909"	43.9	78	0.1	"3,780"	5.6	"2,232"	3.3	"3,113"	4.6	"19,446"	28.6	40	0.1	"1,220"	1.8	738	1.1	271	0.4	295	51	3	5
Other AP subjects females	"38,186"	56.1	124	0.2	"4,118"	6	"2,840"	4.2	"5,255"	7.7	"24,173"	35.5	65	0.1	"1,611"	2.4	407	0.6	292	0.4	295	51	3	5
Other AP subjects total	"68,095"	100	202	0.3	"7,898"	11.6	"5,072"	7.4	"8,368"	12.3	"43,619"	64.1	105	0.2	"2,831"	4.2	"1,145"	1.7	563	0.8	295	51	3	5
