Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,694",65.2,5,0.2,38,1.5,264,10.2,537,20.7,787,30.3,DS,0.1,61,2.3,537,20.7,8,0.3,245,9.4,"1,150",51,3,5
Kindergarten females,906,34.8,DS,0.1,17,0.7,163,6.3,303,11.7,384,14.8,4,0.2,33,1.3,204,7.8,5,0.2,134,5.2,"1,150",51,3,5
Kindergarten total,"2,600",100,7,0.3,55,2.1,427,16.4,840,32.3,"1,171",45,6,0.2,94,3.6,741,28.5,13,0.5,379,14.6,"1,150",51,3,5
1st grade males,"1,319",60.2,5,0.2,30,1.4,192,8.8,439,20,596,27.2,DS,0.1,55,2.5,343,15.7,9,0.4,180,8.2,"1,153",51,3,5
1st grade females,872,39.8,DS,0.1,23,1,134,6.1,306,14,368,16.8,DS,0.1,37,1.7,163,7.4,4,0.2,118,5.4,"1,153",51,3,5
1st grade total,"2,191",100,7,0.3,53,2.4,326,14.9,745,34,964,44,4,0.2,92,4.2,506,23.1,13,0.6,298,13.6,"1,153",51,3,5
2nd grade males,600,57.6,DS,0.2,11,1.1,72,6.9,266,25.5,218,20.9,0,0,31,3,153,14.7,8,0.8,67,6.4,"1,153",51,3,5
2nd grade females,442,42.4,DS,0.2,13,1.2,54,5.2,176,16.9,168,16.1,0,0,29,2.8,92,8.8,6,0.6,51,4.9,"1,153",51,3,5
2nd grade total,"1,042",100,4,0.4,24,2.3,126,12.1,442,42.4,386,37,0,0,60,5.8,245,23.5,14,1.3,118,11.3,"1,153",51,3,5
3rd grade males,312,55.4,DS,0.4,5,0.9,29,5.2,154,27.4,108,19.2,DS,0.4,12,2.1,81,14.4,8,1.4,38,6.7,"1,154",51,3,5
