Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	20	83.3	DS	8.3	18	75	0	0	0	0	0	0	0	0	18	81.8	0	0	0	0	0	0	295	50	1	1
Corporal punishment on females	4	16.7	0	0	4	16.7	0	0	0	0	0	0	0	0	4	18.2	0	0	0	0	0	0	295	50	1	1
Corporal punishment total	24	100	DS	8.3	22	91.7	0	0	0	0	0	0	0	0	22	100	0	0	0	0	0	0	295	50	1	1
One or more in-school suspensions on males	"2,685"	72.9	137	3.7	"2,548"	69.2	38	1.1	14	0.4	39	1.1	96	2.7	"2,343"	66.7	0	0	18	0.5	52	1.4	295	50	1	1
One or more in-school suspensions on females	997	27.1	33	0.9	964	26.2	27	0.8	9	0.3	16	0.5	31	0.9	874	24.9	0	0	7	0.2	21	0.6	295	50	1	1
One or more in-school suspensions total	"3,682"	100	170	4.6	"3,512"	95.4	65	1.9	23	0.7	55	1.6	127	3.6	"3,217"	91.6	0	0	25	0.7	73	2	295	50	1	1
Only one out-of-school suspension on males	"1,476"	72	79	3.9	"1,397"	68.2	23	1.2	7	0.4	16	0.8	57	2.9	"1,277"	65.3	DS	0.1	15	0.8	30	1.5	295	50	1	1
Only one out-of-school suspension on females	573	28	13	0.6	560	27.3	7	0.4	DS	0.1	12	0.6	17	0.9	513	26.2	DS	0.1	7	0.4	11	0.5	295	50	1	1
Only one out-of-school suspension total	"2,049"	100	92	4.5	"1,957"	95.5	30	1.5	9	0.5	28	1.4	74	3.8	"1,790"	91.5	4	0.2	22	1.1	41	2	295	50	1	1
More than one out-of-school suspension on males	"1,133"	72.7	58	3.7	"1,075"	69	19	1.3	6	0.4	16	1.1	36	2.4	981	66.1	0	0	17	1.1	14	0.9	295	50	1	1
More than one out-of-school suspension on females	425	27.3	17	1.1	408	26.2	15	1	0	0	4	0.3	16	1.1	369	24.9	0	0	4	0.3	4	0.3	295	50	1	1
More than one out-of-school suspension total	"1,558"	100	75	4.8	"1,483"	95.2	34	2.3	6	0.4	20	1.3	52	3.5	"1,350"	91	0	0	21	1.4	18	1.2	295	50	1	1
One or more out-of-school suspensions on males	"2,605"	72.3	140	3.9	"2,465"	68.4	42	1.2	11	0.3	31	0.9	91	2.7	"2,256"	65.7	DS	0.1	32	0.9	44	1.2	295	50	1	1
One or more out-of-school suspensions on females	998	27.7	30	0.8	968	26.9	24	0.7	DS	0.1	15	0.4	32	0.9	883	25.7	DS	0.1	10	0.3	14	0.4	295	50	1	1
One or more out-of-school suspensions total	"3,603"	100	170	4.7	"3,433"	95.3	66	1.9	13	0.4	46	1.3	123	3.6	"3,139"	91.4	4	0.1	42	1.2	58	1.6	295	50	1	1
Expulsions with educational services on males	36	90	DS	5	34	85	0	0	0	0	0	0	0	0	34	89.5	0	0	0	0	0	0	295	50	1	1
Expulsions with educational services on females	4	10	0	0	4	10	0	0	0	0	0	0	0	0	4	10.5	0	0	0	0	0	0	295	50	1	1
Expulsions with educational services total	40	100	DS	5	38	95	0	0	0	0	0	0	0	0	38	100	0	0	0	0	0	0	295	50	1	1
Expulsions without educational services on males	14	100	0	0	14	100	0	0	0	0	0	0	0	0	14	100	0	0	0	0	0	0	295	50	1	1
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	50	1	1
Expulsions without educational services total	14	100	0	0	14	100	0	0	0	0	0	0	0	0	14	100	0	0	0	0	0	0	295	50	1	1
Expulsions with or without educational services on males	50	92.6	DS	3.7	48	88.9	0	0	0	0	0	0	0	0	48	92.3	0	0	0	0	0	0	295	50	1	1
Expulsions with or without educational services on females	4	7.4	0	0	4	7.4	0	0	0	0	0	0	0	0	4	7.7	0	0	0	0	0	0	295	50	1	1
Expulsions with or without educational services total	54	100	DS	3.7	52	96.3	0	0	0	0	0	0	0	0	52	100	0	0	0	0	0	0	295	50	1	1
Expulsions under zero-tolerance policies on males	18	90	DS	10	16	80	0	0	0	0	0	0	0	0	16	88.9	0	0	0	0	0	0	295	50	1	1
Expulsions under zero-tolerance policies on females	DS	10	0	0	DS	10	0	0	0	0	0	0	0	0	DS	11.1	0	0	0	0	0	0	295	50	1	1
Expulsions under zero-tolerance policies total	20	100	DS	10	18	90	0	0	0	0	0	0	0	0	18	100	0	0	0	0	0	0	295	50	1	1
Referral to law enforcement on males	344	72.4	29	6.1	315	66.3	4	0.9	0	0	6	1.4	22	5	279	63.6	DS	0.5	DS	0.5	7	1.5	295	50	1	1
Referral to law enforcement on females	131	27.6	7	1.5	124	26.1	4	0.9	0	0	DS	0.5	10	2.3	106	24.1	0	0	DS	0.5	6	1.3	295	50	1	1
Referral to law enforcement total	475	100	36	7.6	439	92.4	8	1.8	0	0	8	1.8	32	7.3	385	87.7	DS	0.5	4	0.9	13	2.7	295	50	1	1
School-related arrests on males	47	79.7	5	8.5	42	71.2	DS	3.8	0	0	DS	3.8	8	15.4	30	57.7	0	0	0	0	0	0	295	50	1	1
School-related arrests on females	12	20.3	DS	3.4	10	16.9	DS	3.8	0	0	DS	3.8	0	0	4	7.7	0	0	DS	3.8	DS	3.4	295	50	1	1
School-related arrests total	59	100	7	11.9	52	88.1	4	7.7	0	0	4	7.7	8	15.4	34	65.4	0	0	DS	3.8	DS	3.4	295	50	1	1
