Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Balck or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"1,794"	43.2	7	0.2	59	1.4	13	0.3	29	0.7	"1,667"	40.1	DS	0	17	0.4	5	0.1	7	0.2	52	50	1	1
At least one AP course females	"2,358"	56.8	16	0.4	121	2.9	10	0.2	23	0.6	"2,171"	52.3	5	0.1	12	0.3	6	0.1	11	0.3	52	50	1	1
At least one AP course total	"4,152"	100	23	0.6	180	4.3	23	0.6	52	1.3	"3,838"	92.4	7	0.2	29	0.7	11	0.3	18	0.4	52	50	1	1
AP mathematics males	628	50.2	DS	0.2	13	1	DS	0.2	7	0.6	599	47.9	0	0	5	0.4	0	0	DS	0.2	52	50	1	1
AP mathematics females	622	49.8	DS	0.2	35	2.8	0	0	DS	0.2	581	46.5	DS	0.2	0	0	DS	0.2	DS	0.2	52	50	1	1
AP mathematics total	"1,250"	100	4	0.3	48	3.8	DS	0.2	9	0.7	"1,180"	94.4	DS	0.2	5	0.4	DS	0.2	4	0.3	52	50	1	1
AP science males	536	45.6	0	0	21	1.8	DS	0.2	4	0.3	504	42.9	0	0	5	0.4	0	0	DS	0.2	52	50	1	1
AP science females	640	54.4	DS	0.2	39	3.3	DS	0.2	5	0.4	588	50	DS	0.2	DS	0.2	0	0	5	0.4	52	50	1	1
AP science total	"1,176"	100	DS	0.2	60	5.1	4	0.3	9	0.8	"1,092"	92.9	DS	0.2	7	0.6	0	0	7	0.6	52	50	1	1
AP foreign language males	62	33	DS	1.1	DS	1.1	DS	1.1	DS	1.1	52	27.7	0	0	DS	1.1	0	0	DS	1.1	52	50	1	1
AP foreign language females	126	67	DS	1.1	12	6.4	DS	1.1	DS	1.1	104	55.3	DS	1.1	DS	1.1	0	0	0	0	52	50	1	1
AP foreign language total	188	100	4	2.1	14	7.4	4	2.1	4	2.1	156	83	DS	1.1	4	2.1	0	0	DS	1.1	52	50	1	1
Other AP subjects males	"1,042"	40.8	6	0.2	33	1.3	6	0.2	16	0.6	972	38.1	DS	0.1	7	0.3	4	0.2	4	0.2	52	50	1	1
Other AP subjects females	"1,511"	59.2	7	0.3	66	2.6	8	0.3	15	0.6	"1,400"	54.8	4	0.2	11	0.4	DS	0.1	DS	0.1	52	50	1	1
Other AP subjects total	"2,553"	100	13	0.5	99	3.9	14	0.5	31	1.2	"2,372"	92.9	6	0.2	18	0.7	6	0.2	6	0.2	52	50	1	1
