Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander 	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"23,740"	44.7	188	0.4	"3,415"	6.4	"2,176"	4.1	830	1.6	"15,819"	29.8	125	0.2	"1,187"	2.2	363	0.7	276	0.5	282	53	4	9
At least one AP course females	"29,338"	55.3	232	0.4	"3,885"	7.3	"3,097"	5.8	"1,128"	2.1	"19,295"	36.4	178	0.3	"1,523"	2.9	255	0.5	281	0.5	282	53	4	9
At least one AP course total	"53,078"	100	420	0.8	"7,300"	13.8	"5,273"	9.9	"1,958"	3.7	"35,114"	66.2	303	0.6	"2,710"	5.1	618	1.2	557	1	282	53	4	9
AP mathematics males	"6,930"	50.4	38	0.3	"1,282"	9.3	408	3	140	1	"4,694"	34.2	27	0.2	341	2.5	39	0.3	59	0.4	282	53	4	9
AP mathematics females	"6,809"	49.6	32	0.2	"1,219"	8.9	460	3.3	172	1.3	"4,557"	33.2	32	0.2	337	2.5	14	0.1	40	0.3	282	53	4	9
AP mathematics total	"13,739"	100	70	0.5	"2,501"	18.2	868	6.3	312	2.3	"9,251"	67.3	59	0.4	678	4.9	53	0.4	99	0.7	282	53	4	9
AP science males	"6,664"	49.3	39	0.3	"1,284"	9.5	499	3.7	136	1	"4,339"	32.1	28	0.2	339	2.5	53	0.4	55	0.4	282	53	4	9
AP science females	"6,840"	50.7	26	0.2	"1,237"	9.2	621	4.6	161	1.2	"4,438"	32.9	23	0.2	334	2.5	33	0.2	43	0.3	282	53	4	9
AP science total	"13,504"	100	65	0.5	"2,521"	18.7	"1,120"	8.3	297	2.2	"8,777"	65	51	0.4	673	5	86	0.6	98	0.7	282	53	4	9
AP foreign language males	"1,756"	42.5	11	0.3	336	8.1	310	7.5	95	2.3	956	23.2	5	0.1	43	1	43	1	53	1.3	282	53	4	9
AP foreign language females	"2,371"	57.5	20	0.5	412	10	483	11.7	180	4.4	"1,207"	29.2	7	0.2	62	1.5	34	0.8	57	1.4	282	53	4	9
AP foreign language total	"4,127"	100	31	0.8	748	18.1	793	19.2	275	6.7	"2,163"	52.4	12	0.3	105	2.5	77	1.9	110	2.7	282	53	4	9
Other AP subjects males	"17,836"	43.3	141	0.3	"2,548"	6.2	"1,495"	3.6	624	1.5	"12,006"	29.1	96	0.2	926	2.2	264	0.6	129	0.3	282	53	4	9
Other AP subjects females	"23,351"	56.7	171	0.4	"3,073"	7.5	"2,259"	5.5	887	2.2	"15,539"	37.7	141	0.3	"1,281"	3.1	195	0.5	147	0.4	282	53	4	9
Other AP subjects total	"41,187"	100	312	0.8	"5,621"	13.6	"3,754"	9.1	"1,511"	3.7	"27,545"	66.9	237	0.6	"2,207"	5.4	459	1.1	276	0.7	282	53	4	9
