Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number ofTwo or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,665,62,17,1.6,21,2,218,20.3,26,2.4,339,31.6,9,0.8,35,3.3,150,14,DS,0.2,172,16,"1,233",53,4,9
Kindergarten females,408,38,10,0.9,7,0.7,145,13.5,13,1.2,198,18.5,4,0.4,31,2.9,77,7.2,DS,0.2,93,8.7,"1,233",53,4,9
Kindergarten total,"1,073",100,27,2.5,28,2.6,363,33.8,39,3.6,537,50,13,1.2,66,6.2,227,21.2,4,0.4,265,24.7,"1,233",53,4,9
1st grade males,440,62.1,12,1.7,6,0.8,152,21.4,11,1.6,238,33.6,DS,0.3,19,2.7,102,14.4,DS,0.3,96,13.5,"1,243",53,4,9
1st grade females,269,37.9,9,1.3,6,0.8,91,12.8,8,1.1,139,19.6,DS,0.3,14,2,42,5.9,DS,0.3,56,7.9,"1,243",53,4,9
1st grade total,709,100,21,3,12,1.7,243,34.3,19,2.7,377,53.2,4,0.6,33,4.7,144,20.3,4,0.6,152,21.4,"1,243",53,4,9
2nd grade males,170,61.8,6,2.2,DS,0.7,70,25.5,DS,0.7,76,27.6,DS,0.7,12,4.4,35,12.7,DS,0.7,45,16.4,"1,243",53,4,9
2nd grade females,105,38.2,6,2.2,DS,0.7,37,13.5,DS,0.7,54,19.6,0,0,4,1.5,17,6.2,DS,0.7,22,8,"1,243",53,4,9
2nd grade total,275,100,12,4.4,4,1.5,107,38.9,4,1.5,130,47.3,DS,0.7,16,5.8,52,18.9,4,1.5,67,24.4,"1,243",53,4,9
3rd grade males,85,48.6,4,2.3,DS,1.1,27,15.4,4,2.3,44,25.1,0,0,4,2.3,29,16.6,DS,1.1,20,11.4,"1,249",53,4,9
3rd grade females,90,51.4,4,2.3,5,2.9,27,15.4,DS,1.1,48,27.4,0,0,4,2.3,12,6.9,0,0,22,12.6,"1,249",53,4,9
3rd grade total,175,100,8,4.6,7,4,54,30.9,6,3.4,92,52.6,0,0,8,4.6,41,23.4,DS,1.1,42,24,"1,249",53,4,9
4th grade males,58,55.8,0,0,4,3.8,19,18.3,DS,1.9,31,29.8,0,0,DS,1.9,18,17.3,DS,1.9,11,10.6,"1,248",53,4,9
4th grade females,46,44.2,DS,1.9,DS,1.9,12,11.5,4,3.8,24,23.1,0,0,DS,1.9,10,9.6,0,0,7,6.7,"1,248",53,4,9
4th grade total,104,100,DS,1.9,6,5.8,31,29.8,6,5.8,55,52.9,0,0,4,3.8,28,26.9,DS,1.9,18,17.3,"1,248",53,4,9
5th grade males,56,56.6,0,0,0,0,12,12.1,DS,2,40,40.4,0,0,DS,2,16,16.2,DS,2,7,7.1,"1,237",53,4,9
5th grade females,43,43.4,0,0,DS,2,6,6.1,DS,2,31,31.3,0,0,DS,2,10,10.1,DS,2,4,4,"1,237",53,4,9
5th grade total,99,100,0,0,DS,2,18,18.2,4,4,71,71.7,0,0,4,4,26,26.3,4,4,11,11.1,"1,237",53,4,9
6th grade males,85,67.5,DS,1.6,DS,1.6,19,15.1,7,5.6,50,39.7,0,0,5,4,20,15.9,8,6.3,11,8.7,889,53,4,9
6th grade females,41,32.5,DS,1.6,DS,1.6,8,6.3,DS,1.6,25,19.8,0,0,DS,1.6,11,8.7,0,0,6,4.8,889,53,4,9
6th grade total,126,100,4,3.2,4,3.2,27,21.4,9,7.1,75,59.5,0,0,7,5.6,31,24.6,8,6.3,17,13.5,889,53,4,9
7th grade males,91,62.8,8,5.5,DS,1.4,26,17.9,4,2.8,45,31,DS,1.4,4,2.8,11,7.6,5,3.4,8,5.5,650,53,4,9
7th grade females,54,37.2,DS,1.4,DS,1.4,15,10.3,DS,1.4,31,21.4,0,0,DS,1.4,10,6.9,4,2.8,DS,1.4,650,53,4,9
7th grade total,145,100,10,6.9,4,2.8,41,28.3,6,4.1,76,52.4,DS,1.4,6,4.1,21,14.5,9,6.2,10,6.9,650,53,4,9
8th grade males,118,66.7,15,8.5,DS,1.1,39,22,DS,1.1,55,31.1,0,0,5,2.8,27,15.3,DS,1.1,6,3.4,656,53,4,9
8th grade females,59,33.3,7,4,DS,1.1,15,8.5,DS,1.1,31,17.5,0,0,DS,1.1,11,6.2,DS,1.1,DS,1.1,656,53,4,9
8th grade total,177,100,22,12.4,4,2.3,54,30.5,4,2.3,86,48.6,0,0,7,4,38,21.5,4,2.3,8,4.5,656,53,4,9
9th grade males,"2,445",60.6,64,1.6,145,3.6,693,17.2,328,8.1,"1,049",26,58,1.4,108,2.7,377,9.4,80,2,361,9,658,53,4,9
9th grade females,"1,587",39.4,36,0.9,91,2.3,453,11.2,259,6.4,620,15.4,32,0.8,96,2.4,152,3.8,39,1,210,5.2,658,53,4,9
9th grade total,"4,032",100,100,2.5,236,5.9,"1,146",28.4,587,14.6,"1,669",41.4,90,2.2,204,5.1,529,13.1,119,3,571,14.2,658,53,4,9
10th grade males,"2,100",60.4,34,1,145,4.2,561,16.1,233,6.7,956,27.5,51,1.5,120,3.5,351,10.1,81,2.3,251,7.2,636,53,4,9
10th grade females,"1,376",39.6,29,0.8,94,2.7,378,10.9,170,4.9,594,17.1,32,0.9,79,2.3,156,4.5,29,0.8,139,4,636,53,4,9
10th grade total,"3,476",100,63,1.8,239,6.9,939,27,403,11.6,"1,550",44.6,83,2.4,199,5.7,507,14.6,110,3.2,390,11.2,636,53,4,9
11th grade males,"1,987",59.3,38,1.1,142,4.2,485,14.5,230,6.9,954,28.5,37,1.1,101,3,363,10.8,63,1.9,193,5.8,636,53,4,9
11th grade females,"1,361",40.7,21,0.6,87,2.6,370,11.1,132,3.9,649,19.4,40,1.2,62,1.9,153,4.6,20,0.6,148,4.4,636,53,4,9
11th grade total,"3,348",100,59,1.8,229,6.8,855,25.5,362,10.8,"1,603",47.9,77,2.3,163,4.9,516,15.4,83,2.5,341,10.2,636,53,4,9
12th grade males,"5,111",59.5,110,1.3,292,3.4,"1,091",12.7,341,4,"2,973",34.6,57,0.7,247,2.9,"1,587",18.5,113,1.3,373,4.3,637,53,4,9
12th grade females,"3,480",40.5,78,0.9,173,2,815,9.5,194,2.3,"1,984",23.1,47,0.5,189,2.2,812,9.5,69,0.8,286,3.3,637,53,4,9
12th grade total,"8,591",100,188,2.2,465,5.4,"1,906",22.2,535,6.2,"4,957",57.7,104,1.2,436,5.1,"2,399",27.9,182,2.1,659,7.7,637,53,4,9
