Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	103	79.8	0	0	0	0	5	3.9	4	3.1	94	72.9	0	0	0	0	DS	1.6	"2,242"	55	2	3
Corporal punishment on females	26	20.2	0	0	0	0	DS	1.6	0	0	24	18.6	0	0	0	0	0	0	"2,242"	55	2	3
Corporal punishment total	129	100	0	0	0	0	7	5.4	4	3.1	118	91.5	0	0	0	0	DS	1.6	"2,242"	55	2	3
One or more in-school suspensions on males	"14,258"	69.3	339	1.6	219	1.1	"1,570"	7.6	"2,099"	10.2	"9,648"	46.9	7	0	376	1.8	691	3.4	"2,242"	55	2	3
One or more in-school suspensions on females	"6,318"	30.7	214	1	75	0.4	731	3.6	"1,313"	6.4	"3,768"	18.3	4	0	213	1	242	1.2	"2,242"	55	2	3
One or more in-school suspensions total	"20,576"	100	553	2.7	294	1.4	"2,301"	11.2	"3,412"	16.6	"13,416"	65.2	11	0.1	589	2.9	933	4.5	"2,242"	55	2	3
Only one out-of-school suspension on males	"12,408"	63.4	246	1.3	223	1.1	"1,618"	8.3	"4,232"	21.6	"5,839"	29.8	8	0	242	1.2	742	3.8	"2,242"	55	2	3
Only one out-of-school suspension on females	"7,157"	36.6	170	0.9	57	0.3	854	4.4	"3,563"	18.2	"2,359"	12.1	4	0	150	0.8	299	1.5	"2,242"	55	2	3
Only one out-of-school suspension total	"19,565"	100	416	2.1	280	1.4	"2,472"	12.6	"7,795"	39.8	"8,198"	41.9	12	0.1	392	2	"1,041"	5.3	"2,242"	55	2	3
More than one out-of-school suspension on males	"7,345"	64.2	132	1.2	72	0.6	858	7.5	"3,863"	33.8	"2,275"	19.9	DS	0	143	1.3	372	3.3	"2,242"	55	2	3
More than one out-of-school suspension on females	"4,089"	35.8	73	0.6	15	0.1	373	3.3	"2,762"	24.2	788	6.9	0	0	78	0.7	107	0.9	"2,242"	55	2	3
More than one out-of-school suspension total	"11,434"	100	205	1.8	87	0.8	"1,231"	10.8	"6,625"	57.9	"3,063"	26.8	DS	0	221	1.9	479	4.2	"2,242"	55	2	3
One or more out-of-school suspensions on males	"19,743"	63.7	380	1.2	297	1	"2,475"	8	"8,089"	26.1	"8,108"	26.2	10	0	384	1.2	"1,116"	3.6	"2,242"	55	2	3
One or more out-of-school suspensions on females	"11,233"	36.3	242	0.8	73	0.2	"1,226"	4	"6,317"	20.4	"3,145"	10.2	4	0	226	0.7	406	1.3	"2,242"	55	2	3
One or more out-of-school suspensions total	"30,976"	100	622	2	370	1.2	"3,701"	11.9	"14,406"	46.5	"11,253"	36.3	14	0	610	2	"1,522"	4.9	"2,242"	55	2	3
Expulsions with educational services on males	426	67.9	9	1.4	DS	0.3	43	6.9	42	6.7	321	51.2	0	0	9	1.4	20	3.2	"2,242"	55	2	3
Expulsions with educational services on females	201	32.1	5	0.8	DS	0.3	14	2.2	19	3	155	24.7	0	0	6	1	DS	0.3	"2,242"	55	2	3
Expulsions with educational services total	627	100	14	2.2	4	0.6	57	9.1	61	9.7	476	75.9	0	0	15	2.4	22	3.5	"2,242"	55	2	3
Expulsions without educational services on males	628	69.5	10	1.1	8	0.9	63	7	169	18.7	369	40.9	DS	0.2	7	0.8	24	2.7	"2,242"	55	2	3
Expulsions without educational services on females	275	30.5	8	0.9	DS	0.2	19	2.1	81	9	160	17.7	0	0	5	0.6	7	0.8	"2,242"	55	2	3
Expulsions without educational services total	903	100	18	2	10	1.1	82	9.1	250	27.7	529	58.6	DS	0.2	12	1.3	31	3.4	"2,242"	55	2	3
Expulsions with or without educational services on males	"1,054"	68.8	19	1.2	11	0.7	107	7	210	13.7	689	45	DS	0.1	16	1	44	2.9	"2,242"	55	2	3
