Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"19,388"	43.9	84	0.2	906	2.1	929	2.1	604	1.4	"16,636"	37.7	10	0	219	0.5	409	0.9	157	0.4	392	55	2	3
At least one AP course females	"24,777"	56.1	128	0.3	"1,074"	2.4	"1,156"	2.6	967	2.2	"21,178"	48	16	0	258	0.6	216	0.5	180	0.4	392	55	2	3
At least one AP course total	"44,165"	100	212	0.5	"1,980"	4.5	"2,085"	4.7	"1,571"	3.6	"37,814"	85.6	26	0.1	477	1.1	625	1.4	337	0.8	392	55	2	3
AP mathematics males	"5,867"	50.8	18	0.2	295	2.6	162	1.4	80	0.7	"5,244"	45.4	DS	0	66	0.6	63	0.5	19	0.2	392	55	2	3
AP mathematics females	"5,691"	49.2	22	0.2	287	2.5	163	1.4	108	0.9	"5,050"	43.7	4	0	57	0.5	21	0.2	21	0.2	392	55	2	3
AP mathematics total	"11,558"	100	40	0.3	582	5	325	2.8	188	1.6	"10,294"	89.1	6	0.1	123	1.1	84	0.7	40	0.3	392	55	2	3
AP science males	"5,045"	47.6	18	0.2	337	3.2	184	1.7	143	1.3	"4,315"	40.7	DS	0	46	0.4	80	0.8	13	0.1	392	55	2	3
AP science females	"5,559"	52.4	22	0.2	336	3.2	206	1.9	212	2	"4,717"	44.5	DS	0	64	0.6	24	0.2	32	0.3	392	55	2	3
AP science total	"10,604"	100	40	0.4	673	6.3	390	3.7	355	3.3	"9,032"	85.2	4	0	110	1	104	1	45	0.4	392	55	2	3
AP foreign language males	991	37	4	0.1	62	2.3	150	5.6	31	1.2	728	27.2	DS	0.1	14	0.5	13	0.5	20	0.7	392	55	2	3
AP foreign language females	"1,685"	63	6	0.2	72	2.7	202	7.5	52	1.9	"1,334"	49.9	0	0	19	0.7	6	0.2	30	1.1	392	55	2	3
AP foreign language total	"2,676"	100	10	0.4	134	5	352	13.2	83	3.1	"2,062"	77.1	DS	0.1	33	1.2	19	0.7	50	1.9	392	55	2	3
Other AP subjects males	"13,618"	41.6	54	0.2	669	2	625	1.9	475	1.5	"11,636"	35.5	6	0	153	0.5	295	0.9	103	0.3	392	55	2	3
Other AP subjects females	"19,132"	58.4	93	0.3	818	2.5	874	2.7	801	2.4	"16,334"	49.9	13	0	199	0.6	183	0.6	96	0.3	392	55	2	3
Other AP subjects total	"32,750"	100	147	0.4	"1,487"	4.5	"1,499"	4.6	"1,276"	3.9	"27,970"	85.4	19	0.1	352	1.1	478	1.5	199	0.6	392	55	2	3
