Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians ,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,452,65.6,6,0.9,12,1.7,65,9.4,66,9.6,290,42.1,DS,0.3,11,1.6,169,24.5,DS,0.3,42,6.1,"1,126",55,2,3
Kindergarten females,237,34.4,DS,0.3,10,1.5,41,6,62,9,116,16.8,DS,0.3,4,0.6,68,9.9,0,0,27,3.9,"1,126",55,2,3
Kindergarten total,689,100,8,1.2,22,3.2,106,15.4,128,18.6,406,58.9,4,0.6,15,2.2,237,34.4,DS,0.3,69,10,"1,126",55,2,3
1st grade males,222,58.4,8,2.1,8,2.1,54,14.2,80,21.1,70,18.4,0,0,DS,0.5,71,18.7,0,0,35,9.2,"1,129",55,2,3
1st grade females,158,41.6,DS,0.5,DS,0.5,26,6.8,64,16.8,62,16.3,0,0,DS,0.5,47,12.4,DS,0.5,16,4.2,"1,129",55,2,3
1st grade total,380,100,10,2.6,10,2.6,80,21.1,144,37.9,132,34.7,0,0,4,1.1,118,31.1,DS,0.5,51,13.4,"1,129",55,2,3
2nd grade males,98,53.8,4,2.2,7,3.8,16,8.8,41,22.5,28,15.4,0,0,DS,1.1,22,12.1,0,0,15,8.2,"1,133",55,2,3
2nd grade females,84,46.2,0,0,DS,1.1,26,14.3,35,19.2,21,11.5,0,0,0,0,19,10.4,0,0,14,7.7,"1,133",55,2,3
2nd grade total,182,100,4,2.2,9,4.9,42,23.1,76,41.8,49,26.9,0,0,DS,1.1,41,22.5,0,0,29,15.9,"1,133",55,2,3
3rd grade males,82,53.9,DS,1.3,0,0,13,8.6,46,30.3,19,12.5,0,0,DS,1.3,20,13.2,0,0,4,2.6,"1,130",55,2,3
3rd grade females,70,46.1,0,0,DS,1.3,16,10.5,41,27,9,5.9,0,0,DS,1.3,13,8.6,0,0,11,7.2,"1,130",55,2,3
3rd grade total,152,100,DS,1.3,DS,1.3,29,19.1,87,57.2,28,18.4,0,0,4,2.6,33,21.7,0,0,15,9.9,"1,130",55,2,3
4th grade males,60,42.3,DS,1.4,DS,1.4,14,9.9,32,22.5,10,7,0,0,0,0,18,12.7,0,0,13,9.2,"1,118",55,2,3
4th grade females,82,57.7,0,0,DS,1.4,14,9.9,45,31.7,19,13.4,0,0,DS,1.4,12,8.5,0,0,9,6.3,"1,118",55,2,3
4th grade total,142,100,DS,1.4,4,2.8,28,19.7,77,54.2,29,20.4,0,0,DS,1.4,30,21.1,0,0,22,15.5,"1,118",55,2,3
5th grade males,36,59,0,0,0,0,7,11.5,16,26.2,13,21.3,0,0,0,0,11,18,DS,3.3,DS,3.3,"1,072",55,2,3
5th grade females,25,41,0,0,0,0,DS,3.3,17,27.9,6,9.8,0,0,0,0,8,13.1,0,0,DS,3.3,"1,072",55,2,3
