,"Number and percentage of public school students with and without disabilities subjected to restraint or seclusion, by race/ethnicity, whether with disabilities served under IDEA or Section 504, and English proficiency, by gender and whether restrained or secluded, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Restraint or Seclusion,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
students subjected to,West Virginia,,Male,19 ,90.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,9.5 ,15 ,71.4 ,0 ,0.0 ,1-3 ,9.5 ,10 ,47.6 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,Mechanical restraint,Female,1-3 ,9.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,9.5 ,0 ,0.0 ,0 ,0.0 ,1-3 ,9.5 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,,Total,21 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,9.5 ,17 ,81.0 ,0 ,0.0 ,1-3 ,9.5 ,12 ,57.1 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,,Male,317 ,78.9 ,0 ,0.0 ,0 ,0.0 ,4 ,1.0 ,31 ,7.7 ,274 ,68.2 ,0 ,0.0 ,8 ,2.0 ,215 ,53.5 ,1-3 ,0.5 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,Physical restraint,Female,85 ,21.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,7 ,1.7 ,78 ,19.4 ,0 ,0.0 ,0 ,0.0 ,46 ,11.4 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,,Total,402 ,100.0 ,0 ,0.0 ,0 ,0.0 ,4 ,1.0 ,38 ,9.5 ,352 ,87.6 ,0 ,0.0 ,8 ,2.0 ,261 ,64.9 ,1-3 ,0.5 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,,Male,135 ,80.4 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.2 ,6 ,3.6 ,125 ,74.4 ,0 ,0.0 ,1-3 ,1.2 ,70 ,41.7 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,Seclusion,Female,33 ,19.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,4 ,2.4 ,29 ,17.3 ,0 ,0.0 ,0 ,0.0 ,18 ,10.7 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
students subjected to,West Virginia,,Total,168 ,100.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.2 ,10 ,6.0 ,154 ,91.7 ,0 ,0.0 ,1-3 ,1.2 ,88 ,52.4 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 21 public students subjected to mechanical restraint, 0 (0.0%) were American Indian or Alaska Native, 12 (57.1%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 0 (0.0%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
