,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students with and without disabilities receiving disciplinary actions by gender and race/ethnicity, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Discipline,Gender,Students With and Without Disabilities,,Students With Disabilities Served Only Under Section 504,,Students Without Disabilities and With Disabilities Served Under IDEA,,Race/Ethnicity of Students Without Disabilities and Those With Disabilities Served Under IDEA1,,,,,,,,,,,,,,English Language Learners With and Without Disabilities,,Number of Schoolsa,Percent of Schools Reporting 
,,,,,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,
,,,,Number,Percent2,Number,Percent2,Number,Percent2,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent2,,
Disciplinary Actions,Wyoming,,Male,12 ,75.0 ,0 ,0.0 ,12 ,75.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,12.5 ,0 ,0.0 ,8 ,50.0 ,0 ,0.0 ,1-3 ,12.5 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,Corporal punishment,Female,4 ,25.0 ,0 ,0.0 ,4 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,4 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,16 ,100.0 ,0 ,0.0 ,16 ,100.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,12.5 ,0 ,0.0 ,12 ,75.0 ,0 ,0.0 ,1-3 ,12.5 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,"3,704 ",73.0 ,7 ,0.1 ,"3,697 ",72.8 ,222 ,4.4 ,19 ,0.4 ,542 ,10.7 ,118 ,2.3 ,"2,728 ",53.8 ,4 ,0.1 ,64 ,1.3 ,87 ,1.7 ,349 ,100.0 
Disciplinary Actions,Wyoming,One or more in-school suspensions,Female,"1,373 ",27.0 ,1-3 ,0.0 ,"1,371 ",27.0 ,136 ,2.7 ,6 ,0.1 ,239 ,4.7 ,39 ,0.8 ,916 ,18.1 ,0 ,0.0 ,35 ,0.7 ,41 ,0.8 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,"5,077 ",100.0 ,9 ,0.2 ,"5,068 ",99.8 ,358 ,7.1 ,25 ,0.5 ,781 ,15.4 ,157 ,3.1 ,"3,644 ",71.9 ,4 ,0.1 ,99 ,2.0 ,128 ,2.5 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,"1,638 ",72.8 ,0 ,0.0 ,"1,638 ",72.8 ,85 ,3.8 ,8 ,0.4 ,239 ,10.6 ,54 ,2.4 ,"1,224 ",54.4 ,1-3 ,0.1 ,26 ,1.2 ,30 ,1.3 ,349 ,100.0 
Disciplinary Actions,Wyoming,Only one out-of-school suspension,Female,611 ,27.2 ,0 ,0.0 ,611 ,27.2 ,42 ,1.9 ,1-3 ,0.1 ,108 ,4.8 ,19 ,0.8 ,422 ,18.8 ,0 ,0.0 ,18 ,0.8 ,11 ,0.5 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,"2,249 ",100.0 ,0 ,0.0 ,"2,249 ",100.0 ,127 ,5.6 ,10 ,0.4 ,347 ,15.4 ,73 ,3.2 ,"1,646 ",73.2 ,1-3 ,0.1 ,44 ,2.0 ,41 ,1.8 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,907 ,77.6 ,0 ,0.0 ,907 ,77.6 ,69 ,5.9 ,1-3 ,0.2 ,138 ,11.8 ,25 ,2.1 ,656 ,56.1 ,0 ,0.0 ,17 ,1.5 ,20 ,1.7 ,349 ,100.0 
Disciplinary Actions,Wyoming,More than one out-of-school suspension,Female,262 ,22.4 ,0 ,0.0 ,262 ,22.4 ,25 ,2.1 ,1-3 ,0.2 ,46 ,3.9 ,12 ,1.0 ,171 ,14.6 ,1-3 ,0.2 ,4 ,0.3 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,"1,169 ",100.0 ,0 ,0.0 ,"1,169 ",100.0 ,94 ,8.0 ,4 ,0.3 ,184 ,15.7 ,37 ,3.2 ,827 ,70.7 ,1-3 ,0.2 ,21 ,1.8 ,20 ,1.7 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,"2,546 ",74.5 ,0 ,0.0 ,"2,546 ",74.5 ,157 ,4.6 ,8 ,0.2 ,376 ,11.0 ,79 ,2.3 ,"1,880 ",55.0 ,1-3 ,0.1 ,44 ,1.3 ,51 ,1.5 ,349 ,100.0 
Disciplinary Actions,Wyoming,One or more out-of-school suspensions,Female,870 ,25.5 ,0 ,0.0 ,870 ,25.5 ,67 ,2.0 ,1-3 ,0.1 ,155 ,4.5 ,32 ,0.9 ,591 ,17.3 ,1-3 ,0.1 ,21 ,0.6 ,11 ,0.3 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,"3,416 ",100.0 ,0 ,0.0 ,"3,416 ",100.0 ,224 ,6.6 ,10 ,0.3 ,531 ,15.5 ,111 ,3.2 ,"2,471 ",72.3 ,4 ,0.1 ,65 ,1.9 ,62 ,1.8 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,120 ,80.5 ,0 ,0.0 ,120 ,80.5 ,6 ,4.0 ,0 ,0.0 ,27 ,18.1 ,4 ,2.7 ,83 ,55.7 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.3 ,349 ,100.0 
Disciplinary Actions,Wyoming,Expulsions with educational services,Female,29 ,19.5 ,0 ,0.0 ,29 ,19.5 ,4 ,2.7 ,0 ,0.0 ,6 ,4.0 ,1-3 ,1.3 ,15 ,10.1 ,0 ,0.0 ,1-3 ,1.3 ,1-3 ,1.3 ,349 ,100.0 
