County,200 Live Births,2000 Infant Deaths,2000 Rate,2011 Live Births,2011 Infant Deaths,2011 Rate,2000-2011 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,0,0,81,0,0,0.00%,19_001,19,2,4,,
Adams,35,0,0,39,0,0,0.00%,19_002,19,2,4,,
Allamakee,158,0,0,164,0,0,0.00%,19_003,19,2,4,,
Appanoose,142,0,0,167,C,N/A,N/A,19_004,19,2,4,,
Audubon,47,C,N/A,58,C,N/A,N/A,19_005,19,2,4,,
Benton,325,C,N/A,267,C,N/A,N/A,19_006,19,2,4,,
Black Hawk,"1,551",11,7.1,"1,632",9,5.5,-22.20%,19_007,19,2,4,,
Boone,317,4,12.6,323,C,N/A,N/A,19_008,19,2,4,,
Bremer,250,C,N/A,252,C,N/A,N/A,19_009,19,2,4,,
Buchanan,301,0,0,294,C,N/A,N/A,19_010,19,2,4,,
Buena Vista,233,0,0,301,4,13.3,N/A,19_011,19,2,4,,
Butler,170,C,N/A,167,0,0,-100.00%,19_012,19,2,4,,
Calhoun,107,0,0,100,0,0,0.00%,19_013,19,2,4,,
Carroll,262,0,0,277,C,N/A,N/A,19_014,19,2,4,,
Cass,158,C,N/A,148,0,0,-100.00%,19_015,19,2,4,,
Cedar,206,0,0,190,0,0,0.00%,19_016,19,2,4,,
Cerro Gordo,530,4,7.5,479,0,0,-100.00%,19_017,19,2,4,,
Cherokee,146,0,0,135,0,0,0.00%,19_018,19,2,4,,
Chickasaw,169,0,0,152,0,0,0.00%,19_019,19,2,4,,
Clarke,97,C,N/A,130,C,N/A,N/A,19_020,19,2,4,,
Clay,204,C,N/A,194,C,N/A,N/A,19_021,19,2,4,,
Clayton,194,C,N/A,189,C,N/A,N/A,19_022,19,2,4,,
Clinton,591,4,6.8,575,C,N/A,N/A,19_023,19,2,4,,
Crawford,189,C,N/A,257,0,0,-100.00%,19_024,19,2,4,,
Dallas,566,4,7.1,"1,065",C,N/A,N/A,19_025,19,2,4,,
Davis,129,C,N/A,134,C,N/A,N/A,19_026,19,2,4,,
Decatur,101,C,N/A,85,0,0,-100.00%,19_027,19,2,4,,
Delaware,227,C,N/A,187,C,N/A,N/A,19_028,19,2,4,,
Des Moines,555,4,7.2,476,6,12.6,74.90%,19_029,19,2,4,,
Dickinson,159,0,0,172,C,N/A,N/A,19_030,19,2,4,,
Dubuque,"1,221",9,7.4,"1,135",6,5.3,-28.30%,19_031,19,2,4,,
Emmet,126,C,N/A,102,0,0,-100.00%,19_032,19,2,4,,
Fayette,233,0,0,233,C,N/A,N/A,19_033,19,2,4,,
Floyd,199,0,0,216,C,N/A,N/A,19_034,19,2,4,,
Franklin,113,C,N/A,114,0,0,-100.00%,19_035,19,2,4,,
Fremont,82,C,N/A,66,0,0,-100.00%,19_036,19,2,4,,
Greene,92,C,N/A,85,0,0,-100.00%,19_037,19,2,4,,
Grundy,133,C,N/A,141,0,0,-100.00%,19_038,19,2,4,,
Guthrie,134,0,0,109,C,N/A,N/A,19_039,19,2,4,,
Hamilton,192,C,N/A,174,C,N/A,N/A,19_040,19,2,4,,
