County,2003 Students Tested,2003 Proficient,2003 Percentage,2011 Students Tested,2011 Proficient,2011 Percentage,2003-2011 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,66,48,72.70%,72,62,86.10%,18.40%,19_001,19,2,4,,
Adams,39,33,84.60%,27,20,74.10%,-12.50%,19_002,19,2,4,,
Allamakee,187,145,77.50%,117,95,81.20%,4.70%,19_003,19,2,4,,
Appanoose,146,116,79.50%,121,97,80.20%,0.90%,19_004,19,2,4,,
Audubon,68,59,86.80%,36,31,86.10%,-0.80%,19_005,19,2,4,,
Benton,299,221,73.90%,237,213,89.90%,21.60%,19_006,19,2,4,,
Black Hawk,"1,173",784,66.80%,"1,162",860,74.00%,10.70%,19_007,19,2,4,,
Boone,267,216,80.90%,236,210,89.00%,10.00%,19_008,19,2,4,,
Bremer,334,279,83.50%,343,295,86.00%,3.00%,19_009,19,2,4,,
Buchanan,181,145,80.10%,200,172,86.00%,7.40%,19_010,19,2,4,,
Buena Vista,262,188,71.80%,238,177,74.40%,3.60%,19_011,19,2,4,,
Butler,112,94,83.90%,112,91,81.30%,-3.20%,19_012,19,2,4,,
Calhoun,141,122,86.50%,116,98,84.50%,-2.40%,19_013,19,2,4,,
Carroll,214,174,81.30%,173,158,91.30%,12.30%,19_014,19,2,4,,
Cass,217,165,76.00%,173,139,80.30%,5.70%,19_015,19,2,4,,
Cedar,233,197,84.50%,223,188,84.30%,-0.30%,19_016,19,2,4,,
Cerro Gordo,462,346,74.90%,419,341,81.40%,8.70%,19_017,19,2,4,,
Cherokee,118,90,76.30%,99,91,91.90%,20.50%,19_018,19,2,4,,
Chickasaw,144,122,84.70%,147,127,86.40%,2.00%,19_019,19,2,4,,
Clarke,123,99,80.50%,110,99,90.00%,11.80%,19_020,19,2,4,,
Clay,162,139,85.80%,130,108,83.10%,-3.20%,19_021,19,2,4,,
Clayton,153,106,69.30%,125,107,85.60%,23.60%,19_022,19,2,4,,
Clinton,592,461,77.90%,535,456,85.20%,9.50%,19_023,19,2,4,,
Crawford,186,142,76.30%,188,152,80.90%,5.90%,19_024,19,2,4,,
Dallas,636,522,82.10%,974,867,89.00%,8.50%,19_025,19,2,4,,
Davis,71,54,76.10%,89,76,85.40%,12.30%,19_026,19,2,4,,
Decatur,80,59,73.80%,60,51,85.00%,15.30%,19_027,19,2,4,,
Delaware,190,155,81.60%,182,155,85.20%,4.40%,19_028,19,2,4,,
Des Moines,460,285,62.00%,422,337,79.90%,28.90%,19_029,19,2,4,,
Dickinson,170,148,87.10%,167,159,95.20%,9.40%,19_030,19,2,4,,
Dubuque,768,554,72.10%,915,766,83.70%,16.10%,19_031,19,2,4,,
Emmet,112,77,68.80%,88,75,85.20%,24.00%,19_032,19,2,4,,
Fayette,312,236,75.60%,211,171,81.00%,7.10%,19_033,19,2,4,,
Floyd,173,137,79.20%,147,119,81.00%,2.20%,19_034,19,2,4,,
Franklin,118,83,70.30%,114,98,86.00%,22.20%,19_035,19,2,4,,
Fremont,109,73,67.00%,86,69,80.20%,19.80%,19_036,19,2,4,,
Greene,117,92,78.60%,92,70,76.10%,-3.20%,19_037,19,2,4,,
Grundy,190,164,86.30%,193,161,83.40%,-3.40%,19_038,19,2,4,,
Guthrie,170,141,82.90%,157,136,86.60%,4.40%,19_039,19,2,4,,
Hamilton,194,170,87.60%,174,141,81.00%,-7.50%,19_040,19,2,4,,
Hancock,135,108,80.00%,96,86,89.60%,12.00%,19_041,19,2,4,,
Hardin,215,169,78.60%,191,160,83.80%,6.60%,19_042,19,2,4,,
Harrison,224,170,75.90%,190,166,87.40%,15.10%,19_043,19,2,4,,
Henry,263,204,77.60%,241,194,80.50%,3.80%,19_044,19,2,4,,
Howard,118,94,79.70%,91,73,80.20%,0.70%,19_045,19,2,4,,
Humboldt,112,94,83.90%,92,80,87.00%,3.60%,19_046,19,2,4,,
Ida,87,67,77.00%,70,59,84.30%,9.40%,19_047,19,2,4,,
Iowa,220,171,77.70%,169,149,88.20%,13.40%,19_048,19,2,4,,
Jackson,215,178,82.80%,213,184,86.40%,4.30%,19_049,19,2,4,,
Jasper,393,304,77.40%,408,344,84.30%,9.00%,19_050,19,2,4,,
Jefferson,184,157,85.30%,111,94,84.70%,-0.80%,19_051,19,2,4,,
Johnson,903,730,80.80%,"1,092",855,78.30%,-3.10%,19_052,19,2,4,,
Jones,203,169,83.30%,184,158,85.90%,3.10%,19_053,19,2,4,,
Keokuk,111,88,79.30%,110,99,90.00%,13.50%,19_054,19,2,4,,
Kossuth,139,112,80.60%,126,96,76.20%,-5.40%,19_055,19,2,4,,
Lee,422,303,71.80%,334,285,85.30%,18.80%,19_056,19,2,4,,
Linn,"2,322","1,692",72.90%,"2,380","1,977",83.10%,14.00%,19_057,19,2,4,,
Louisa,209,155,74.20%,172,129,75.00%,1.10%,19_058,19,2,4,,
Lucas,98,73,74.50%,93,90,96.80%,29.90%,19_059,19,2,4,,
Lyon,131,117,89.30%,134,120,89.60%,0.30%,19_119,19,2,4,,
Madison,213,166,77.90%,235,187,79.60%,2.10%,19_121,19,2,4,,
