County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2010 Live Births,2010 Teen Unmarried Births,2010 Percentage,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,6,8.80%,69,C,N/A,N/A,19_001,19,2,4,,
Adams,35,2,5.70%,48,C,N/A,N/A,19_002,19,2,4,,
Allamakee,158,13,8.20%,169,7,4.10%,-49.70%,19_003,19,2,4,,
Appanoose,142,11,7.70%,143,18,12.60%,62.50%,19_004,19,2,4,,
Audubon,47,7,14.90%,57,5,8.80%,-41.10%,19_005,19,2,4,,
Benton,325,21,6.50%,301,13,4.30%,-33.20%,19_006,19,2,4,,
Black Hawk,"1,551",175,11.30%,"1,688",157,9.30%,-17.60%,19_007,19,2,4,,
Boone,317,15,4.70%,284,14,4.90%,4.20%,19_008,19,2,4,,
Bremer,250,15,6.00%,209,8,3.80%,-36.20%,19_009,19,2,4,,
Buchanan,301,23,7.60%,290,19,6.60%,-14.30%,19_010,19,2,4,,
Buena Vista,233,29,12.40%,313,36,11.50%,-7.60%,19_011,19,2,4,,
Butler,170,10,5.90%,151,6,4.00%,-32.50%,19_012,19,2,4,,
Calhoun,107,6,5.60%,103,9,8.70%,55.80%,19_013,19,2,4,,
Carroll,262,12,4.60%,249,13,5.20%,14.00%,19_014,19,2,4,,
Cass,158,12,7.60%,163,20,12.30%,61.60%,19_015,19,2,4,,
Cedar,206,12,5.80%,183,10,5.50%,-6.20%,19_016,19,2,4,,
Cerro Gordo,530,50,9.40%,486,34,7.00%,-25.80%,19_017,19,2,4,,
Cherokee,146,13,8.90%,101,7,6.90%,-22.20%,19_018,19,2,4,,
Chickasaw,169,13,7.70%,142,5,3.50%,-54.20%,19_019,19,2,4,,
Clarke,97,14,14.40%,116,12,10.30%,-28.30%,19_020,19,2,4,,
Clay,204,17,8.30%,203,9,4.40%,-46.80%,19_021,19,2,4,,
Clayton,194,15,7.70%,184,9,4.90%,-36.70%,19_022,19,2,4,,
Clinton,591,63,10.70%,641,79,12.30%,15.60%,19_023,19,2,4,,
Crawford,189,22,11.60%,258,23,8.90%,-23.40%,19_024,19,2,4,,
Dallas,566,27,4.80%,"1,029",24,2.30%,-51.10%,19_025,19,2,4,,
Davis,129,9,7.00%,142,4,2.80%,-59.60%,19_026,19,2,4,,
Decatur,101,8,7.90%,94,4,4.30%,-46.30%,19_027,19,2,4,,
