,2000,2000,,2012,2012,,
,Age 1-14,,,Age 1-14,,,2000-2012
County,Population,Deaths,Rate,Population,Deaths,Rate,Change
Adair,"1,486",0,0,"1,257",*,NA,NA
Adams,831,*,NA,604,0,0,NA
Allamakee,"2,857",0,0,"2,473",0,0,0.00%
Appanoose,"2,496",0,0,"2,173",0,0,0.00%
Audubon,"1,354",*,NA,902,0,0,NA
Benton,"5,423",*,NA,"4,950",0,0,NA
Black Hawk,"22,716",5,22,"21,791",5,23,4.20%
Boone,"4,969",*,NA,"4,553",*,NA,NA
Bremer,"4,240",0,0,"4,111",0,0,0.00%
Buchanan,"4,562",0,0,"4,409",0,0,0.00%
Buena Vista,"3,985",*,NA,"3,978",0,0,NA
Butler,"2,820",*,NA,"2,791",0,0,NA
Calhoun,"1,920",0,0,"1,511",*,NA,NA
Carroll,"4,348",0,0,"3,854",*,NA,NA
Cass,"2,631",*,NA,"2,423",*,NA,NA
Cedar,"3,491",0,0,"3,385",*,NA,NA
Cerro Gordo,"8,458",*,NA,"7,129",*,NA,NA
Cherokee,"2,398",0,0,"1,915",*,NA,NA
Chickasaw,"2,591",0,0,"2,192",0,0,0.00%
Clarke,"1,819",0,0,"1,828",0,0,0.00%
Clay,"3,267",0,0,"2,933",*,NA,NA
Clayton,"3,602",*,NA,"3,085",0,0,NA
Clinton,"9,867",*,NA,"8,778",*,NA,NA
Crawford,"3,335",*,NA,"3,547",0,0,NA
Dallas,"8,913",*,NA,"16,498",*,NA,NA
Davis,"1,803",0,0,"1,952",0,0,0.00%
Decatur,"1,516",0,0,"1,411",0,0,0.00%
Delaware,"4,038",0,0,"3,240",0,0,0.00%
Des Moines,"7,893",*,NA,"7,275",*,NA,NA
Dickinson,"2,733",*,NA,"2,551",*,NA,NA
Dubuque,"17,518",6,34,"17,153",4,23,-31.90%
Emmet,"1,938",*,NA,"1,738",0,0,NA
Fayette,"4,169",0,0,"3,557",0,0,0.00%
Floyd,"3,268",0,0,"2,861",*,NA,NA
Franklin,"1,922",0,0,"1,901",0,0,0.00%
Fremont,"1,551",0,0,"1,237",0,0,0.00%
Greene,"2,009",*,NA,"1,602",0,0,NA
Grundy,"2,379",0,0,"2,286",0,0,0.00%
Guthrie,"2,021",*,NA,"1,899",0,0,NA
Hamilton,"3,207",*,NA,"2,804",*,NA,NA
Hancock,"2,420",0,0,"1,949",0,0,0.00%
Hardin,"3,333",0,0,"2,958",0,0,0.00%
Harrison,"3,168",*,NA,"2,581",*,NA,NA
Henry,"3,830",*,NA,"3,496",0,0,NA
Howard,"1,988",0,0,"1,850",0,0,0.00%
Humboldt,"1,920",0,0,"1,741",*,NA,NA
Ida,"1,505",0,0,"1,308",0,0,0.00%
Iowa,"3,276",*,NA,"2,859",0,0,NA
Jackson,"4,044",*,NA,"3,427",*,NA,NA
Jasper,"7,059",4,57,"6,206",*,NA,NA
Jefferson,"2,977",*,NA,"2,250",0,0,NA
Johnson,"17,329",*,NA,"20,965",4,19,NA
Jones,"3,740",0,0,"3,422",0,0,0.00%
Keokuk,"2,237",0,0,"1,835",0,0,0.00%
,Age 1-14,,,Age 1-14,,2000-2012,
County,Population,Deaths,Rate,Population Deaths,Rate,Change,
Kossuth,"3,288",*,NA,"2,604 *",NA,NA,
Lee,"7,094",*,NA,"5,900 *",NA,NA,
Linn,"37,856",9,24,"40,600 9",22,-6.80%,
Louisa,"2,633",0,0,"2,084 0",0,0.00%,
Lucas,"1,880",0,0,"1,573 0",0,0.00%,
Lyon,"2,511",0,0,"2,561 *",NA,NA,
Madison,"2,937",0,0,"3,243 0",0,0.00%,
Mahaska,"4,381",*,NA,"4,190 *",NA,NA,
Marion,"6,248",*,NA,"6,344 0",0,NA,
Marshall,"7,591",*,NA,"7,998 6",75,NA,
Mills,"3,015",*,NA,"2,773 0",0,NA,
Mitchell,"2,231",0,0,"1,980 0",0,0.00%,
Monona,"1,754",0,0,"1,495 *",NA,NA,
Monroe,"1,557",0,0,"1,483 0",0,0.00%,
Montgomery,"2,267",0,0,"1,843 0",0,0.00%,
Muscatine,"8,665",0,0,"8,663 0",0,0.00%,
O'Brien,"2,815",*,NA,"2,546 *",NA,NA,
Osceola,"1,404",*,NA,"1,058 *",NA,NA,
Page,"2,902",0,0,"2,522 0",0,0.00%,
Palo Alto,"1,807",0,0,"1,636 0",0,0.00%,
Plymouth,"5,303",*,NA,"4,817 *",NA,NA,
