,2000,2000,,2012,2012,,
,Live,Infant,,Live,Infant,,2000-2012
County,Births,Deaths,Rate,Births,Deaths,Rate,Change
Adair,68,0,0,68,0,0,0.00%
Adams,35,0,0,50,0,0,0.00%
Allamakee,158,0,0,179,*,NA,NA
Appanoose,142,0,0,159,*,NA,NA
Audubon,47,*,NA,50,0,0,NA
Benton,325,*,NA,256,0,0,NA
Black Hawk,"1,551",11,7.1,"1,729",12,6.9,-2.10%
Boone,317,4,12.6,317,*,NA,NA
Bremer,250,*,NA,263,*,NA,NA
Buchanan,301,0,0,267,*,NA,NA
Buena Vista,233,0,0,339,*,NA,NA
Butler,170,*,NA,168,0,0,NA
Calhoun,107,0,0,124,*,NA,NA
Carroll,262,0,0,256,*,NA,NA
Cass,158,*,NA,152,0,0,NA
Cedar,206,0,0,178,*,NA,NA
Cerro Gordo,530,4,7.5,450,*,NA,NA
Cherokee,146,0,0,140,*,NA,NA
Chickasaw,169,0,0,153,0,0,0.00%
Clarke,97,*,NA,126,*,NA,NA
Clay,204,*,NA,193,*,NA,NA
Clayton,194,*,NA,212,0,0,NA
Clinton,591,4,6.8,568,*,NA,NA
Crawford,189,*,NA,229,0,0,NA
Dallas,566,4,7.1,"1,165",7,6,-15.00%
Davis,129,*,NA,133,*,NA,NA
Decatur,101,*,NA,82,0,0,NA
Delaware,227,*,NA,189,0,0,NA
Des Moines,555,4,7.2,470,5,10.6,47.60%
Dickinson,159,0,0,161,*,NA,NA
Dubuque,"1,221",9,7.4,"1,176",4,3.4,-53.90%
Emmet,126,*,NA,115,*,NA,NA
Fayette,233,0,0,219,*,NA,NA
Floyd,199,0,0,168,*,NA,NA
Franklin,113,*,NA,108,0,0,NA
Fremont,82,*,NA,81,*,NA,NA
Greene,92,*,NA,97,0,0,NA
Grundy,133,*,NA,124,0,0,NA
Guthrie,134,0,0,104,*,NA,NA
Hamilton,192,*,NA,143,0,0,NA
Hancock,131,*,NA,113,0,0,NA
Hardin,208,*,NA,179,*,NA,NA
Harrison,193,0,0,138,*,NA,NA
Henry,264,*,NA,224,*,NA,NA
Howard,110,*,NA,130,0,0,NA
Humboldt,99,0,0,101,*,NA,NA
Ida,70,*,NA,93,*,NA,NA
Iowa,183,*,NA,197,0,0,NA
Jackson,239,*,NA,207,*,NA,NA
Jasper,458,*,NA,441,*,NA,NA
Jefferson,145,0,0,140,*,NA,NA
Johnson,"1,382",7,5.1,"1,830",5,2.7,-46.10%
Jones,227,0,0,209,0,0,0.00%
Keokuk,154,0,0,128,0,0,0.00%
,Live,Infant,,Live Infant,,2000-2012,
County,Births,Deaths,Rate,Births Deaths,Rate,Change,
Kossuth,166,*,NA,151 *,NA,NA,
Lee,410,4,9.8,431 *,NA,NA,
Linn,"2,715",12,4.4,"2,722 12",4.4,-0.30%,
Louisa,164,*,NA,137 0,0,NA,
Lucas,119,*,NA,82 0,0,NA,
Lyon,159,*,NA,169 0,0,NA,
Madison,196,*,NA,166 *,NA,NA,
Mahaska,283,9,31.8,267 *,NA,NA,
Marion,383,*,NA,368 *,NA,NA,
Marshall,556,*,NA,583 *,NA,NA,
Mills,155,0,0,179 *,NA,NA,
Mitchell,131,*,NA,106 0,0,NA,
Monona,98,0,0,95 *,NA,NA,
Monroe,102,*,NA,82 0,0,NA,
Montgomery,139,*,NA,114 0,0,NA,
Muscatine,638,*,NA,557 0,0,NA,
O'Brien,187,*,NA,153 *,NA,NA,
Osceola,73,0,0,80 *,NA,NA,
Page,169,0,0,183 *,NA,NA,
Palo Alto,110,*,NA,88 0,0,NA,
Plymouth,309,7,22.7,293 0,0,-100.00%,
Pocahontas,73,0,0,69 *,NA,NA,
Polk,"6,216",46,7.4,"6,729 41",6.1,-17.70%,
Pottawattamie,"1,184",8,6.8,"1,180 10",8.5,25.40%,
Poweshiek,212,0,0,178 *,NA,NA,
Ringgold,69,0,0,56 0,0,0.00%,
Sac,135,0,0,101 4,39.6,NA,
Scott,"2,348",20,8.5,"2,200 14",6.4,-25.30%,
Shelby,150,*,NA,135 0,0,NA,
Sioux,457,*,NA,510 *,NA,NA,
Story,940,6,6.4,919 7,7.6,19.30%,
Tama,251,*,NA,219 *,NA,NA,
Taylor,87,0,0,77 0,0,0.00%,
Union,127,*,NA,130 *,NA,NA,
Van Buren,97,0,0,107 0,0,0.00%,
Wapello,424,*,NA,432 *,NA,NA,
Warren,513,*,NA,542 0,0,NA,
Washington,290,0,0,278 *,NA,NA,
Wayne,79,*,NA,92 *,NA,NA,
Webster,492,*,NA,449 4,8.9,NA,
Winnebago,134,0,0,105 *,NA,NA,
Winneshiek,191,*,NA,163 *,NA,NA,
Woodbury,"1,692",9,5.3,"1,504 7",4.7,-12.50%,
Worth,84,*,NA,86 *,NA,NA,
Wright,168,*,NA NA,128 0,0,,
State,"38,250",241,-15.9% 6.3,"38,686 205",5.3,,
Rural,"5,454",29,5.3,"5,130 26",5.1,-4.70%,
Small Urban,"13,547",84,6.2,"13,567 67",4.9,-20.40%,
Metropolitan,"19,249",128,-15.7% 6.6,"19,989 112",5.6,,
United States,"4,055,507","27,983",6.9,"3,953,590 23,910",6,-12.40%,
