,2000,2000,,2012,2012,,
,Live,Low,,Live,Low,,2000-2012
County,Births,Birthweight,Percentage,Births,Birthweight,Percentage,Change
Adair,68,*,NA,68,4,5.90%,NA
Adams,35,*,NA,50,4,8.00%,NA
Allamakee,158,7,4.40%,179,7,3.90%,-11.70%
Appanoose,142,8,5.60%,159,12,7.50%,34.00%
Audubon,47,*,NA,50,*,NA,NA
Benton,325,26,8.00%,256,13,5.10%,-36.50%
Black Hawk,"1,551",96,6.20%,"1,729",104,6.00%,-2.80%
Boone,317,14,4.40%,317,25,7.90%,78.60%
Bremer,250,13,5.20%,263,10,3.80%,-26.90%
Buchanan,301,16,5.30%,267,9,3.40%,-36.60%
Buena Vista,233,12,5.20%,339,27,8.00%,54.60%
Butler,170,9,5.30%,168,14,8.30%,57.40%
Calhoun,107,8,7.50%,124,4,3.20%,-56.90%
Carroll,262,11,4.20%,256,18,7.00%,67.50%
Cass,158,8,5.10%,152,9,5.90%,16.90%
Cedar,206,10,4.90%,178,7,3.90%,-19.00%
Cerro Gordo,530,29,5.50%,450,35,7.80%,42.10%
Cherokee,146,10,6.80%,140,7,5.00%,-27.00%
Chickasaw,169,11,6.50%,153,8,5.20%,-19.70%
Clarke,97,7,7.20%,126,11,8.70%,21.00%
Clay,204,11,5.40%,193,9,4.70%,-13.50%
Clayton,194,10,5.20%,212,13,6.10%,19.00%
Clinton,591,39,6.60%,568,47,8.30%,25.40%
Crawford,189,13,6.90%,229,10,4.40%,-36.50%
Dallas,566,34,6.00%,"1,165",84,7.20%,20.00%
Davis,129,9,7.00%,133,5,3.80%,-46.10%
Decatur,101,*,NA,82,*,NA,NA
Delaware,227,20,8.80%,189,*,NA,NA
Des Moines,555,44,7.90%,470,31,6.60%,-16.80%
Dickinson,159,10,6.30%,161,10,6.20%,-1.20%
Dubuque,"1,221",62,5.10%,"1,176",68,5.80%,13.90%
Emmet,126,8,6.30%,115,8,7.00%,9.60%
Fayette,233,13,5.60%,219,13,5.90%,6.40%
Floyd,199,8,4.00%,168,14,8.30%,107.30%
Franklin,113,9,8.00%,108,10,9.30%,16.30%
Fremont,82,7,8.50%,81,*,NA,NA
Greene,92,10,10.90%,97,9,9.30%,-14.60%
Grundy,133,8,6.00%,124,9,7.30%,20.70%
Guthrie,134,6,4.50%,104,8,7.70%,71.80%
Hamilton,192,7,3.60%,143,11,7.70%,111.00%
Hancock,131,10,7.60%,113,15,13.30%,73.90%
Hardin,208,20,9.60%,179,7,3.90%,-59.30%
Harrison,193,16,8.30%,138,12,8.70%,4.90%
Henry,264,14,5.30%,224,13,5.80%,9.40%
Howard,110,6,5.50%,130,10,7.70%,41.00%
Humboldt,99,6,6.10%,101,*,NA,NA
Ida,70,6,8.60%,93,11,11.80%,38.00%
Iowa,183,11,6.00%,197,16,8.10%,35.10%
Jackson,239,20,8.40%,207,14,6.80%,-19.20%
Jasper,458,27,5.90%,441,29,6.60%,11.50%
