,2007,2007,,2012,2012,,
,Prenatal,Prenatal,,Prenatal,Prenatal,,2007-2012
County,Care Births,Care,Percentage,Care Births,Care,Percentage,Change
Adair,92,69,75.00%,68,55,80.90%,7.80%
Adams,40,26,65.00%,49,39,79.60%,22.40%
Allamakee,205,84,41.00%,178,123,69.10%,68.60%
Appanoose,168,113,67.30%,156,131,84.00%,24.80%
Audubon,54,38,70.40%,50,43,86.00%,22.20%
Benton,289,223,77.20%,255,230,90.20%,16.90%
Black Hawk,"1,730","1,314",76.00%,"1,724","1,460",84.70%,11.50%
Boone,320,252,78.80%,315,274,87.00%,10.50%
Bremer,285,231,81.10%,263,241,91.60%,13.10%
Buchanan,314,202,64.30%,262,204,77.90%,21.00%
Buena Vista,289,182,63.00%,338,268,79.30%,25.90%
Butler,202,156,77.20%,168,145,86.30%,11.80%
Calhoun,108,80,74.10%,123,108,87.80%,18.50%
Carroll,275,215,78.20%,254,233,91.70%,17.30%
Cass,171,123,71.90%,150,134,89.30%,24.20%
Cedar,220,184,83.60%,178,154,86.50%,3.40%
Cerro Gordo,549,327,59.60%,449,304,67.70%,13.70%
Cherokee,137,106,77.40%,140,116,82.90%,7.10%
Chickasaw,153,85,55.60%,153,114,74.50%,34.10%
Clarke,141,92,65.20%,123,104,84.60%,29.60%
Clay,214,158,73.80%,192,163,84.90%,15.00%
Clayton,198,99,50.00%,207,166,80.20%,60.40%
Clinton,633,477,75.40%,565,475,84.10%,11.60%
Crawford,268,142,53.00%,227,152,67.00%,26.40%
Dallas,962,749,77.90%,"1,160","1,049",90.40%,16.10%
Davis,136,73,53.70%,131,79,60.30%,12.30%
Decatur,114,69,60.50%,79,59,74.70%,23.40%
Delaware,231,178,77.10%,188,161,85.60%,11.10%
Des Moines,558,425,76.20%,470,399,84.90%,11.50%
Dickinson,179,137,76.50%,160,136,85.00%,11.10%
Dubuque,"1,243",913,73.50%,"1,174",986,84.00%,14.30%
Emmet,127,73,57.50%,114,89,78.10%,35.80%
Fayette,232,155,66.80%,218,175,80.30%,20.20%
Floyd,213,113,53.10%,167,126,75.40%,42.20%
Franklin,173,94,54.30%,107,75,70.10%,29.00%
Fremont,108,76,70.40%,78,58,74.40%,5.70%
Greene,95,71,74.70%,97,84,86.60%,15.90%
Grundy,139,119,85.60%,123,108,87.80%,2.60%
Guthrie,122,88,72.10%,104,87,83.70%,16.00%
Hamilton,193,133,68.90%,142,112,78.90%,14.50%
Hancock,133,81,60.90%,112,83,74.10%,21.70%
Hardin,200,139,69.50%,178,143,80.30%,15.60%
Harrison,211,164,77.70%,134,109,81.30%,4.70%
Henry,251,178,70.90%,223,193,86.50%,22.00%
Howard,140,67,47.90%,126,97,77.00%,60.90%
Humboldt,106,68,64.20%,101,86,85.10%,32.70%
Ida,97,74,76.30%,93,80,86.00%,12.80%
Iowa,169,137,81.10%,197,172,87.30%,7.70%
Jackson,219,173,79.00%,207,174,84.10%,6.40%
Jasper,423,332,78.50%,441,393,89.10%,13.50%
Jefferson,155,111,71.60%,139,114,82.00%,14.50%
Johnson,"1,650","1,298",78.70%,"1,825","1,573",86.20%,9.60%
Jones,242,162,66.90%,207,174,84.10%,25.60%
Keokuk,124,104,83.90%,128,107,83.60%,-0.30%
,Prenatal,Prenatal,,Prenatal Prenatal,,2007-2012,
County,Care Births,Care,Percentage,Care Births Care,Percentage,Change,
Kossuth,187,116,62.00%,150 133,88.70%,42.90%,
Lee,419,306,73.00%,431 356,82.60%,13.10%,
Linn,"2,844","2,067",72.70%,"2,698 2,369",87.80%,20.80%,
Louisa,157,106,67.50%,137 111,81.00%,20.00%,
Lucas,131,89,67.90%,82 61,74.40%,9.50%,
Lyon,167,115,68.90%,161 134,83.20%,20.90%,
Madison,192,146,76.00%,166 140,84.30%,10.90%,
Mahaska,295,238,80.70%,267 236,88.40%,9.60%,
Marion,451,365,80.90%,368 336,91.30%,12.80%,
Marshall,606,412,68.00%,581 445,76.60%,12.70%,
Mills,188,139,73.90%,179 152,84.90%,14.90%,
Mitchell,108,50,46.30%,104 70,67.30%,45.40%,
Monona,99,74,74.70%,92 81,88.00%,17.80%,
Monroe,93,76,81.70%,81 69,85.20%,4.20%,
Montgomery,138,97,70.30%,103 93,90.30%,28.50%,
Muscatine,628,464,73.90%,554 478,86.30%,16.80%,
O'Brien,176,128,72.70%,153 128,83.70%,15.00%,
Osceola,66,35,53.00%,80 68,85.00%,60.30%,
Page,177,116,65.50%,171 145,84.80%,29.40%,
Palo Alto,118,90,76.30%,86 71,82.60%,8.20%,
Plymouth,336,283,84.20%,292 270,92.50%,9.80%,
Pocahontas,74,53,71.60%,69 59,85.50%,19.40%,
Polk,"6,915","4,798",69.40%,"6,698 5,718",85.40%,23.00%,
Pottawattamie,"1,233",864,70.10%,"1,159 913",78.80%,12.40%,
Poweshiek,213,150,70.40%,178 153,86.00%,22.10%,
Ringgold,60,31,51.70%,52 45,86.50%,67.50%,
Sac,113,75,66.40%,101 84,83.20%,25.30%,
Scott,"2,343","1,570",67.00%,"2,185 1,803",82.50%,23.10%,
Shelby,131,102,77.90%,135 116,85.90%,10.40%,
Sioux,501,341,68.10%,498 426,85.50%,25.70%,
Story,"1,042",776,74.50%,915 778,85.00%,14.20%,
Tama,211,150,71.10%,218 180,82.60%,16.10%,
Taylor,64,35,54.70%,72 59,81.90%,49.80%,
Union,165,112,67.90%,128 96,75.00%,10.50%,
Van Buren,106,55,51.90%,106 69,65.10%,25.50%,
Wapello,513,376,73.30%,430 372,86.50%,18.00%,
Warren,527,424,80.50%,540 470,87.00%,8.20%,
Washington,258,189,73.30%,277 230,83.00%,13.30%,
Wayne,92,64,69.60%,91 70,76.90%,10.60%,
Webster,495,317,64.00%,443 378,85.30%,33.20%,
Winnebago,99,46,46.50%,104 76,73.10%,57.30%,
Winneshiek,232,128,55.20%,163 134,82.20%,49.00%,
Woodbury,"1,622","1,238",76.30%,"1,500 1,242",82.80%,8.50%,
Worth,73,26,35.60%,85 62,72.90%,104.80%,
Wright,177,113,14.7% 63.8%,127 93,73.20%,,
State,"40,835","29,077",18.0% 71.2%,"38,420 32,289",84.00%,,
Rural,"5,643","3,746",66.40%,"5,068 4,061",80.10%,20.70%,
