,2000,2000,,2012,2012,,
,,Teen,,,Teen,,
,Live,Unmarried,,Live,Unmarried,,2000-2012
County,Births,Births,Percentage,Births,Births,Percentage,Change
Adair,68,6,8.80%,68,*,NA,NA
Adams,35,*,NA,50,*,NA,NA
Allamakee,158,13,8.20%,179,15,8.40%,1.80%
Appanoose,142,11,7.70%,159,15,9.40%,21.80%
Audubon,47,7,14.90%,50,4,8.00%,-46.30%
Benton,325,21,6.50%,256,8,3.10%,-51.60%
Black Hawk,"1,551",175,11.30%,"1,729",99,5.70%,-49.30%
Boone,317,15,4.70%,317,19,6.00%,26.70%
Bremer,250,15,6.00%,263,6,2.30%,-62.00%
Buchanan,301,23,7.60%,267,12,4.50%,-41.20%
Buena Vista,233,29,12.40%,339,37,10.90%,-12.30%
Butler,170,10,5.90%,168,5,3.00%,-49.40%
Calhoun,107,6,5.60%,124,8,6.50%,15.10%
Carroll,262,12,4.60%,256,19,7.40%,62.00%
Cass,158,12,7.60%,152,10,6.60%,-13.40%
Cedar,206,12,5.80%,178,9,5.10%,-13.20%
Cerro Gordo,530,50,9.40%,450,25,5.60%,-41.10%
Cherokee,146,13,8.90%,140,10,7.10%,-19.80%
Chickasaw,169,13,7.70%,153,4,2.60%,-66.00%
Clarke,97,14,14.40%,126,11,8.70%,-39.50%
Clay,204,17,8.30%,193,14,7.30%,-13.00%
Clayton,194,15,7.70%,212,10,4.70%,-39.00%
Clinton,591,63,10.70%,568,49,8.60%,-19.10%
Crawford,189,22,11.60%,229,22,9.60%,-17.50%
Dallas,566,27,4.80%,"1,165",37,3.20%,-33.40%
Davis,129,9,7.00%,133,0,0.00%,-100.00%
Decatur,101,8,7.90%,82,9,11.00%,38.60%
Delaware,227,12,5.30%,189,9,4.80%,-9.90%
Des Moines,555,71,12.80%,470,37,7.90%,-38.50%
Dickinson,159,13,8.20%,161,9,5.60%,-31.60%
Dubuque,"1,221",83,6.80%,"1,176",69,5.90%,-13.70%
Emmet,126,15,11.90%,115,13,11.30%,-5.00%
Fayette,233,19,8.20%,219,12,5.50%,-32.80%
Floyd,199,11,5.50%,168,9,5.40%,-3.10%
Franklin,113,12,10.60%,108,10,9.30%,-12.80%
Fremont,82,4,4.90%,81,6,7.40%,51.90%
Greene,92,11,12.00%,97,8,8.20%,-31.00%
Grundy,133,6,4.50%,124,*,NA,NA
Guthrie,134,10,7.50%,104,9,8.70%,16.00%
Hamilton,192,17,8.90%,143,6,4.20%,-52.60%
Hancock,131,9,6.90%,113,*,NA,NA
Hardin,208,19,9.10%,179,16,8.90%,-2.10%
Harrison,193,15,7.80%,138,11,8.00%,2.60%
Henry,264,23,8.70%,224,11,4.90%,-43.60%
Howard,110,6,5.50%,130,4,3.10%,-43.60%
Humboldt,99,6,6.10%,101,*,NA,NA
Ida,70,5,7.10%,93,5,5.40%,-24.70%
Iowa,183,17,9.30%,197,9,4.60%,-50.80%
Jackson,239,22,9.20%,207,20,9.70%,5.00%
Jasper,458,33,7.20%,441,33,7.50%,3.90%
Jefferson,145,10,6.90%,140,9,6.40%,-6.80%
Johnson,"1,382",55,4.00%,"1,830",47,2.60%,-35.50%
Jones,227,14,6.20%,209,5,2.40%,-61.20%
Keokuk,154,14,9.10%,128,8,6.30%,-31.30%
,,Teen,,,Teen,,
,Live,Unmarried,,Live,Unmarried,2000-2012,
County,Births,Births,Percentage,Births,Births Percentage,Change,
