,"Number and percentage of male public school students absent 15 or more school days during the school year, by race/ethnicity, disability status, and ELL status",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
"reported to have been harassed or bullied on the basis of race, color or national origin",United States,"3,441,394 ","56,234 ",1.6 ,"80,099 ",2.3 ,"873,546 ",25.4 ,"694,704 ",20.2 ,"1,603,065 ",46.6 ,"20,341 ",0.6 ,"113,405 ",3.3 ,"736,069 ",21.4 ,"86,034 ",2.5 ,"290,204 ",8.4 ,"95,507 ",99.9 
"reported to have been harassed or bullied on the basis of race, color or national origin",Alabama,"46,030 ",489 ,1.1 ,238 ,0.5 ,"1,533 ",3.3 ,"14,289 ",31.0 ,"28,613 ",62.2 ,23 ,0.1 ,845 ,1.8 ,"6,866 ",14.9 ,506 ,1.1 ,892 ,1.9 ,"1,397 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Alaska,"15,293 ","4,985 ",32.6 ,655 ,4.3 ,983 ,6.4 ,464 ,3.0 ,"6,326 ",41.4 ,542 ,3.5 ,"1,338 ",8.7 ,"3,254 ",21.3 ,204 ,1.3 ,"2,434 ",15.9 ,495 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Arizona,"90,522 ","6,714 ",7.4 ,"1,204 ",1.3 ,"41,188 ",45.5 ,"4,904 ",5.4 ,"34,227 ",37.8 ,356 ,0.4 ,"1,929 ",2.1 ,"15,537 ",17.2 ,"1,535 ",1.7 ,"7,054 ",7.8 ,"1,913 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Arkansas,"28,232 ",226 ,0.8 ,223 ,0.8 ,"2,833 ",10.0 ,"6,693 ",23.7 ,"17,445 ",61.8 ,348 ,1.2 ,464 ,1.6 ,"4,433 ",15.7 ,"1,041 ",3.7 ,"2,095 ",7.4 ,"1,085 ",100.0 
