,"Number and percentage of public school students retained in grade 10, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 10,United States,"140,774 ","1,650 ",1.2 ,"3,010 ",2.1 ,"42,715 ",30.3 ,"46,921 ",33.3 ,"42,682 ",30.3 ,742 ,0.5 ,"3,054 ",2.2 ,"24,602 ",17.5 ,"4,007 ",2.8 ,"13,029 ",9.3 ,"8,804 ",100.0 
Retained in grade 10,Alabama,"3,230 ",22 ,0.7 ,14 ,0.4 ,134 ,4.1 ,"1,793 ",55.5 ,"1,224 ",37.9 ,1 to 3,0.1 ,40 ,1.2 ,400 ,12.4 ,39 ,1.2 ,75 ,2.3 ,236 ,100.0 
Retained in grade 10,Alaska,79 ,68 ,86.1 ,0 ,0.0 ,1 to 3,2.5 ,0 ,0.0 ,7 ,8.9 ,1 to 3,2.5 ,0 ,0.0 ,6 ,7.6 ,0 ,0.0 ,28 ,35.4 ,48 ,100.0 
Retained in grade 10,Arizona,"3,419 ",171 ,5.0 ,38 ,1.1 ,"2,315 ",67.7 ,300 ,8.8 ,558 ,16.3 ,7 ,0.2 ,30 ,0.9 ,453 ,13.2 ,39 ,1.1 ,210 ,6.1 ,69 ,100.0 
Retained in grade 10,Arkansas,765 ,1 to 3,0.4 ,8 ,1.0 ,102 ,13.3 ,340 ,44.4 ,286 ,37.4 ,18 ,2.4 ,8 ,1.0 ,64 ,8.4 ,19 ,2.5 ,90 ,11.8 ,93 ,100.0 
Retained in grade 10,California,"8,489 ",60 ,0.7 ,300 ,3.5 ,"5,852 ",68.9 ,933 ,11.0 ,"1,108 ",13.1 ,92 ,1.1 ,144 ,1.7 ,"1,034 ",12.2 ,105 ,1.2 ,"1,960 ",23.1 ,432 ,100.0 
Retained in grade 10,Colorado,"1,044 ",12 ,1.1 ,16 ,1.5 ,642 ,61.5 ,131 ,12.5 ,220 ,21.1 ,1 to 3,0.2 ,21 ,2.0 ,126 ,12.1 ,13 ,1.2 ,256 ,24.5 ,115 ,100.0 
Retained in grade 10,Connecticut,"1,475 ",8 ,0.5 ,31 ,2.1 ,517 ,35.1 ,403 ,27.3 ,489 ,33.2 ,1 to 3,0.1 ,25 ,1.7 ,260 ,17.6 ,67 ,4.5 ,148 ,10.0 ,122 ,100.0 
Retained in grade 10,Delaware,577 ,1 to 3,0.3 ,7 ,1.2 ,85 ,14.7 ,290 ,50.3 ,183 ,31.7 ,0 ,0.0 ,10 ,1.7 ,126 ,21.8 ,20 ,3.5 ,19 ,3.3 ,30 ,100.0 
Retained in grade 10,District of Columbia,239 ,0 ,0.0 ,1 to 3,1.3 ,26 ,10.9 ,201 ,84.1 ,7 ,2.9 ,0 ,0.0 ,1 to 3,0.8 ,56 ,23.4 ,6 ,2.5 ,14 ,5.9 ,25 ,100.0 
Retained in grade 10,Florida,"9,989 ",52 ,0.5 ,87 ,0.9 ,"2,716 ",27.2 ,"3,077 ",30.8 ,"3,760 ",37.6 ,13 ,0.1 ,284 ,2.8 ,"2,099 ",21.0 ,398 ,4.0 ,850 ,8.5 ,345 ,100.0 
Retained in grade 10,Georgia,"12,552 ",39 ,0.3 ,247 ,2.0 ,"1,806 ",14.4 ,"6,603 ",52.6 ,"3,502 ",27.9 ,18 ,0.1 ,337 ,2.7 ,"1,695 ",13.5 ,444 ,3.5 ,662 ,5.3 ,435 ,100.0 
Retained in grade 10,Hawaii,811 ,10 ,1.2 ,208 ,25.6 ,61 ,7.5 ,12 ,1.5 ,76 ,9.4 ,377 ,46.5 ,67 ,8.3 ,146 ,18.0 ,23 ,2.8 ,113 ,13.9 ,52 ,100.0 
Retained in grade 10,Idaho,274 ,6 ,2.2 ,5 ,1.8 ,69 ,25.2 ,5 ,1.8 ,184 ,67.2 ,0 ,0.0 ,5 ,1.8 ,12 ,4.4 ,17 ,6.2 ,34 ,12.4 ,32 ,100.0 
Retained in grade 10,Illinois,"6,822 ",18 ,0.3 ,94 ,1.4 ,"2,388 ",35.0 ,"2,546 ",37.3 ,"1,626 ",23.8 ,1 to 3,0.0 ,147 ,2.2 ,"1,232 ",18.1 ,147 ,2.2 ,483 ,7.1 ,375 ,99.5 
Retained in grade 10,Indiana,397 ,0 ,0.0 ,4 ,1.0 ,87 ,21.9 ,83 ,20.9 ,200 ,50.4 ,0 ,0.0 ,23 ,5.8 ,75 ,18.9 ,4 ,1.0 ,7 ,1.8 ,50 ,100.0 
Retained in grade 10,Iowa,276 ,1 to 3,0.7 ,1 to 3,1.1 ,30 ,10.9 ,45 ,16.3 ,179 ,64.9 ,1 to 3,1.1 ,14 ,5.1 ,49 ,17.8 ,14 ,5.1 ,12 ,4.3 ,40 ,100.0 
Retained in grade 10,Kansas,593 ,16 ,2.7 ,10 ,1.7 ,192 ,32.4 ,129 ,21.8 ,224 ,37.8 ,1 to 3,0.3 ,20 ,3.4 ,87 ,14.7 ,7 ,1.2 ,106 ,17.9 ,63 ,100.0 
Retained in grade 10,Kentucky,"1,642 ",4 ,0.2 ,14 ,0.9 ,106 ,6.5 ,494 ,30.1 ,981 ,59.7 ,1 to 3,0.2 ,40 ,2.4 ,224 ,13.6 ,12 ,0.7 ,40 ,2.4 ,178 ,100.0 
Retained in grade 10,Louisiana,"2,172 ",8 ,0.4 ,9 ,0.4 ,106 ,4.9 ,"1,284 ",59.1 ,747 ,34.4 ,0 ,0.0 ,18 ,0.8 ,350 ,16.1 ,156 ,7.2 ,59 ,2.7 ,196 ,100.0 
Retained in grade 10,Maine,131 ,1 to 3,1.5 ,0 ,0.0 ,0 ,0.0 ,1 to 3,2.3 ,123 ,93.9 ,0 ,0.0 ,1 to 3,2.3 ,28 ,21.4 ,10 ,7.6 ,1 to 3,2.3 ,17 ,100.0 
Retained in grade 10,Maryland,"4,863 ",15 ,0.3 ,105 ,2.2 ,"1,090 ",22.4 ,"2,766 ",56.9 ,768 ,15.8 ,6 ,0.1 ,113 ,2.3 ,976 ,20.1 ,177 ,3.6 ,330 ,6.8 ,204 ,100.0 
Retained in grade 10,Massachusetts,"1,923 ",9 ,0.5 ,56 ,2.9 ,621 ,32.3 ,319 ,16.6 ,864 ,44.9 ,1 to 3,0.2 ,51 ,2.7 ,469 ,24.4 ,103 ,5.4 ,261 ,13.6 ,208 ,100.0 
Retained in grade 10,Michigan,"5,260 ",46 ,0.9 ,58 ,1.1 ,454 ,8.6 ,"1,809 ",34.4 ,"2,738 ",52.1 ,1 to 3,0.0 ,153 ,2.9 ,870 ,16.5 ,69 ,1.3 ,371 ,7.1 ,384 ,100.0 
Retained in grade 10,Minnesota,662 ,18 ,2.7 ,36 ,5.4 ,84 ,12.7 ,127 ,19.2 ,386 ,58.3 ,1 to 3,0.5 ,8 ,1.2 ,116 ,17.5 ,7 ,1.1 ,48 ,7.3 ,72 ,100.0 
Retained in grade 10,Mississippi,"2,422 ",6 ,0.2 ,11 ,0.5 ,65 ,2.7 ,"1,748 ",72.2 ,589 ,24.3 ,0 ,0.0 ,1 to 3,0.1 ,172 ,7.1 ,8 ,0.3 ,30 ,1.2 ,201 ,100.0 
Retained in grade 10,Missouri,"1,111 ",5 ,0.5 ,16 ,1.4 ,66 ,5.9 ,354 ,31.9 ,643 ,57.9 ,1 to 3,0.1 ,26 ,2.3 ,182 ,16.4 ,24 ,2.2 ,27 ,2.4 ,140 ,100.0 
Retained in grade 10,Montana,96 ,48 ,50.0 ,1 to 3,2.1 ,1 to 3,2.1 ,0 ,0.0 ,44 ,45.8 ,0 ,0.0 ,0 ,0.0 ,8 ,8.3 ,1 to 3,2.1 ,12 ,12.5 ,22 ,100.0 
Retained in grade 10,Nebraska,191 ,8 ,4.2 ,4 ,2.1 ,28 ,14.7 ,16 ,8.4 ,131 ,68.6 ,0 ,0.0 ,4 ,2.1 ,44 ,23.0 ,6 ,3.1 ,5 ,2.6 ,27 ,100.0 
Retained in grade 10,Nevada,378 ,15 ,4.0 ,5 ,1.3 ,120 ,31.7 ,28 ,7.4 ,197 ,52.1 ,4 ,1.1 ,9 ,2.4 ,49 ,13.0 ,8 ,2.1 ,10 ,2.6 ,30 ,100.0 
Retained in grade 10,New Hampshire,751 ,7 ,0.9 ,9 ,1.2 ,92 ,12.3 ,26 ,3.5 ,606 ,80.7 ,0 ,0.0 ,11 ,1.5 ,180 ,24.0 ,58 ,7.7 ,65 ,8.7 ,54 ,100.0 
Retained in grade 10,New Jersey,"1,764 ",6 ,0.3 ,32 ,1.8 ,781 ,44.3 ,567 ,32.1 ,361 ,20.5 ,0 ,0.0 ,17 ,1.0 ,360 ,20.4 ,25 ,1.4 ,155 ,8.8 ,176 ,100.0 
Retained in grade 10,New Mexico,826 ,120 ,14.5 ,1 to 3,0.4 ,538 ,65.1 ,21 ,2.5 ,132 ,16.0 ,0 ,0.0 ,12 ,1.5 ,98 ,11.9 ,19 ,2.3 ,174 ,21.1 ,69 ,100.0 
Retained in grade 10,New York,"13,153 ",80 ,0.6 ,901 ,6.9 ,"5,408 ",41.1 ,"4,837 ",36.8 ,"1,841 ",14.0 ,28 ,0.2 ,58 ,0.4 ,"3,274 ",24.9 ,100 ,0.8 ,"2,016 ",15.3 ,726 ,100.0 
Retained in grade 10,North Carolina,"7,583 ",151 ,2.0 ,81 ,1.1 ,"1,250 ",16.5 ,"3,279 ",43.2 ,"2,555 ",33.7 ,16 ,0.2 ,251 ,3.3 ,"1,624 ",21.4 ,188 ,2.5 ,533 ,7.0 ,473 ,100.0 
Retained in grade 10,North Dakota,107 ,29 ,27.1 ,1 to 3,2.8 ,5 ,4.7 ,10 ,9.3 ,60 ,56.1 ,0 ,0.0 ,0 ,0.0 ,12 ,11.2 ,9 ,8.4 ,9 ,8.4 ,23 ,100.0 
Retained in grade 10,Ohio,"3,860 ",10 ,0.3 ,38 ,1.0 ,258 ,6.7 ,"1,843 ",47.7 ,"1,548 ",40.1 ,1 to 3,0.1 ,161 ,4.2 ,815 ,21.1 ,82 ,2.1 ,143 ,3.7 ,244 ,99.6 
Retained in grade 10,Oklahoma,"1,331 ",211 ,15.9 ,14 ,1.1 ,201 ,15.1 ,242 ,18.2 ,587 ,44.1 ,11 ,0.8 ,65 ,4.9 ,292 ,21.9 ,15 ,1.1 ,76 ,5.7 ,133 ,100.0 
Retained in grade 10,Oregon,"1,820 ",45 ,2.5 ,19 ,1.0 ,699 ,38.4 ,26 ,1.4 ,905 ,49.7 ,30 ,1.6 ,96 ,5.3 ,331 ,18.2 ,50 ,2.7 ,105 ,5.8 ,48 ,100.0 
Retained in grade 10,Pennsylvania,"4,519 ",11 ,0.2 ,77 ,1.7 ,"1,046 ",23.1 ,"1,354 ",30.0 ,"1,932 ",42.8 ,1 to 3,0.0 ,98 ,2.2 ,895 ,19.8 ,109 ,2.4 ,302 ,6.7 ,410 ,100.0 
Retained in grade 10,Rhode Island,397 ,5 ,1.3 ,9 ,2.3 ,129 ,32.5 ,50 ,12.6 ,188 ,47.4 ,0 ,0.0 ,16 ,4.0 ,110 ,27.7 ,18 ,4.5 ,33 ,8.3 ,32 ,100.0 
Retained in grade 10,South Carolina,"3,685 ",16 ,0.4 ,18 ,0.5 ,312 ,8.5 ,"1,631 ",44.3 ,"1,620 ",44.0 ,4 ,0.1 ,84 ,2.3 ,542 ,14.7 ,68 ,1.8 ,192 ,5.2 ,190 ,100.0 
Retained in grade 10,South Dakota,510 ,98 ,19.2 ,10 ,2.0 ,43 ,8.4 ,44 ,8.6 ,305 ,59.8 ,0 ,0.0 ,10 ,2.0 ,90 ,17.6 ,18 ,3.5 ,15 ,2.9 ,36 ,100.0 
Retained in grade 10,Tennessee,"2,820 ",5 ,0.2 ,26 ,0.9 ,246 ,8.7 ,"1,609 ",57.1 ,907 ,32.2 ,1 to 3,0.0 ,26 ,0.9 ,435 ,15.4 ,31 ,1.1 ,106 ,3.8 ,153 ,100.0 
Retained in grade 10,Texas,"17,307 ",73 ,0.4 ,170 ,1.0 ,"10,528 ",60.8 ,"3,037 ",17.5 ,"3,254 ",18.8 ,22 ,0.1 ,223 ,1.3 ,"2,402 ",13.9 ,"1,032 ",6.0 ,"2,193 ",12.7 ,"1,132 ",100.0 
Retained in grade 10,Utah,657 ,8 ,1.2 ,11 ,1.7 ,129 ,19.6 ,8 ,1.2 ,489 ,74.4 ,7 ,1.1 ,5 ,0.8 ,104 ,15.8 ,25 ,3.8 ,12 ,1.8 ,20 ,100.0 
Retained in grade 10,Vermont,162 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,157 ,96.9 ,0 ,0.0 ,5 ,3.1 ,32 ,19.8 ,17 ,10.5 ,1 to 3,1.2 ,29 ,100.0 
Retained in grade 10,Virginia,"3,861 ",15 ,0.4 ,84 ,2.2 ,604 ,15.6 ,"1,774 ",45.9 ,"1,274 ",33.0 ,1 to 3,0.1 ,107 ,2.8 ,844 ,21.9 ,99 ,2.6 ,412 ,10.7 ,299 ,100.0 
Retained in grade 10,Washington,"2,128 ",51 ,2.4 ,94 ,4.4 ,537 ,25.2 ,242 ,11.4 ,979 ,46.0 ,51 ,2.4 ,174 ,8.2 ,395 ,18.6 ,69 ,3.2 ,161 ,7.6 ,113 ,100.0 
Retained in grade 10,West Virginia,613 ,0 ,0.0 ,1 to 3,0.3 ,12 ,2.0 ,64 ,10.4 ,524 ,85.5 ,0 ,0.0 ,11 ,1.8 ,87 ,14.2 ,10 ,1.6 ,5 ,0.8 ,66 ,100.0 
Retained in grade 10,Wisconsin,961 ,18 ,1.9 ,18 ,1.9 ,127 ,13.2 ,418 ,43.5 ,361 ,37.6 ,1 to 3,0.2 ,17 ,1.8 ,258 ,26.8 ,16 ,1.7 ,49 ,5.1 ,121 ,100.0 
Retained in grade 10,Wyoming,77 ,18 ,23.4 ,0 ,0.0 ,4 ,5.2 ,0 ,0.0 ,53 ,68.8 ,0 ,0.0 ,1 to 3,2.6 ,14 ,18.2 ,5 ,6.5 ,8 ,10.4 ,16 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,
