,"Number and percentage of public school students with and without disabilities subjected to mechanical restraint, by race/ethnicity, whether with disabilities served under IDEA or Section 504, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,,
Mechanical restraint,United States,"5,983 ",77 ,1.3 ,29 ,0.5 ,"1,736 ",29.6 ,"1,973 ",33.7 ,"1,892 ",32.3 ,17 ,0.3 ,137 ,2.3 ,"1,799 ",93.6 ,122 ,6.4 ,264 ,4.4 ,"95,507 ",99.4 ,
Mechanical restraint,Alabama,269 ,0 ,0.0 ,0 ,0.0 ,7 ,2.7 ,241 ,93.1 ,11 ,4.2 ,0 ,0.0 ,0 ,0.0 ,53 ,84.1 ,10 ,15.9 ,25 ,9.3 ,"1,397 ",97.0 ,
Mechanical restraint,Alaska,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,495 ,100.0 ,
Mechanical restraint,Arizona,606 ,16 ,2.6 ,1 to 3,0.2 ,303 ,50.2 ,120 ,19.9 ,133 ,22.0 ,4 ,0.7 ,27 ,4.5 ,203 ,99.0 ,1 to 3,1.0 ,0 ,0.0 ,"1,913 ",99.2 ,
Mechanical restraint,Arkansas,33 ,0 ,0.0 ,0 ,0.0 ,4 ,12.1 ,4 ,12.1 ,25 ,75.8 ,0 ,0.0 ,0 ,0.0 ,11 ,100.0 ,0 ,0.0 ,1 to 3,6.1 ,"1,085 ",100.0 ,
Mechanical restraint,California,161 ,1 to 3,1.3 ,1 to 3,1.3 ,91 ,57.2 ,33 ,20.8 ,31 ,19.5 ,0 ,0.0 ,0 ,0.0 ,40 ,95.2 ,1 to 3,4.8 ,22 ,13.7 ,"9,883 ",99.8 ,
Mechanical restraint,Colorado,36 ,0 ,0.0 ,0 ,0.0 ,14 ,38.9 ,8 ,22.2 ,13 ,36.1 ,0 ,0.0 ,1 to 3,2.8 ,17 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"1,841 ",100.0 ,
Mechanical restraint,Connecticut,5 ,0 ,0.0 ,0 ,0.0 ,1 to 3,40.0 ,0 ,0.0 ,1 to 3,60.0 ,0 ,0.0 ,0 ,0.0 ,5 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"1,140 ",100.0 ,
Mechanical restraint,Delaware,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,227 ,100.0 ,
Mechanical restraint,District of Columbia,1 to 3,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,204 ,100.0 ,
Mechanical restraint,Florida,122 ,0 ,0.0 ,0 ,0.0 ,4 ,3.3 ,69 ,57.0 ,40 ,33.1 ,0 ,0.0 ,8 ,6.6 ,29 ,96.7 ,1 to 3,3.3 ,1 to 3,1.6 ,"3,954 ",100.0 ,
Mechanical restraint,Georgia,159 ,0 ,0.0 ,0 ,0.0 ,7 ,4.4 ,140 ,88.1 ,12 ,7.5 ,0 ,0.0 ,0 ,0.0 ,26 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"2,444 ",99.8 ,
Mechanical restraint,Hawaii,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,287 ,100.0 ,
Mechanical restraint,Idaho,31 ,1 to 3,9.7 ,1 to 3,6.5 ,1 to 3,6.5 ,1 to 3,3.2 ,23 ,74.2 ,0 ,0.0 ,0 ,0.0 ,5 ,100.0 ,0 ,0.0 ,4 ,12.9 ,715 ,100.0 ,
Mechanical restraint,Illinois,61 ,0 ,0.0 ,0 ,0.0 ,1 to 3,3.3 ,35 ,57.4 ,24 ,39.3 ,0 ,0.0 ,0 ,0.0 ,28 ,100.0 ,0 ,0.0 ,1 to 3,1.6 ,"4,134 ",100.0 ,
Mechanical restraint,Indiana,187 ,0 ,0.0 ,1 to 3,1.1 ,4 ,2.1 ,78 ,41.7 ,91 ,48.7 ,0 ,0.0 ,12 ,6.4 ,94 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"1,864 ",100.0 ,
Mechanical restraint,Iowa,22 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,22.7 ,17 ,77.3 ,0 ,0.0 ,0 ,0.0 ,17 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"1,424 ",100.0 ,
Mechanical restraint,Kansas,140 ,1 to 3,2.2 ,0 ,0.0 ,23 ,16.7 ,18 ,13.0 ,94 ,68.1 ,0 ,0.0 ,0 ,0.0 ,92 ,97.9 ,1 to 3,2.1 ,4 ,2.9 ,"1,396 ",99.9 ,
Mechanical restraint,Kentucky,36 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,11 ,30.6 ,25 ,69.4 ,0 ,0.0 ,0 ,0.0 ,11 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"1,422 ",100.0 ,
Mechanical restraint,Louisiana,5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,343 ",100.0 ,
Mechanical restraint,Maine,24 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.2 ,23 ,95.8 ,0 ,0.0 ,0 ,0.0 ,20 ,100.0 ,0 ,0.0 ,1 to 3,8.3 ,573 ,100.0 ,
Mechanical restraint,Maryland,6 ,0 ,0.0 ,0 ,0.0 ,1 to 3,33.3 ,4 ,66.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,100.0 ,0 ,0.0 ,0 ,0.0 ,"1,435 ",100.0 ,
Mechanical restraint,Massachusetts,21 ,0 ,0.0 ,0 ,0.0 ,4 ,20.0 ,8 ,40.0 ,8 ,40.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,75.0 ,1 to 3,25.0 ,0 ,0.0 ,"1,859 ",100.0 ,
Mechanical restraint,Michigan,97 ,1 to 3,3.2 ,0 ,0.0 ,8 ,8.4 ,28 ,29.5 ,54 ,56.8 ,0 ,0.0 ,1 to 3,2.1 ,56 ,96.6 ,1 to 3,3.4 ,1 to 3,1.0 ,"3,672 ",100.0 ,
Mechanical restraint,Minnesota,197 ,1 to 3,1.5 ,5 ,2.6 ,9 ,4.6 ,65 ,33.3 ,104 ,53.3 ,0 ,0.0 ,9 ,4.6 ,43 ,95.6 ,1 to 3,4.4 ,0 ,0.0 ,"2,056 ",100.0 ,
Mechanical restraint,Mississippi,141 ,1 to 3,1.4 ,0 ,0.0 ,4 ,2.8 ,74 ,52.5 ,61 ,43.3 ,0 ,0.0 ,0 ,0.0 ,36 ,100.0 ,0 ,0.0 ,1 to 3,1.4 ,967 ,100.0 ,
Mechanical restraint,Missouri,165 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,91 ,55.2 ,73 ,44.2 ,1 to 3,0.6 ,0 ,0.0 ,71 ,100.0 ,0 ,0.0 ,1 to 3,0.6 ,"2,281 ",100.0 ,
Mechanical restraint,Montana,4 ,1 to 3,75.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,25.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,100.0 ,0 ,0.0 ,0 ,0.0 ,794 ,100.0 ,
Mechanical restraint,Nebraska,37 ,0 ,0.0 ,0 ,0.0 ,10 ,27.0 ,13 ,35.1 ,14 ,37.8 ,0 ,0.0 ,0 ,0.0 ,18 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"1,050 ",100.0 ,
Mechanical restraint,Nevada,31 ,0 ,0.0 ,0 ,0.0 ,9 ,29.0 ,11 ,35.5 ,11 ,35.5 ,0 ,0.0 ,0 ,0.0 ,24 ,100.0 ,0 ,0.0 ,0 ,0.0 ,652 ,100.0 ,
Mechanical restraint,New Hampshire,13 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,13 ,100.0 ,0 ,0.0 ,0 ,0.0 ,7 ,100.0 ,0 ,0.0 ,0 ,0.0 ,482 ,100.0 ,
