,"Number and percentage of public school female students not served under IDEA subjected to physical restraint, by race/ethnicity, whether served under Section 504, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,,
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,,,
Physical restraint,United States,"2,794 ",56 ,1 to 3,6 ,0.2 ,488 ,17.5 ,977 ,35.0 ,"1,158 ",41.4 ,4 ,0.1 ,105 ,3.8 ,72 ,2.6 ,77 ,2.8 ,"95,507 ",99.4 ,,
Physical restraint,Alabama,77 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,60 ,77.9 ,17 ,22.1 ,0 ,0.0 ,0 ,0.0 ,1 to 3,1.3 ,1 to 3,1.3 ,"1,397 ",97.0 ,,
Physical restraint,Alaska,6 ,1 to 3,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,33.3 ,0 ,0.0 ,1 to 3,16.7 ,0 ,0.0 ,1 to 3,16.7 ,495 ,100.0 ,,
Physical restraint,Arizona,80 ,6 ,7.5 ,0 ,0.0 ,43 ,53.8 ,11 ,13.8 ,18 ,22.5 ,0 ,0.0 ,1 to 3,2.5 ,1 to 3,1.3 ,1 to 3,2.5 ,"1,913 ",99.2 ,,
Physical restraint,Arkansas,23 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,16 ,69.6 ,6 ,26.1 ,0 ,0.0 ,1 to 3,4.3 ,1 to 3,4.3 ,0 ,0.0 ,"1,085 ",100.0 ,,
Physical restraint,California,89 ,0 ,0.0 ,1 to 3,2.2 ,44 ,49.4 ,29 ,32.6 ,11 ,12.4 ,1 to 3,2.2 ,1 to 3,1.1 ,1 to 3,2.2 ,9 ,10.1 ,"9,883 ",99.8 ,,
Physical restraint,Colorado,14 ,1 to 3,7.1 ,0 ,0.0 ,1 to 3,21.4 ,1 to 3,14.3 ,7 ,50.0 ,0 ,0.0 ,1 to 3,7.1 ,0 ,0.0 ,0 ,0.0 ,"1,841 ",100.0 ,,
Physical restraint,Connecticut,34 ,0 ,0.0 ,0 ,0.0 ,9 ,26.5 ,10 ,29.4 ,15 ,44.1 ,0 ,0.0 ,0 ,0.0 ,1 to 3,5.9 ,1 to 3,5.9 ,"1,140 ",98.2 ,,
Physical restraint,Delaware,6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,83.3 ,1 to 3,16.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,227 ,100.0 ,,
