,"Number and percentage of public school male students with and without disabilities subjected to seclusion, by race/ethnicity, whether with disabilities served under IDEA or Section 504, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Seclusion,United States,"22,532 ",291 ,1.3 ,209 ,0.9 ,"2,138 ",9.6 ,"4,771 ",21.4 ,"13,821 ",62.1 ,20 ,0.1 ,"1,020 ",4.6 ,"13,507 ",98.1 ,262 ,1.9 ,550 ,2.4 ,"95,507 ",99.4 
Seclusion,Alabama,196 ,0 ,0.0 ,0 ,0.0 ,1 to 3,1.0 ,113 ,58.2 ,70 ,36.1 ,1 to 3,1.0 ,7 ,3.6 ,107 ,98.2 ,1 to 3,1.8 ,1 to 3,1.5 ,"1,397 ",97.0 
Seclusion,Alaska,42 ,7 ,16.7 ,0 ,0.0 ,1 to 3,4.8 ,4 ,9.5 ,26 ,61.9 ,0 ,0.0 ,1 to 3,7.1 ,30 ,100.0 ,0 ,0.0 ,1 to 3,4.8 ,495 ,100.0 
Seclusion,Arizona,852 ,30 ,3.5 ,5 ,0.6 ,329 ,38.8 ,97 ,11.4 ,351 ,41.4 ,0 ,0.0 ,36 ,4.2 ,302 ,98.7 ,4 ,1.3 ,9 ,1.1 ,"1,913 ",99.2 
Seclusion,Arkansas,41 ,0 ,0.0 ,0 ,0.0 ,6 ,14.6 ,7 ,17.1 ,26 ,63.4 ,0 ,0.0 ,1 to 3,4.9 ,23 ,100.0 ,0 ,0.0 ,1 to 3,7.3 ,"1,085 ",100.0 
Seclusion,California,172 ,1 to 3,0.6 ,15 ,8.9 ,60 ,35.7 ,30 ,17.9 ,59 ,35.1 ,0 ,0.0 ,1 to 3,1.8 ,72 ,94.7 ,4 ,5.3 ,24 ,14.0 ,"9,883 ",99.8 
Seclusion,Colorado,540 ,8 ,1.5 ,6 ,1.1 ,157 ,29.2 ,28 ,5.2 ,315 ,58.7 ,0 ,0.0 ,23 ,4.3 ,200 ,98.5 ,1 to 3,1.5 ,27 ,5.0 ,"1,841 ",100.0 
Seclusion,Connecticut,638 ,1 to 3,0.2 ,9 ,1.4 ,121 ,19.1 ,140 ,22.1 ,345 ,54.4 ,0 ,0.0 ,18 ,2.8 ,553 ,99.3 ,4 ,0.7 ,13 ,2.0 ,"1,140 ",100.0 
Seclusion,Delaware,29 ,0 ,0.0 ,1 to 3,6.9 ,0 ,0.0 ,13 ,44.8 ,14 ,48.3 ,0 ,0.0 ,0 ,0.0 ,29 ,100.0 ,0 ,0.0 ,0 ,0.0 ,227 ,100.0 
Seclusion,District of Columbia,20 ,0 ,0.0 ,0 ,0.0 ,1 to 3,10.0 ,18 ,90.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,4 ,100.0 ,0 ,0.0 ,0 ,0.0 ,204 ,100.0 
Seclusion,Florida,364 ,0 ,0.0 ,4 ,1.1 ,62 ,17.5 ,93 ,26.3 ,176 ,49.7 ,0 ,0.0 ,19 ,5.4 ,208 ,95.4 ,10 ,4.6 ,13 ,3.6 ,"3,954 ",100.0 
Seclusion,Georgia,29 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,15 ,51.7 ,13 ,44.8 ,0 ,0.0 ,1 to 3,3.4 ,21 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"2,444 ",99.8 
Seclusion,Hawaii,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,287 ,100.0 
Seclusion,Idaho,356 ,1 to 3,0.9 ,1 to 3,0.9 ,114 ,33.3 ,6 ,1.8 ,212 ,62.0 ,0 ,0.0 ,4 ,1.2 ,51 ,78.5 ,14 ,21.5 ,91 ,25.6 ,715 ,100.0 
Seclusion,Illinois,"2,869 ",4 ,0.1 ,21 ,0.7 ,96 ,3.4 ,"1,211 ",42.4 ,"1,314 ",46.0 ,0 ,0.0 ,209 ,7.3 ,"1,362 ",99.0 ,14 ,1.0 ,20 ,0.7 ,"4,134 ",100.0 
Seclusion,Indiana,651 ,0 ,0.0 ,5 ,0.8 ,33 ,5.1 ,117 ,18.0 ,453 ,69.8 ,0 ,0.0 ,41 ,6.3 ,456 ,99.6 ,1 to 3,0.4 ,5 ,0.8 ,"1,864 ",100.0 
Seclusion,Iowa,"1,062 ",4 ,0.4 ,6 ,0.6 ,34 ,3.2 ,207 ,19.6 ,771 ,73.0 ,1 to 3,0.2 ,32 ,3.0 ,669 ,99.1 ,6 ,0.9 ,15 ,1.4 ,"1,424 ",100.0 
Seclusion,Kansas,580 ,11 ,1.9 ,5 ,0.9 ,38 ,6.6 ,53 ,9.2 ,432 ,74.9 ,0 ,0.0 ,38 ,6.6 ,484 ,99.4 ,1 to 3,0.6 ,12 ,2.1 ,"1,396 ",99.9 
Seclusion,Kentucky,788 ,1 to 3,0.1 ,0 ,0.0 ,96 ,12.2 ,171 ,21.8 ,437 ,55.6 ,0 ,0.0 ,81 ,10.3 ,547 ,99.6 ,1 to 3,0.4 ,12 ,1.5 ,"1,422 ",100.0 
Seclusion,Louisiana,28 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.0 ,14 ,56.0 ,10 ,40.0 ,0 ,0.0 ,0 ,0.0 ,11 ,78.6 ,1 to 3,21.4 ,0 ,0.0 ,"1,343 ",100.0 
Seclusion,Maine,337 ,1 to 3,0.9 ,0 ,0.0 ,7 ,2.1 ,11 ,3.3 ,308 ,92.2 ,0 ,0.0 ,5 ,1.5 ,307 ,99.0 ,1 to 3,1.0 ,4 ,1.2 ,573 ,100.0 
Seclusion,Maryland,444 ,0 ,0.0 ,7 ,1.6 ,21 ,4.8 ,190 ,43.5 ,195 ,44.6 ,0 ,0.0 ,24 ,5.5 ,400 ,98.3 ,7 ,1.7 ,6 ,1.4 ,"1,435 ",100.0 
Seclusion,Massachusetts,86 ,0 ,0.0 ,5 ,6.0 ,25 ,29.8 ,11 ,13.1 ,39 ,46.4 ,0 ,0.0 ,4 ,4.8 ,64 ,97.0 ,1 to 3,3.0 ,11 ,12.8 ,"1,859 ",100.0 
Seclusion,Michigan,"1,861 ",22 ,1.2 ,14 ,0.8 ,77 ,4.2 ,200 ,10.8 ,"1,490 ",80.6 ,1 to 3,0.1 ,45 ,2.4 ,"1,110 ",98.9 ,12 ,1.1 ,13 ,0.7 ,"3,672 ",100.0 
Seclusion,Minnesota,978 ,14 ,1.4 ,10 ,1.0 ,53 ,5.5 ,303 ,31.2 ,567 ,58.3 ,0 ,0.0 ,25 ,2.6 ,818 ,99.3 ,6 ,0.7 ,21 ,2.1 ,"2,056 ",100.0 
Seclusion,Mississippi,60 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,50 ,83.3 ,10 ,16.7 ,0 ,0.0 ,0 ,0.0 ,15 ,100.0 ,0 ,0.0 ,0 ,0.0 ,967 ,100.0 
Seclusion,Missouri,"1,747 ",1 to 3,0.1 ,10 ,0.6 ,72 ,4.3 ,327 ,19.4 ,"1,207 ",71.5 ,1 to 3,0.2 ,68 ,4.0 ,519 ,89.9 ,58 ,10.1 ,4 ,0.2 ,"2,281 ",100.0 
Seclusion,Montana,107 ,21 ,20.0 ,0 ,0.0 ,1 to 3,1.9 ,0 ,0.0 ,81 ,77.1 ,0 ,0.0 ,1 to 3,1.0 ,31 ,93.9 ,1 to 3,6.1 ,1 to 3,2.8 ,794 ,100.0 
Seclusion,Nebraska,682 ,6 ,0.9 ,4 ,0.6 ,62 ,9.1 ,57 ,8.4 ,519 ,76.3 ,0 ,0.0 ,32 ,4.7 ,423 ,99.5 ,1 to 3,0.5 ,6 ,0.9 ,"1,050 ",100.0 
Seclusion,Nevada,32 ,0 ,0.0 ,0 ,0.0 ,9 ,28.1 ,12 ,37.5 ,11 ,34.4 ,0 ,0.0 ,0 ,0.0 ,20 ,100.0 ,0 ,0.0 ,0 ,0.0 ,652 ,100.0 
Seclusion,New Hampshire,82 ,0 ,0.0 ,0 ,0.0 ,1 to 3,2.5 ,1 to 3,3.8 ,74 ,93.7 ,0 ,0.0 ,0 ,0.0 ,68 ,95.8 ,1 to 3,4.2 ,0 ,0.0 ,482 ,100.0 
Seclusion,New Jersey,148 ,0 ,0.0 ,4 ,2.7 ,19 ,12.8 ,77 ,52.0 ,43 ,29.1 ,0 ,0.0 ,5 ,3.4 ,101 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"2,469 ",100.0 
Seclusion,New Mexico,14 ,0 ,0.0 ,0 ,0.0 ,1 to 3,16.7 ,1 to 3,16.7 ,6 ,50.0 ,0 ,0.0 ,1 to 3,16.7 ,5 ,71.4 ,1 to 3,28.6 ,1 to 3,14.3 ,872 ,96.7 
Seclusion,New York,251 ,1 to 3,1.2 ,1 to 3,0.8 ,41 ,16.9 ,58 ,24.0 ,133 ,55.0 ,0 ,0.0 ,5 ,2.1 ,134 ,93.7 ,9 ,6.3 ,1 to 3,0.8 ,"4,894 ",100.0 
Seclusion,North Carolina,14 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,9 ,64.3 ,5 ,35.7 ,0 ,0.0 ,0 ,0.0 ,13 ,100.0 ,0 ,0.0 ,0 ,0.0 ,"2,587 ",100.0 
Seclusion,North Dakota,123 ,10 ,8.8 ,4 ,3.5 ,8 ,7.1 ,9 ,8.0 ,81 ,71.7 ,1 to 3,0.9 ,0 ,0.0 ,54 ,84.4 ,10 ,15.6 ,7 ,5.7 ,451 ,100.0 
Seclusion,Ohio,517 ,0 ,0.0 ,5 ,1.0 ,14 ,2.7 ,166 ,32.2 ,308 ,59.8 ,0 ,0.0 ,22 ,4.3 ,452 ,99.6 ,1 to 3,0.4 ,6 ,1.2 ,"3,609 ",100.0 
Seclusion,Oklahoma,475 ,27 ,5.7 ,0 ,0.0 ,75 ,15.8 ,151 ,31.8 ,201 ,42.3 ,0 ,0.0 ,21 ,4.4 ,187 ,100.0 ,0 ,0.0 ,57 ,12.0 ,"1,811 ",100.0 
