,2000,2000,,2013,2013,,
,Child,Confirmed,,Child,Confirmed,,2000-2013
County,Population,Children,Rate,Population,Children,Rate,Change
Adair,"1,968",20,10.2,"1,632",32,19.6,92.90%
Adams,"1,073",11,10.3,795,33,41.5,304.90%
Allamakee,"3,731",32,8.6,"3,160",39,12.3,43.90%
Appanoose,"3,255",64,19.7,"2,794",52,18.6,-5.30%
Audubon,"1,771",25,14.1,"1,195",8,6.7,-52.60%
Benton,"6,924",96,13.9,"6,163",63,10.2,-26.30%
Black Hawk,"29,545",506,17.1,"28,368",564,19.9,16.10%
Boone,"6,515",51,7.8,"6,065",86,14.2,81.10%
Bremer,"5,627",39,6.9,"5,396",56,10.4,49.70%
Buchanan,"6,031",112,18.6,"5,565",51,9.2,-50.70%
Buena Vista,"5,179",53,10.2,"5,190",87,16.8,63.80%
Butler,"3,734",32,8.6,"3,539",61,17.2,101.10%
Calhoun,"2,564",18,7,"2,035",41,20.1,187.00%
Carroll,"5,769",29,5,"4,954",68,13.7,173.10%
Cass,"3,488",36,10.3,"3,073",55,17.9,73.40%
Cedar,"4,609",41,8.9,"4,268",45,10.5,18.50%
Cerro Gordo,"11,046",259,23.4,"9,086",219,24.1,2.80%
Cherokee,"3,212",43,13.4,"2,501",39,15.6,16.50%
Chickasaw,"3,423",23,6.7,"2,913",37,12.7,89.00%
Clarke,"2,402",43,17.9,"2,308",26,11.3,-37.10%
Clay,"4,289",74,17.3,"3,718",95,25.6,48.10%
Clayton,"4,735",43,9.1,"3,946",58,14.7,61.90%
Clinton,"12,840",142,11.1,"11,133",255,22.9,107.10%
Crawford,"4,495",78,17.4,"4,557",60,13.2,-24.10%
Dallas,"11,487",93,8.1,"21,407",139,6.5,-19.80%
Davis,"2,317",36,15.5,"2,538",28,11,-29.00%
Decatur,"2,002",31,15.5,"1,729",51,29.5,90.50%
Delaware,"5,334",53,9.9,"4,181",43,10.3,3.50%
Des Moines,"10,328",240,23.2,"9,332",196,21,-9.60%
Dickinson,"3,599",40,11.1,"3,271",62,19,70.50%
Dubuque,"22,779",253,11.1,"22,074",386,17.5,57.40%
Emmet,"2,674",44,16.5,"2,163",54,25,51.70%
Fayette,"5,492",95,17.3,"4,434",60,13.5,-21.80%
Floyd,"4,246",92,21.7,"3,706",103,27.8,28.30%
Franklin,"2,593",26,10,"2,406",60,24.9,148.70%
Fremont,"2,010",6,3,"1,543",16,10.4,247.40%
Greene,"2,655",35,13.2,"2,054",42,20.4,55.10%
Grundy,"3,118",24,7.7,"2,867",29,10.1,31.40%
Guthrie,"2,675",27,10.1,"2,366",40,16.9,67.50%
Hamilton,"4,182",58,13.9,"3,581",105,29.3,111.40%
Hancock,"3,210",46,14.3,"2,509",38,15.1,5.70%
Hardin,"4,646",50,10.8,"3,836",107,27.9,159.20%
Harrison,"4,108",40,9.7,"3,280",49,14.9,53.40%
Henry,"5,018",69,13.8,"4,572",102,22.3,62.20%
Howard,"2,615",29,11.1,"2,375",29,12.2,10.10%
Humboldt,"2,580",33,12.8,"2,244",65,29,126.50%
Ida,"1,998",14,7,"1,711",48,28.1,300.40%
Iowa,"4,138",36,8.7,"3,837",33,8.6,-1.10%
Jackson,"5,271",57,10.8,"4,426",93,21,94.30%
Jasper,"9,173",108,11.8,"8,225",241,29.3,148.90%
Jefferson,"3,946",44,11.2,"2,930",46,15.7,40.80%
Johnson,"22,312",250,11.2,"28,074",325,11.6,3.30%
Jones,"4,874",42,8.6,"4,433",52,11.7,36.10%
Keokuk,"2,931",49,16.7,"2,374",41,17.3,3.30%
,Child,Confirmed,,Child Confirmed,,2000-2013,
County,Population,Children,Rate,Population Children,Rate,Change,
Kossuth,"4,435",34,7.7,"3,404 47",13.8,80.10%,
Lee,"9,273",208,22.4,"7,664 210",27.4,22.20%,
Linn,"48,422",494,10.2,"51,696 701",13.6,32.90%,
Louisa,"3,380",49,14.5,"2,702 28",10.4,-28.50%,
Lucas,"2,392",28,11.7,"2,036 34",16.7,42.70%,
Lyon,"3,293",9,2.7,"3,263 15",4.6,68.20%,
Madison,"3,802",26,6.8,"4,014 53",13.2,93.10%,
Mahaska,"5,742",78,13.6,"5,358 104",19.4,42.90%,
Marion,"8,125",58,7.1,"8,041 127",15.8,121.30%,
Marshall,"9,930",138,13.9,"10,258 223",21.7,56.40%,
Mills,"3,892",50,12.8,"3,673 44",12,-6.80%,
Mitchell,"2,885",25,8.7,"2,593 18",6.9,-19.90%,
Monona,"2,327",21,9,"1,972 28",14.2,57.30%,
Monroe,"2,032",25,12.3,"1,874 31",16.5,34.50%,
Montgomery,"2,941",52,17.7,"2,385 89",37.3,111.10%,
Muscatine,"11,219",233,20.8,"10,941 174",15.9,-23.40%,
O'Brien,"3,742",18,4.8,"3,247 53",16.3,239.30%,
Osceola,"1,826",16,8.8,"1,408 20",14.2,62.10%,
Page,"3,948",44,11.1,"3,281 100",30.5,173.50%,
Palo Alto,"2,440",63,25.8,"2,008 39",19.4,-24.80%,
Plymouth,"7,038",38,5.4,"6,254 68",10.9,101.40%,
Pocahontas,"2,202",24,10.9,"1,586 45",28.4,160.30%,
Polk,"96,300","1,438",14.9,"114,163 1,956",17.1,14.70%,
Pottawattamie,"22,813",336,14.7,"21,960 423",19.3,30.80%,
Poweshiek,"4,262",83,19.5,"3,821 87",22.8,16.90%,
Ringgold,"1,315",17,12.9,"1,223 15",12.3,-5.10%,
Sac,"2,779",42,15.1,"2,243 40",17.8,18.00%,
Scott,"42,015",659,15.7,"41,150 787",19.1,21.90%,
Shelby,"3,477",39,11.2,"2,712 35",12.9,15.10%,
Sioux,"8,567",48,5.6,"9,302 67",7.2,28.60%,
Story,"15,248",64,4.2,"16,105 254",15.8,275.80%,
Tama,"4,808",96,20,"4,263 61",14.3,-28.30%,
Taylor,"1,665",11,6.6,"1,401 20",14.3,116.10%,
Union,"2,867",56,19.5,"2,939 100",34,74.20%,
Van Buren,"1,934",48,24.8,"1,705 17",10,-59.80%,
Wapello,"8,397",135,16.1,"7,976 174",21.8,35.70%,
Warren,"10,985",72,6.6,"11,993 151",12.6,92.10%,
Washington,"5,389",75,13.9,"5,431 64",11.8,-15.30%,
Wayne,"1,606",26,16.2,"1,531 26",17,4.90%,
Webster,"9,847",187,19,"8,024 225",28,47.70%,
Winnebago,"2,824",38,13.5,"2,202 40",18.2,35.00%,
Winneshiek,"4,900",26,5.3,"4,034 32",7.9,49.50%,
Woodbury,"28,390",294,10.4,"26,736 494",18.5,78.40%,
Worth,"1,921",26,13.5,"1,635 28",17.1,26.50%,
Wright,"3,507",52,161.4% 14.8,"2,993 116",38.8,,
State,"733,638","9,489",31.1% 12.9,"724,032 12,276",17,,
Rural,"121,437","1,394",11.5,"104,780 1,685",16.1,40.10%,
Small Urban,"284,377","3,801",13.4,"268,926 4,701",17.5,30.80%,
Metropolitan,"327,824","4,294",28.4% 13.1,"350,326 5,890",16.8,,
United States,"72,293,812","883,000",12.2,"74,150,798 678,810",9.2,-25.00%,
