,2000,2000,,2013,2013,,
,Total,Family,,Total,Family,,2000-2013
County,Population,Investment,Percentage,Population,Investment,Percentage,Change
Adair,"8,243",74,0.90%,"7,472",54,0.70%,-19.50%
Adams,"4,482",43,1.00%,"3,894",25,0.60%,-33.10%
Allamakee,"14,675",97,0.70%,"14,169",180,1.30%,92.20%
Appanoose,"13,721",491,3.60%,"12,692",193,1.50%,-57.50%
Audubon,"6,830",64,0.90%,"5,873",35,0.60%,-36.40%
Benton,"25,308",267,1.10%,"25,699",145,0.60%,-46.50%
Black Hawk,"128,012","4,235",3.30%,"132,546","2,306",1.70%,-47.40%
Boone,"26,224",212,0.80%,"26,364",263,1.00%,23.40%
Bremer,"23,325",201,0.90%,"24,624",94,0.40%,-55.70%
Buchanan,"21,093",260,1.20%,"20,976",133,0.60%,-48.60%
Buena Vista,"20,411",259,1.30%,"20,567",247,1.20%,-5.40%
Butler,"15,305",161,1.10%,"15,021",118,0.80%,-25.30%
Calhoun,"11,115",126,1.10%,"9,926",47,0.50%,-58.20%
Carroll,"21,421",170,0.80%,"20,598",134,0.70%,-18.00%
Cass,"14,684",220,1.50%,"13,598",143,1.10%,-29.80%
Cedar,"18,187",166,0.90%,"18,393",79,0.40%,-52.90%
Cerro Gordo,"46,447",619,1.30%,"43,575",332,0.80%,-42.80%
Cherokee,"13,035",157,1.20%,"11,945",71,0.60%,-50.70%
Chickasaw,"13,095",160,1.20%,"12,321",95,0.80%,-36.90%
Clarke,"9,133",163,1.80%,"9,325",89,1.00%,-46.50%
Clay,"17,372",212,1.20%,"16,491",192,1.20%,-4.60%
Clayton,"18,678",100,0.50%,"17,773",113,0.60%,18.80%
Clinton,"50,149","1,372",2.70%,"48,420",900,1.90%,-32.10%
Crawford,"16,942",238,1.40%,"17,434",256,1.50%,4.50%
Dallas,"40,750",252,0.60%,"74,641",227,0.30%,-50.80%
Davis,"8,541",91,1.10%,"8,791",60,0.70%,-35.90%
Decatur,"8,689",161,1.90%,"8,136",89,1.10%,-41.00%
Delaware,"18,404",207,1.10%,"17,534",108,0.60%,-45.20%
Des Moines,"42,351","1,291",3.00%,"40,480",798,2.00%,-35.30%
Dickinson,"16,424",130,0.80%,"16,955",106,0.60%,-21.00%
Dubuque,"89,143","1,293",1.50%,"95,697","1,344",1.40%,-3.20%
Emmet,"11,027",111,1.00%,"9,996",103,1.00%,2.40%
Fayette,"22,008",458,2.10%,"20,502",226,1.10%,-47.00%
Floyd,"16,900",301,1.80%,"16,092",189,1.20%,-34.10%
