,2003,2003,,2013,2013,,
,Students,,,Students,,,2003-2013
County,Tested,Proficient,Percentage,Tested,Proficient,Percentage,Change
Adair,66,48,72.70%,70,51,72.90%,0.20%
Adams,39,33,84.60%,30,25,83.30%,-1.50%
Allamakee,187,145,77.50%,173,122,70.50%,-9.10%
Appanoose,146,116,79.50%,162,131,80.90%,1.80%
Audubon,68,59,86.80%,67,45,67.20%,-22.60%
Benton,299,221,73.90%,275,226,82.20%,11.20%
Black Hawk,"1,173",784,66.80%,"1,329",882,66.40%,-0.70%
Boone,267,216,80.90%,291,241,82.80%,2.40%
Bremer,334,279,83.50%,361,303,83.90%,0.50%
Buchanan,181,145,80.10%,206,161,78.20%,-2.40%
Buena Vista,262,188,71.80%,288,190,66.00%,-8.10%
Butler,112,94,83.90%,111,96,86.50%,3.00%
Calhoun,141,122,86.50%,115,88,76.50%,-11.60%
Carroll,214,174,81.30%,161,131,81.40%,0.10%
Cass,217,165,76.00%,202,148,73.30%,-3.60%
Cedar,233,197,84.50%,255,177,69.40%,-17.90%
Cerro Gordo,462,346,74.90%,427,332,77.80%,3.80%
Cherokee,118,90,76.30%,129,93,72.10%,-5.50%
Chickasaw,144,122,84.70%,134,102,76.10%,-10.20%
Clarke,123,99,80.50%,130,102,78.50%,-2.50%
Clay,162,139,85.80%,154,119,77.30%,-9.90%
Clayton,153,106,69.30%,142,95,66.90%,-3.40%
Clinton,592,461,77.90%,565,451,79.80%,2.50%
Crawford,186,142,76.30%,241,160,66.40%,-13.00%
Dallas,636,522,82.10%,"1,160",928,80.00%,-2.50%
Davis,71,54,76.10%,81,67,82.70%,8.80%
Decatur,80,59,73.80%,85,55,64.70%,-12.30%
Delaware,190,155,81.60%,225,174,77.30%,-5.20%
Des Moines,460,285,62.00%,494,360,72.90%,17.60%
Dickinson,170,148,87.10%,175,148,84.60%,-2.90%
Dubuque,768,554,72.10%,"1,038",768,74.00%,2.60%
Emmet,112,77,68.80%,97,63,64.90%,-5.50%
Fayette,312,236,75.60%,239,178,74.50%,-1.50%
Floyd,173,137,79.20%,133,93,69.90%,-11.70%
Franklin,118,83,70.30%,92,59,64.10%,-8.80%
Fremont,109,73,67.00%,87,58,66.70%,-0.50%
Greene,117,92,78.60%,120,98,81.70%,3.90%
Grundy,190,164,86.30%,189,147,77.80%,-9.90%
Guthrie,170,141,82.90%,186,146,78.50%,-5.40%
Hamilton,194,170,87.60%,197,146,74.10%,-15.40%
Hancock,135,108,80.00%,109,68,62.40%,-22.00%
Hardin,215,169,78.60%,209,171,81.80%,4.10%
Harrison,224,170,75.90%,219,168,76.70%,1.10%
Henry,263,204,77.60%,261,194,74.30%,-4.20%
Howard,118,94,79.70%,94,71,75.50%,-5.20%
Humboldt,112,94,83.90%,88,69,78.40%,-6.60%
Ida,87,67,77.00%,83,68,81.90%,6.40%
Iowa,220,171,77.70%,153,118,77.10%,-0.80%
Jackson,215,178,82.80%,185,135,73.00%,-11.90%
Jasper,393,304,77.40%,421,334,79.30%,2.60%
Jefferson,184,157,85.30%,129,97,75.20%,-11.90%
Johnson,903,730,80.80%,"1,242",940,75.70%,-6.40%
Jones,203,169,83.30%,208,165,79.30%,-4.70%
Keokuk,111,88,79.30%,139,110,79.10%,-0.20%
,Students,,Students,,,2003-2013,
County,Tested Proficient,Percentage,Tested,Proficient,Percentage,Change,
Kossuth,139 112,80.60%,163,113,69.30%,-14.00%,
Lee,422 303,71.80%,328,250,76.20%,6.20%,
Linn,"2,322 1,692",72.90%,"2,761","2,088",75.60%,3.80%,
Louisa,209 155,74.20%,185,131,70.80%,-4.50%,
Lucas,98 73,74.50%,88,61,69.30%,-6.90%,
Lyon,131 117,89.30%,151,137,90.70%,1.60%,
Madison,213 166,77.90%,198,165,83.30%,6.90%,
Mahaska,220 176,80.00%,221,135,61.10%,-23.60%,
Marion,443 360,81.30%,400,329,82.30%,1.20%,
Marshall,461 341,74.00%,480,302,62.90%,-14.90%,
Mills,169 125,74.00%,180,148,82.20%,11.20%,
Mitchell,110 93,84.50%,116,103,88.80%,5.00%,
Monona,95 77,81.10%,109,70,64.20%,-20.80%,
Monroe,90 67,74.40%,96,67,69.80%,-6.30%,
Montgomery,136 106,77.90%,118,83,70.30%,-9.80%,
Muscatine,504 417,82.70%,553,399,72.20%,-12.80%,
O'Brien,166 143,86.10%,158,117,74.10%,-14.00%,
Osceola,74 62,83.80%,70,50,71.40%,-14.70%,
Page,170 132,77.60%,159,124,78.00%,0.40%,
Palo Alto,103 80,77.70%,124,89,71.80%,-7.60%,
Plymouth,325 265,81.50%,322,257,79.80%,-2.10%,
Pocahontas,65 52,80.00%,58,39,67.20%,-15.90%,
Polk,"4,376 3,303",75.50%,"5,447","3,998",73.40%,-2.80%,
Pottawattamie,"1,113 777",69.80%,"1,171",825,70.50%,0.90%,
Poweshiek,203 166,81.80%,189,166,87.80%,7.40%,
Ringgold,58 52,89.70%,58,47,81.00%,-9.60%,
Sac,117 95,81.20%,105,85,81.00%,-0.30%,
Scott,"1,781 1,275",71.60%,"1,937","1,390",71.80%,0.20%,
Shelby,130 107,82.30%,122,94,77.00%,-6.40%,
Sioux,293 255,87.00%,312,252,80.80%,-7.20%,
Story,720 637,88.50%,812,686,84.50%,-4.50%,
Tama,181 135,74.60%,177,134,75.70%,1.50%,
Taylor,83 69,83.10%,67,51,76.10%,-8.40%,
Union,128 99,77.30%,144,109,75.70%,-2.10%,
Van Buren,79 56,70.90%,66,53,80.30%,13.30%,
Wapello,420 285,67.90%,434,255,58.80%,-13.40%,
Warren,523 421,80.50%,665,554,83.30%,3.50%,
Washington,237 166,70.00%,264,178,67.40%,-3.70%,
Wayne,68 59,86.80%,76,49,64.50%,-25.70%,
Webster,392 280,71.40%,325,225,69.20%,-3.10%,
Winnebago,193 165,85.50%,158,128,81.00%,-5.20%,
Winneshiek,199 154,77.40%,165,137,83.00%,7.30%,
Woodbury,"1,260 921",73.10%,"1,321",953,72.10%,-1.30%,
Worth,79 56,70.90%,87,68,78.20%,10.30%,
Wright,-7.3% 192 157,81.80%,190,144,75.80%,,
State,"32,622 24,948",-2.3% 76.5%,"35,486","26,505",74.70%,,
Rural,"5,489 4,394",80.10%,"5,266","3,976",75.50%,-5.70%,
Small Urban,"12,717 9,881",77.70%,"13,162","9,999",76.00%,-2.20%,
Metropolitan,"14,416 10,673",-0.8% 74.0%,"17,058","12,530",73.50%,,
United States*,NA NA,60.00%,NA,NA,60.00%,0.00%,
